segmentnr	original	analyzed	folio	translated
['PA_ya_5.2.3:0.1', 'PA_ya_5.2.3:0.2', 'PA_ya_5.2.3:0.3']	5 Saccayamaka🔽5.2 Pavattivāra🔽5.2.3. Uppādanirodhavāra	saccayamaka          	0	The Truths🔽The Mode of Conveying Occurrence
['PA_ya_5.2.3:1.0.1']	5.2.3.1 Paccuppannavāra	     	1	… The Mode of Conveying Arising and Ceasing🔽… The Mode of Conveying the Present
['PA_ya_5.2.3:1.0.2', 'PA_ya_5.2.3:1.1']	5.2.3.1.1. Anulomapuggala🔽Yassa dukkhasaccaṁ uppajjati tassa samudayasaccaṁ nirujjhatīti? No.	anuloma puggala  yassa dukkha saccam uppajjati tassa samudaya saccam nirujjhati iti no 	1	… The Mode of Conveying Individuals in Forward Order🔽Is it the case that when the truth of suffering arises for anyone, the truth of origination ceases for him? No.
['PA_ya_5.2.3:2.1', 'PA_ya_5.2.3:3.1']	Yassa vā pana samudayasaccaṁ nirujjhati tassa dukkhasaccaṁ uppajjatīti? No.🔽Yassa dukkhasaccaṁ uppajjati tassa maggasaccaṁ nirujjhatīti? No.	yassa vā pana samudaya saccam nirujjhati tassa dukkha saccam uppajjati iti no  yassa dukkha saccam uppajjati tassa magga saccam nirujjhati iti no 	2	Or is it the case that when the truth of origination ceases for anyone, the truth of suffering arises for him? No.🔽Is it the case that when the truth of suffering arises for anyone, the truth of the path ceases for him? No.
['PA_ya_5.2.3:4.1', 'PA_ya_5.2.3:5.1']	Yassa vā pana maggasaccaṁ nirujjhati tassa dukkhasaccaṁ uppajjatīti? No.🔽Yassa samudayasaccaṁ uppajjati tassa maggasaccaṁ nirujjhatīti? No.	yassa vā pana magga saccam nirujjhati tassa dukkha saccam uppajjati iti no  yassa samudaya saccam uppajjati tassa magga saccam nirujjhati iti no 	4	Or is it the case that when the truth of the path ceases for anyone, the truth of suffering arises for him? No.🔽Is it the case that when the truth of origination arises for anyone, the truth of the path ceases for him? No.
['PA_ya_5.2.3:6.1']	Yassa vā pana maggasaccaṁ nirujjhati tassa samudayasaccaṁ uppajjatīti? No.	yassa vā pana magga saccam nirujjhati tassa samudaya saccam uppajjati iti no 	6	Or is it the case that when the truth of the path ceases for anyone, the truth of origination arises for him? No.
['PA_ya_5.2.3:7.0']	5.2.3.1.2. Anulomaokāsa	anuloma okāsa 	7	… The Mode of Conveying an Interval
['PA_ya_5.2.3:7.1']	Yattha dukkhasaccaṁ uppajjati tattha samudayasaccaṁ nirujjhatīti?	yattha dukkha saccam uppajjati tattha samudaya saccam nirujjhati iti 	7	Is it the case that where the truth of suffering arises, there the truth of origination ceases?🔽In the case of non-percipient beings, there the truth of suffering arises but there the truth of origination does not cease …
['PA_ya_5.2.3:8.1']	Asaññasatte tattha dukkhasaccaṁ uppajjati, no ca tattha samudayasaccaṁ nirujjhati …pe….	asañña satte tattha dukkha saccam uppajjati no ca tattha samudaya saccam nirujjhati pe 	8	Herein, the truth of suffering arises in the case of the non-percipient beings, but the truth of origination does not cease there. …
['PA_ya_5.2.3:9.1']	(Yatthakaṁ uppādavārepi nirodhavārepi uppādanirodhavārepi sadisaṁ natthi nānākaraṇaṁ.)	yatthakam uppāda vāre pi nirodha vāre pi uppāda nirodha vāre pi sadisam natthi nānākaraṇa 	9	(There is no difference in the method of treatment in the case of the arising and cessation of the truths, or of their arising and cessation.)
