segmentnr	original	analyzed	folio	translated
['PA_tika-abh02_t:0']	Namo tassa bhagavato arahato sammāsambuddhassa	namaḥ tassa bhagavataḥ arahataḥ sammāsambuddhassa 	0	Homage to that Blessed One, accomplished and fully enlightened.
['PA_tika-abh02_t:1', 'PA_tika-abh02_t:2', 'PA_tika-abh02_t:3']	Abhidhammapiṭake🔽Vibhaṅga-mūlaṭīkā🔽1. Khandhavibhaṅgo	abhidhamma piṭake           khandha vibhaṅgo 	0	In the Abhidhamma Piṭaka🔽The Root Commentary on the Vibhaṅga🔽The Exposition of the Aggregates
['PA_tika-abh02_t:4']	1. Suttantabhājanīyavaṇṇanā	      	0	The Commentary on the Suttas
['PA_tika-abh02_t:5_0']	Catusaccadasoti cattāri saccāni samāhaṭāni catusaccaṃ, catusaccaṃ passīti catusaccadaso.	catusaccadasaḥ iti cattāri saccāni samāhaṭāni catusaccam catusaccam passi iti catusaccadasaḥ 	5	The one who sees the four noble truths: the four truths are collected together in the four noble truths, which are seen by the one who sees the four noble truths.
['PA_tika-abh02_t:5_1']	Satipi sāvakānaṃ paccekabuddhānañca catusaccadassanabhāve anaññapubbakattā bhagavato	sati pi sāvakānam paccekabuddhānam ca catu sacca dassana bhāve anañña pubbaka ttā bhagavato 	5	Although disciples and paccekabuddhas also see the four noble truths, the Blessed One is the one who sees the four noble truths in the sense of seeing them first,
['PA_tika-abh02_t:5_2']	catusaccadassanassa tattha ca sabbaññutāya dasabalesu ca vasībhāvassa pattito parasantānesu	catu acca dassanassa tattha ca sabbaññu tāya dasa balesu ca vasībhāvassa pattitaḥ para santānesu 	5	and he is the one who sees the four noble truths in the sense of seeing them in all their aspects and of mastering them by the ten powers.
['PA_tika-abh02_t:5_3']	ca pasāritabhāvena supākaṭattā bhagavāva visesena “catusaccadaso”ti thomanaṃ arahatīti.	ca pasārita bhāvena visesena thomanam arahati iti 	5	Therefore, because of his pre-eminence in seeing the four noble truths, the Blessed One is the one who sees the four noble truths.
['PA_tika-abh02_t:5_4']	Nāthatīti nātho, veneyyānaṃ hitasukhaṃ āsīsati pattheti, parasantānagataṃ vā kilesabyasanaṃ	nāthati iti nāthaḥ veneyyānam hita sukham āsīsati pattheti para santāna gatam vā kilesa byasanam 	5	The protector: he is a protector because he seeks and wishes for the welfare and happiness of his disciples, or because he inflicts suffering on the defilements in the mental continuity of others,
['PA_tika-abh02_t:5_5']	upatāpeti, “sādhu, bhikkhave, bhikkhu kālena kālaṃ attasampattiṃ paccavekkhitā”tiādinā	upatāpeti sādhu bhikkhave bhikkhu kālena kālam atta sampattim paccavekkhitā iti ādinā 	5	saying: “It is good, bhikkhus, if a bhikkhu from time to time reviews the extent to which his own mind is purified” ,
['PA_tika-abh02_t:5_6']	vā taṃ taṃ hitapaṭipattiṃ yācatīti attho. Paramena cittissariyena samannāgato, sabbasatte	vā tam tam hita paṭipattim yācati iti paramena cittissariyena samannāgato sabba satte 	5	or he requests the performance of some beneficial practice.
