segmentnr	original	analyzed	translated
['PA_snp_2.5:0.1']	Sutta Nipāta 2.5	sutta nipāta 	The Collection of Long Sayings .
['PA_snp_2.5:0.2']	Sūcilomasutta	sūcilomasutta 	The Hairy Needle
['PA_snp_2.5:1.1']	Evaṁ me sutaṁ—	evam me suta 	Thus have I heard:
['PA_snp_2.5:1.2']	ekaṁ samayaṁ bhagavā gayāyaṁ viharati ṭaṅkitamañce sūcilomassa yakkhassa bhavane.	ekam samayam bhagavā gayā ayam viharati ṭaṅkita mañce sūcilomassa yakkhassa bhavane 	At one time the Blessed One was staying at Gayā on the Hairy Needle’s peak, in the dwelling of the spirit Hairy Needle.
['PA_snp_2.5:1.3']	Tena kho pana samayena kharo ca yakkho sūcilomo ca yakkho bhagavato avidūre atikkamanti.	tena kho pana samayena kharaḥ ca yakkhaḥ sūcilomaḥ ca yakkhaḥ bhagavataḥ avidūre atikkamanti 	Now on that occasion the spirits Rough and Hairy Needle were passing not far from the Blessed One.
['PA_snp_2.5:1.4']	Atha kho kharo yakkho sūcilomaṁ yakkhaṁ etadavoca:	atha kho kharaḥ yakkhaḥ sūcilomam yakkham etat avoca 	Then the spirit Rough said to the spirit Hairy Needle,
['PA_snp_2.5:1.5']	“eso samaṇo”ti.	esaḥ samaṇaḥ ti 	“That’s the contemplative.”
['PA_snp_2.5:1.6']	“Neso samaṇo, samaṇako eso.	na isaḥ samaṇaḥ samaṇakaḥ esaḥ 	“That’s not the contemplative. That’s the contemplative’s apprentice.
['PA_snp_2.5:1.7']	Yāvāhaṁ jānāmi yadi vā so samaṇo, yadi vā so samaṇako”ti.	yāvā aham jānāmi yadi vā saḥ samaṇaḥ yadi vā saḥ samaṇakaḥ iti 	I’ll find out whether he’s the contemplative or the contemplative’s apprentice.”
['PA_snp_2.5:2.1']	Atha kho sūcilomo yakkho yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavato kāyaṁ upanāmesi.	atha kho sūcilomaḥ yakkhaḥ yena bhagavā tena upasaṅkami upasaṅkamitvā bhagavataḥ kāyam upanāmesi 	Then the spirit Hairy Needle went to the Blessed One and touched the Blessed One’s body.
['PA_snp_2.5:2.2']	Atha kho bhagavā kāyaṁ apanāmesi.	atha khalu bhagavā kāyam apanāmesi 	Then the Blessed One withdrew his body.
['PA_snp_2.5:2.3']	Atha kho sūcilomo yakkho bhagavantaṁ etadavoca:	atha kho sūcilomaḥ yakkhaḥ bhagavantam etat avoca 	Then the spirit Hairy Needle said to the Blessed One,
['PA_snp_2.5:2.4']	“bhāyasi maṁ, samaṇā”ti?	bhāyasi ma samaṇāti 	“Are you afraid of me, contemplative?”
['PA_snp_2.5:2.5']	“Na khvāhaṁ taṁ, āvuso, bhāyāmi;	na khvā aham te āvusaḥ bhāyāmi 	“I’m not afraid of you, friend.
['PA_snp_2.5:2.6']	api ca te samphasso pāpako”ti.	api ca te samphassaḥ pāpakaḥ ti 	But your touch is evil.”
['PA_snp_2.5:3.1']	“Pañhaṁ taṁ, samaṇa, pucchissāmi.	pañham ta samaṇa pucchissāmi 	“I’ll ask you a question, contemplative.
['PA_snp_2.5:3.2', 'PA_snp_2.5:4.1_0', 'PA_snp_2.5:4.1_1']	Sace me na byākarissasi, cittaṁ vā te khipissāmi, hadayaṁ vā te phālessāmi, pādesu vā gahetvā pāragaṅgāya khipissāmī”ti.🔽“Na khvāhaṁ taṁ, āvuso, passāmi sadevake loke samārake sabrahmake sassamaṇabrāhmaṇiyā🔽pajāya sadevamanussāya yo me cittaṁ vā khipeyya hadayaṁ vā phāleyya pādesu vā gahetvā	sace me na byākarissasi cittam vā te khipissāmi hadayam vā te phālessāmi pādesu vā gahetvā pāragaṅgāya khipissāmi iti  na khvā aham te āvuso passāmi sa devake loke sa mārake sa brahmake sa ssamaṇa brāhmaṇiyā  pajāya sa deva manussāya yaḥ me cittam vā khipeyya hadayam vā phāleyya pādesu vā gahetvā 	If you don’t answer me, I’ll either crush your heart, or pluck out your heart, or seize you by the feet and hurl you to the other side of the Ganges.”
['PA_snp_2.5:4.1_2']	pāragaṅgāya khipeyya.	pāragaṅgāya khipeyya 	“I don’t see anyone in the cosmos with its gods, lords of death, & Brahmas, in this generation with its contemplatives & brahmans, its royalty & common people, who could crush my heart, or pluck out my heart, or seize me by the feet and hurl me to the other side of the Ganges.
['PA_snp_2.5:4.2']	Api ca tvaṁ, āvuso, puccha yadākaṅkhasī”ti.	api ca tvai āvuso puccha yat ākaṅkhasi iti 	But ask me whatever you want.”
['PA_snp_2.5:4.3', 'PA_snp_2.5:5.1']	Atha kho sūcilomo yakkho bhagavantaṁ gāthāya ajjhabhāsi:🔽“Rāgo ca doso ca kutonidānā,	atha kho sūcilomaḥ yakkhaḥ bhagavantam gāthāya ajjhabhāsi  rāgaḥ ca dosaḥ ca kutonidānā 	Then the spirit Needle-Hair addressed the Blessed One with this verse:🔽“Where do passion & aversion come from?
['PA_snp_2.5:5.2']	Aratī ratī lomahaṁso kutojā;	aratī ratī loma hasaḥ kutojā 	Where do discontent, delight, & goosebumps come from?
['PA_snp_2.5:5.3']	Kuto samuṭṭhāya manovitakkā,	kutas samuṭṭhāya manaḥ vitakkā 	Where do thoughts & ideas come from?
['PA_snp_2.5:5.4', 'PA_snp_2.5:6.1']	Kumārakā dhaṅkamivossajanti”.🔽“Rāgo ca doso ca itonidānā,	kumārakāḥ dhaṅkam iva ussajanti  rāgaḥ ca dosaḥ ca itas nidānā 	They fall on a person like a swarm of bees.”🔽“Passion & aversion come from here.
['PA_snp_2.5:6.2']	Aratī ratī lomahaṁso itojā;	aratī ratī loma hasaḥ ita ojā 	Discontent, delight, & goosebumps come from here.
['PA_snp_2.5:6.3']	Ito samuṭṭhāya manovitakkā,	itas samuṭṭhāya manaḥ vitakkā 	Thoughts & ideas come from here.
['PA_snp_2.5:6.4']	Kumārakā dhaṅkamivossajanti.	kumārakāḥ dhaṅkam iva ussajanti 	They fall on a person like a swarm of bees.
['PA_snp_2.5:7.1']	Snehajā attasambhūtā,	sneha jā atta sambhūtā 	Born of affection, self-produced,
['PA_snp_2.5:7.2']	Nigrodhasseva khandhajā;	nigrodhaḥ sā iva khandha jā 	like the branches of a banyan tree.
['PA_snp_2.5:7.3']	Puthū visattā kāmesu,	puthū visattā kāmesu 	Many are the beings who are attached to sensual pleasures,
['PA_snp_2.5:7.4']	Māluvāva vitatāvane.	māluvāva vitata avane 	Like creepers spread in the forest.
['PA_snp_2.5:8.1']	Ye naṁ pajānanti yatonidānaṁ,	ye nam pajānanti yatonidāna 	Those who understand the source of that,
['PA_snp_2.5:8.2']	Te naṁ vinodenti suṇohi yakkha;	te nam vinodenti suṇohi yakkha 	They remove it, listen, spirit!
['PA_snp_2.5:8.3']	Te duttaraṁ oghamimaṁ taranti,	te duttaram ogham imam taranti 	They cross this hard-to-cross flood,
['PA_snp_2.5:8.4']	Atiṇṇapubbaṁ apunabbhavāyā”ti.	a tiṇṇa pubbam apunabbhavāya ati 	Not crossed before, for the non-arising of renewed existence.”
['PA_snp_2.5:8.5']	Sūcilomasuttaṁ pañcamaṁ.	sūcilomasuttam pañcama 	The Thread on the Needle-Hairs is the fifth.
