segmentnr	original	analyzed	translated
['PA_patthana_9.5:0.1']	Paṭṭhānapakaraṇa	paṭṭhāna pakaraṇa 	The Paṭṭhāna Treatise
['PA_patthana_9.5:0.2', 'PA_patthana_9.5:0.3']	Dhammapaccanīya (2), Dukatikapaṭṭhānapāḷi (3)🔽9.5. Hetuduka, Sanidassanattika	dhamma paccanīya  hetu duka sani dassana ttika 	The Chapter on the Opposite of Ideas, the Triad on Conditions, the Text on the Paṭṭhāna
['PA_patthana_9.5:1.0', 'PA_patthana_9.5:1.1_0', 'PA_patthana_9.5:1.1_1', 'PA_patthana_9.5:1.1_2']	Hetu🔽Nahetuṁ nasanidassanasappaṭighaṁ dhammaṁ paṭicca nahetu nasanidassanasappaṭigho dhammo🔽uppajjati hetupaccayā. Nahetuṁ nasanidassanasappaṭighaṁ dhammaṁ paṭicca nanahetu🔽nasanidassanasappaṭigho dhammo uppajjati hetupaccayā. Nahetuṁ nasanidassanasappaṭighaṁ	hetu  na hetum na sa nidassana sa paṭigham dhammam paṭicca na hetu na sa nidassana sa paṭighaḥ dhammaḥ  uppajjati hetu paccayā na hetum na sanidassana sappaṭigham dhammam paṭicca na na hetu  na sa nidassana sa paṭighaḥ dhammaḥ uppajjati hetu paccayā na hetum na sa nidassana sa paṭigha 	With Root-Cause, With Object, With Root-Cause
['PA_patthana_9.5:1.1_3', 'PA_patthana_9.5:1.1_4', 'PA_patthana_9.5:2.1_0', 'PA_patthana_9.5:2.1_1']	dhammaṁ paṭicca nahetu nasanidassanasappaṭigho ca nanahetu nasanidassanasappaṭigho🔽ca dhammā uppajjanti hetupaccayā.🔽Nanahetuṁ nasanidassanasappaṭighaṁ dhammaṁ paṭicca nanahetu nasanidassanasappaṭigho🔽dhammo uppajjati hetupaccayā. Nanahetuṁ nasanidassanasappaṭighaṁ dhammaṁ paṭicca	dhammam paṭicca na hetu na sa nidassana sa paṭighaḥ ca na na hetu na sa nidassana sa paṭighaḥ 🔽ca dhammā uppajjanti hetu paccayā 🔽nana hetum na sa nidassana sa paṭigham dhammam paṭicca nana hetu na sa nidassana sa paṭighaḥ 🔽dhammaḥ uppajjati hetu paccayā na na hetum na sa nidassana sa paṭigham dhammam paṭicca 	With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root-Cause, Not With Object, Not With Impingement, With Root
['PA_patthana_9.5:2.1_2', 'PA_patthana_9.5:2.1_3', 'PA_patthana_9.5:2.1_4', 'PA_patthana_9.5:3.1_0', 'PA_patthana_9.5:3.1_1', 'PA_patthana_9.5:3.1_2', 'PA_patthana_9.5:3.1_3']	nahetu nasanidassanasappaṭigho dhammo uppajjati hetupaccayā. Nanahetuṁ nasanidassanasappaṭighaṁ🔽dhammaṁ paṭicca nahetu nasanidassanasappaṭigho ca nanahetu nasanidassanasappaṭigho🔽ca dhammā uppajjanti hetupaccayā.🔽Nahetuṁ nasanidassanasappaṭighañca nanahetuṁ nasanidassanasappaṭighañca dhammaṁ paṭicca🔽nahetu nasanidassanasappaṭigho dhammo uppajjati hetupaccayā. Nahetuṁ nasanidassanasappaṭighañca🔽nanahetuṁ nasanidassanasappaṭighañca dhammaṁ paṭicca nanahetu nasanidassanasappaṭigho🔽dhammo uppajjati hetupaccayā. Nahetuṁ nasanidassanasappaṭighañca nanahetuṁ nasanidassanasappaṭighañca	na hetu na sa nidassana sa paṭighaḥ dhammaḥ uppajjati hetu paccayā na na hetum na sa nidassana sa paṭigha  dhammam paṭicca na hetu na sa nidassana sa paṭighaḥ ca na na hetu na sa nidassana sa paṭighaḥ  ca dhammā uppajjanti hetu paccayā  na hetum na sa nidassana sa paṭigham ca na na hetum na sa nidassana sa paṭigham ca dhammam paṭicca  na hetu na sa nidassana sa paṭighaḥ dhammaḥ uppajjati hetu paccayā na hetum na sa nidassana sa paṭigham ca  nana hetum na sa nidassana sa paṭigham ca dhammam paṭicca nana hetu na sa nidassana sa paṭighaḥ  dhammaḥ uppajjati hetu paccayā na hetum na sa nidassana sa paṭighañca na na hetum na sa nidassana sa paṭighañca 	A state that is not a root cause, that is not a visible form, that has impingement, arises in dependence on a root cause condition.🔽A state that is not a root cause, that is not a visible form, that has impingement, arises in dependence on a state that is not a root cause, that is not a visible form, that has impingement.🔽A state that is not a root cause, that is not a visible form, that has impingement, arises in dependence on a state that is not a root cause, that is not a visible form, that has impingement, and on a state that is a root cause, that is not a visible form, that has impingement.🔽A state that is not a root cause, that is not a visible form, that has impingement, arises in dependence on a state that is not a root cause, that is not a visible form, that has impingement, and on a state that is a root cause, that is not a visible form, that has impingement.🔽A state that is a root cause, that is not a visible form, that has impingement, arises in dependence on a state that is not a root cause, that is not a visible form, that has impingement, and on a state that is a root cause, that is not a visible form, that has impingement.
['PA_patthana_9.5:3.1_4']	dhammaṁ paṭicca nahetu nasanidassanasappaṭigho ca nanahetu nasanidassanasappaṭigho	dhammam paṭicca na hetu na sa nidassana sa paṭighaḥ ca na na hetu na sa nidassana sa paṭighaḥ 	A state that is not a condition and is not an object-condition and is not a supporting object arises by root-cause condition. A state that is not a root-cause and is not an object-condition and is not a supporting object, and a state that is not a root-cause and is not an object-condition and is not a supporting object arise by root-cause condition. A state that is not a root-cause and is not an object-condition and is not a supporting object, and a state that is not a root-cause and is not an object-condition and is not a supporting object arise by root-cause condition. A state that is not a root-cause and is not an object-condition and is not a supporting object arises by root-cause condition. A state that is not a root-cause and is not an object-condition and is not a supporting object arises by root-cause condition. A state that is not a root-cause and is not an object-condition and is not a supporting object, and a state that is not a root-cause and is not an object-condition and is not a supporting object arise by root-cause condition.
['PA_patthana_9.5:3.1_5', 'PA_patthana_9.5:4.1']	ca dhammā uppajjanti hetupaccayā. (Saṅkhittaṁ.)🔽Hetuyā nava …pe… avigate nava. (Sabbattha nava.)	ca dhammā uppajjanti hetu paccayā  hetuyā nava pe avigate nava sabbattha nava 	Nine dhammas arise with non-volitional formations as condition. (Abbreviated.)🔽With a root cause as condition, nine … (All nine sections in the first triad are to be expanded in the same way as §1.)
['PA_patthana_9.5:5.1_0']	Nahetuṁ naanidassanasappaṭighaṁ dhammaṁ paṭicca nahetu naanidassanasappaṭigho dhammo	na hetum na a nidassana sa paṭigham dhammam paṭicca na hetu na a nidassana sa paṭighaḥ dhammaḥ 	With a non-root cause and a non-object-of-consciousness and an obstruction as condition, a non-root cause and a non-object-of-consciousness and an obstruction …🔽With a non-root cause and a non-object-of-consciousness and an obstruction as condition, a non-root cause and a non-object-of-consciousness and an obstruction …
['PA_patthana_9.5:5.1_1', 'PA_patthana_9.5:5.1_2']	uppajjati hetupaccayā. Nahetuṁ naanidassanasappaṭighaṁ dhammaṁ paṭicca nanahetu naanidassanasappaṭigho🔽dhammo uppajjati hetupaccayā. Nahetuṁ naanidassanasappaṭighaṁ dhammaṁ paṭicca nahetu	uppajjati hetu paccayā na hetum na anidassana sappaṭigham dhammam paṭicca na na hetu na anidassana sappaṭighaḥ  dhammaḥ uppajjati hetu paccayā na hetum na anidassana sappaṭigham dhammam paṭicca na hetu 	With a non-root cause and a non-object-of-consciousness and an obstruction as condition, a non-root cause and a non-object-of-consciousness and an obstruction and a non-root cause and a non-object-of-consciousness and an obstruction arise.
['PA_patthana_9.5:5.1_3', 'PA_patthana_9.5:6.1_0']	naanidassanasappaṭigho ca nanahetu naanidassanasappaṭigho ca dhammā uppajjanti hetupaccayā.🔽Nanahetuṁ naanidassanasappaṭighaṁ dhammaṁ paṭicca nanahetu naanidassanasappaṭigho	na anidassana sappaṭighaḥ ca na na hetu na anidassana sappaṭighaḥ ca dhammā uppajjanti hetu paccayā  nana hetum na a nidassana sa paṭigham dhammam paṭicca nana hetu na a nidassana sa paṭighaḥ 	With a non-root cause and a non-object-of-consciousness and an obstruction as condition, a non-root cause and a non-object-of-consciousness and an obstruction …
