segmentnr	original	analyzed	translated
['PA_patthana_9.12:0.1']	Paṭṭhānapakaraṇa	paṭṭhāna pakaraṇa 	The Book of Conditional Relations🔽The Chapter on the Conditions for the Occurrence of Phenomena
['PA_patthana_9.12:0.2', 'PA_patthana_9.12:0.3']	Dhammapaccanīya (2), Dukatikapaṭṭhānapāḷi (3)🔽9.12. Mahantaraduka, Kusalattika	dhamma paccanīya  mahantaraduka kusalattika 	The Chapter on the Triad of Pairs
['PA_patthana_9.12:1.1']	Nasārammaṇaṁ nakusalaṁ dhammaṁ paṭicca …pe… naanārammaṇaṁ nakusalaṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)	na sārammaṇam na kusalam dhammam paṭicca pe na anārammaṇam na kusalam dhammam paṭicca 	With a non-wholesome object … With a non-wholesome object of different kinds … (Abbreviated.)
['PA_patthana_9.12:2.1']	Hetuyā nava, ārammaṇe tīṇi, adhipatiyā pañca …pe… aññamaññe cha …pe… purejāte āsevane ekaṁ …pe… avigate nava.	hetuyā nava ārammaṇe tīṇi adhipatiyā pañca pe aññamaññe cha pe purejāte āsevane ekam pe avigate nava 	In the section on cause there are nine; in the section on object there are three; in the section on predominance there are five … in the section on mutuality there are six … in the section on prenascence there is one … in the section on non-disappearance there are nine.🔽With a non-mental non-wholesome object … With a non-mental non-wholesome object of different kinds … (Abbreviated.)
['PA_patthana_9.12:3.1', 'PA_patthana_9.12:4.1', 'PA_patthana_9.12:5.1']	Nacittaṁ nakusalaṁ dhammaṁ paṭicca …pe… nanocittaṁ nakusalaṁ dhammaṁ paṭicca ….🔽Nacetasikaṁ nakusalaṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)🔽Hetuyā nava …pe… purejāte āsevane pañca …pe… avigate nava.	na cittam na kusalam dhammam paṭicca pe na no cittam na kusalam dhammam paṭicca  na cetasikam na kusalam dhammam paṭicca  nava pe purejāte āsevane pañca pe avigate nava 	With a non-mental-factor non-wholesome object … (Abbreviated.)
['PA_patthana_9.12:6.1']	Nacittasampayuttaṁ nakusalaṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)	na citta sampayuttam na kusalam dhammam paṭicca 	In the section on cause there are nine … in the section on prenascence there are five … in the section on nutriment there are five … in the section on faculty there are five … in the section on path there are five … in the section on association there are five … in the section on non-disappearance there are nine.🔽With a non-concomitant non-wholesome object … (Abbreviated.)
['PA_patthana_9.12:7.1']	Hetuyā nava, ārammaṇe tīṇi, adhipatiyā pañca …pe… aññamaññe cha …pe… purejāte āsevane ekaṁ …pe… avigate nava.	hetuyā nava ārammaṇe tīṇi adhipatiyā pañca pe aññamaññe cha pe purejāte āsevane ekam pe avigate nava 	In the section on cause there are nine; in the section on object there are three; in the section on predominance there are five … in the section on mutuality there are six … in the section on prenascence there is one … in the section on non-disappearance there are nine.
['PA_patthana_9.12:8.1', 'PA_patthana_9.12:9.1']	Nacittasaṁsaṭṭhaṁ nakusalaṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)🔽Hetuyā nava, ārammaṇe tīṇi, adhipatiyā pañca …pe… aññamaññe cha …pe… purejāte āsevane ekaṁ …pe… avigate nava.	na citta sasaṭṭham na kusalam dhammam paṭicca  hetuyā nava ārammaṇe tīṇi adhipatiyā pañca pe aññamaññe cha pe purejāte āsevane ekam pe avigate nava 	With a non-heart-related unprofitable consciousness … (abbreviated).
['PA_patthana_9.12:10.1', 'PA_patthana_9.12:11.1', 'PA_patthana_9.12:12.1']	Nocittasamuṭṭhānaṁ nakusalaṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)🔽Hetuyā nava, ārammaṇe nava, adhipatiyā pañca …pe… purejāte āsevane pañca …pe… avigate nava.🔽Nocittasahabhuṁ nakusalaṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)	no citta samuṭṭhānam na kusalam dhammam paṭicca  hetuyā nava ārammaṇe nava adhipatiyā pañca pe purejāte āsevane pañca pe avigate nava  no citta sahabhum na kusalam dhammam paṭicca 	With a non-heart-related unprofitable consciousness … (abbreviated).🔽With a non-heart-originated unprofitable consciousness … (abbreviated).🔽With a non-heart-originated unprofitable consciousness … (abbreviated).
['PA_patthana_9.12:13.1', 'PA_patthana_9.12:14.1_0']	Hetuyā nava …pe… purejāte āsevane pañca …pe… avigate nava.🔽Nocittānuparivattiṁ nakusalaṁ dhammaṁ paṭicca …pe…. Nocittasaṁsaṭṭhasamuṭṭhānaṁ nakusalaṁ	nava pe purejāte āsevane pañca pe avigate nava  no citta anuparivattim na kusalam dhammam paṭicca pe no citta sasaṭṭha samuṭṭhānam na kusala 	With a non-conascent with heart unprofitable consciousness … (abbreviated).🔽With a non-conascent with heart unprofitable consciousness … (abbreviated).
['PA_patthana_9.12:14.1_1']	dhammaṁ paṭicca …pe… nocittasaṁsaṭṭhasamuṭṭhānasahabhuṁ nakusalaṁ dhammaṁ paṭicca	dhammam paṭicca pe no citta sasaṭṭha samuṭṭhāna sahabhum na kusalam dhammam paṭicca 	With a non-consequent to heart unprofitable consciousness … (abbreviated). With a non-heart-related, non-originated, non-conascent with heart, non-consequent to heart unprofitable consciousness … (abbreviated).
['PA_patthana_9.12:14.1_2', 'PA_patthana_9.12:15.1']	…pe… nocittasaṁsaṭṭhasamuṭṭhānānuparivattiṁ nakusalaṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)🔽Hetuyā nava …pe… purejāte āsevane pañca …pe… avigate nava.	pe no citta sa saṭṭha samuṭṭhāna anuparivattim na kusalam dhammam paṭicca  nava pe purejāte āsevane pañca pe avigate nava 	… a wholesome consciousness …🔽(In brief:) … a wholesome consciousness …🔽(In brief:) … a wholesome consciousness …
['PA_patthana_9.12:16.1', 'PA_patthana_9.12:17.1']	Naajjhattikaṁ nakusalaṁ dhammaṁ paṭicca …pe… nabāhiraṁ nakusalaṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)🔽Hetuyā nava, ārammaṇe pañca, adhipatiyā pañca …pe… avigate nava.	na ajjhattikam na kusalam dhammam paṭicca pe na bāhiram na kusalam dhammam paṭicca  hetuyā nava ārammaṇe pañca adhipatiyā pañca pe avigate nava 	(In brief:) … a wholesome consciousness …
['PA_patthana_9.12:18.1', 'PA_patthana_9.12:19.1']	Naupādā nakusalaṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)🔽Hetuyā pañca, ārammaṇe tīṇi, adhipatiyā tīṇi …pe… purejāte āsevane ekaṁ …pe… avigate pañca.	na aupādāḥ na kusalam dhammam paṭicca  hetuyā pañca ārammaṇe tīṇi adhipatiyā tīṇi pe purejāte āsevane ekam pe avigate pañca 	(In brief:) … a wholesome consciousness …
['PA_patthana_9.12:20.1', 'PA_patthana_9.12:21.1']	Naupādinnaṁ nakusalaṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)🔽Hetuyā pañca, ārammaṇe dve, adhipatiyā ekaṁ …pe… āsevane ekaṁ …pe… avigate pañca.	na aupādinnam na kusalam dhammam paṭicca 🔽hetuyā pañca ārammaṇe dve adhipatiyā ekam pe āsevane ekam pe avigate pañca 	(In brief:) … a wholesome consciousness …
