segmentnr	original	analyzed	folio	translated
['PA_thag_6.9:0.1']	Theragāthā 6.9	theragāthā 	0	Verses of the Elders
['PA_thag_6.9:0.2']	Chakkanipāta	chakka nipāta 	0	The Group of Sixes
['PA_thag_6.9:0.3', 'PA_thag_6.9:0.4']	Paṭhamavagga🔽Purohitaputtajentattheragāthā	paṭhama vagga          	0	The First Chapter🔽The Elder Jenta, the Son of the High Priest
['PA_thag_6.9:1.1']	“Jātimadena mattohaṁ,	jāti madena mattā uha 	1	I was intoxicated with the conceit of birth,
['PA_thag_6.9:1.2']	bhogaissariyena ca;	bhogaissariyena ca 	1	with wealth and sovereignty,
['PA_thag_6.9:1.3']	Saṇṭhānavaṇṇarūpena,	saṇṭhāna vaṇṇa rūpena 	1	with my physical appearance and beauty,
['PA_thag_6.9:1.4']	madamatto acārihaṁ.	mada mattaḥ acāri ha 	1	intoxicated with conceit I went about.
['PA_thag_6.9:2.1']	Nāttano samakaṁ kañci,	na a t tanoḥ samakam kañci 	2	I thought no one was my equal,
['PA_thag_6.9:2.2']	atirekaṁ ca maññisaṁ;	atirekam ca maññisa 	2	and I considered myself superior.
['PA_thag_6.9:2.3']	Atimānahato bālo,	atimāna hataḥ bālaḥ 	2	The fool was struck down by conceit,
['PA_thag_6.9:2.4', 'PA_thag_6.9:3.1', 'PA_thag_6.9:3.2']	patthaddho ussitaddhajo.🔽Mātaraṁ pitarañcāpi,🔽aññepi garusammate;	patthaddhaḥ ussitaddhajaḥ  mātaram pitaram ca api  aññe pi garu sammate 	2	arrogant, with his flag raised high.🔽I did not pay respect to anyone,
['PA_thag_6.9:3.3']	Na kañci abhivādesiṁ,	na kañci abhivādesi 	3	not even my mother or father or others held in high esteem,
['PA_thag_6.9:3.4']	mānatthaddho anādaro.	mānatthaddhaḥ anādaraḥ 	3	struck down by conceit, without respect.
['PA_thag_6.9:4.1']	Disvā vināyakaṁ aggaṁ,	disvā vināyakam agga 	4	Seeing the foremost guide,
['PA_thag_6.9:4.2']	sārathīnaṁ varuttamaṁ;	sārathīnam varuttama 	4	the best of charioteers,
['PA_thag_6.9:4.3']	Tapantamiva ādiccaṁ,	tapantam ivaḥ ādit ca 	4	shining like the sun,
['PA_thag_6.9:4.4']	bhikkhusaṅghapurakkhataṁ.	bhikkhu saṅgha purakkhata 	4	at the head of the Saṅgha of monks,
['PA_thag_6.9:5.1']	Mānaṁ madañca chaḍḍetvā,	mānam madan ca chaḍḍetvā 	5	I abandoned conceit and intoxication,
['PA_thag_6.9:5.2']	vippasannena cetasā;	vippasannena cetasā 	5	with a serene mind,
['PA_thag_6.9:5.3']	Sirasā abhivādesiṁ,	sirasā abhivādesi 	5	I paid respect with my head,
['PA_thag_6.9:5.4']	sabbasattānamuttamaṁ.	sabba sattānam uttama 	5	to the highest of all beings.
['PA_thag_6.9:6.1']	Atimāno ca omāno,	atimāno ca omāno 	6	Excessive conceit and lack of conceit,
['PA_thag_6.9:6.2']	pahīnā susamūhatā;	su samūha tā 	6	abandoned, well uprooted,
['PA_thag_6.9:6.3']	Asmimāno samucchinno,	a smimānaḥ samucchinnaḥ 	6	the conceit “I am,” cut off,
['PA_thag_6.9:6.4']	sabbe mānavidhā hatā”ti.	sabbe māna vidhāḥ hatāti 	6	all forms of conceit destroyed.”🔽… the elder Jenta, the son of the high priest, was wise …
['PA_thag_6.9:6.5']	… Jento purohitaputto thero ….	jento purohita putto thero 	6	… Jenta the chief minister’s son …
