segmentnr	original	analyzed	translated
['PA_patthana_4.7:0.1']	Paṭṭhānapakaraṇa	paṭṭhāna pakaraṇa 	The Paṭṭhāna Treatise🔽The Triad-Duka Paṭṭhāna Text
['PA_patthana_4.7:0.2', 'PA_patthana_4.7:0.3']	Dhammānuloma (1), Tikadukapaṭṭhānapāḷi (4)🔽4.7. Kusalattika, Piṭṭhiduka	dhamma anuloma tika duka paṭṭhāna pāḷi  kusalattika piṭṭhiduka 	… the profitable triad, the rear duka
['PA_patthana_4.7:1.0.1']	4.7.1. Kusalattika, Dassanenapahātabbaduka	kusala ttika dassanena apahātabba duka 	… the profitable triad, the duka of what is to be given up by seeing.
['PA_patthana_4.7:1.0.2', 'PA_patthana_4.7:1.1']	Hetu🔽Akusalaṁ dassanena pahātabbaṁ dhammaṁ paṭicca akusalo dassanena pahātabbo dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.)	hetu  akusalam dassanena pahātabbam dhammam paṭicca akusalaḥ dassanena pahātabbaḥ dhammaḥ uppajjati hetu paccayā saṅkhitta 	Cause🔽With the unprofitable idea that is to be given up by seeing as condition there arises the unprofitable idea that is to be given up by seeing, as root-cause condition. (Abbreviated.)
['PA_patthana_4.7:2.1']	Hetuyā ekaṁ, ārammaṇe ekaṁ …pe… avigate ekaṁ. (Saṅkhittaṁ.)	hetuyā eka ārammaṇe ekaṃ pe avigate eka saṅkhitta 	With the unprofitable idea that is to be given up by seeing as condition there arises the unprofitable idea that is to be given up by seeing, as object condition. (Abbreviated.) … as non-disappearance condition. (Abbreviated.)
['PA_patthana_4.7:3.1', 'PA_patthana_4.7:4.1']	(Sahajātavārepi …pe… pañhāvārepi sabbattha ekaṁ.)🔽Kusalaṁ nadassanena pahātabbaṁ dhammaṁ paṭicca kusalo nadassanena pahātabbo dhammo uppajjati hetupaccayā … tīṇi.	sahajāta vāre pi pe pañhā vāre pi sabbattha eka  kusalam na dassanena pahātabbam dhammam paṭicca kusalaḥ na dassanena pahātabbaḥ dhammaḥ uppajjati hetu paccayā tīṇi 	(In the case of the conascence pentad, etc., and in the case of the questions, in all instances there is one.)🔽With the profitable idea that is not to be given up by seeing as condition there arises the profitable idea that is not to be given up by seeing, as root-cause condition. … there are three.
['PA_patthana_4.7:5.1']	Akusalaṁ nadassanena pahātabbaṁ dhammaṁ paṭicca akusalo nadassanena pahātabbo dhammo uppajjati hetupaccayā … tīṇi.	akusalam na dassanena pahātabbam dhammam paṭicca akusalaḥ na dassanena pahātabbaḥ dhammaḥ uppajjati hetu paccayā tīṇi 	With the unprofitable idea that is not to be given up by seeing as condition there arises the unprofitable idea that is not to be given up by seeing, as root-cause condition. … there are three.
['PA_patthana_4.7:6.1']	Abyākataṁ nadassanena pahātabbaṁ dhammaṁ paṭicca abyākato nadassanena pahātabbo dhammo uppajjati hetupaccayā.	abyākatam na dassanena pahātabbam dhammam paṭicca abyākataḥ na dassanena pahātabbaḥ dhammaḥ uppajjati hetu paccayā 	With the indeterminate idea that is not to be given up by seeing as condition there arises the indeterminate idea that is not to be given up by seeing, as root-cause condition.🔽…
['PA_patthana_4.7:7.1', 'PA_patthana_4.7:8.1', 'PA_patthana_4.7:9.1']	Kusalaṁ nadassanena pahātabbañca abyākataṁ nadassanena pahātabbañca dhammaṁ paṭicca abyākato nadassanena pahātabbo dhammo uppajjati hetupaccayā.🔽Akusalaṁ nadassanena pahātabbañca abyākataṁ nadassanena pahātabbañca dhammaṁ paṭicca abyākato nadassanena pahātabbo dhammo uppajjati hetupaccayā.🔽Hetuyā nava, ārammaṇe tīṇi …pe… vipāke ekaṁ …pe… avigate nava. (Saṅkhittaṁ.)	kusalam na dassanena pahātabbañca abyākatam na dassanena pahātabbañca dhammam paṭicca abyākataḥ na dassanena pahātabbaḥ dhammaḥ uppajjati hetu paccayā  akusalam na dassanena pahātabbañca abyākatam na dassanena pahātabbañca dhammam paṭicca abyākataḥ na dassanena pahātabbaḥ dhammaḥ uppajjati hetu paccayā  hetuyā nava ārammaṇe tīṇi pe vipāke ekam pe avigate nava 	Dependent on a wholesome and a not-classifiable consciousness that is not to be abandoned by seeing, there arises a not-classifiable consciousness that is not to be abandoned by seeing.🔽Dependent on an unwholesome and a not-classifiable consciousness that is not to be abandoned by seeing, there arises a not-classifiable consciousness that is not to be abandoned by seeing.🔽Nine in the root-cause section, three in the object section, one in the fruit section, one in the root-cause and object sections, one in the root-cause and fruit sections, one in the object and fruit sections, one in the root-cause, object, and fruit sections. (Abbreviated.)
['PA_patthana_4.7:10.1', 'PA_patthana_4.7:11.1', 'PA_patthana_4.7:12.1']	(Sahajātavārampi …pe… sampayuttavārampi paṭiccavārasadisaṁ.)🔽Kusalo nadassanena pahātabbo dhammo kusalassa nadassanena pahātabbassa dhammassa hetupaccayena paccayo … tīṇi.🔽Akusalo nadassanena pahātabbo dhammo akusalassa nadassanena pahātabbassa dhammassa hetupaccayena paccayo … tīṇi.	sahajāta vārampi pe sampayutta vārampi paṭicca vāra sadisa 🔽kusalaḥ na dassanena pahātabbaḥ dhammaḥ kusalassa na dassanena pahātabbassa dhammassa hetu paccayena paccayaḥ tīṇi 🔽akusalaḥ na dassanena pahātabbaḥ dhammaḥ akusalassa na dassanena pahātabbassa dhammassa hetu paccayena paccayaḥ tīṇi 	A resultant, neither-to-be-cultivated-nor-not-to-be-cultivated, neither-to-be-abandoned-nor-not-to-be-abandoned, neither-to-be-realized-nor-to-be-dealt-with-by-development, neither-retorted-to-nor-not-retorted-to, neither-to-be-directly-known-nor-to-be-not-directly-known, neither-to-be-fully-understood-nor-to-be-not-fully-understood, neither-to-be-abandoned-by-practice-nor-to-be-not-abandoned-by-practice, neither-to-be-realized-by-practice-nor-to-be-not-realized-by-practice, neither-to-be-retorted-to-by-practice-nor-to-be-not-retorted-to-by-practice, neither-to-be-directly-known-by-practice-nor-to-be-not-directly-known-by-practice, neither-to-be-fully-understood-by-practice-nor-to-be-not-fully-understood-by-practice, neither-to-be-abandoned-by-seeing-nor-to-be-not-abandoned-by-seeing, neither-to-be-realized-by-seeing-nor-to-be-not-realized-by-seeing, neither-to-be-retorted-to-by-seeing-nor-to-be-not-retorted-to-by-seeing, neither-to-be-directly-known-by-seeing-nor-to-be-not-directly-known-by-seeing, neither-to-be-fully-understood-by-seeing-nor-to-be-not-fully-understood-by-seeing, neither-to-be-abandoned-by-guarding-nor-to-be-not-abandoned-by-guarding, neither-to-be-realized-by-guarding-nor-to-be-not-realized-by-guarding, neither-to-be-retorted-to-by-guarding-nor-to-be-not-retorted-to-by-guarding, neither-to-be-directly-known
