segmentnr	original	analyzed	translated
['PA_patthana_12.11:0.1', 'PA_patthana_12.11:0.2']	Paṭṭhānapakaraṇa🔽Dhammapaccanīya (2), Dukadukapaṭṭhānapāḷi (6)	paṭṭhāna pakaraṇa  dhamma paccanīya 	The Chapter on the Faculties🔽The Numerical Series of Terms Beginning with the Duka
['PA_patthana_12.11:0.3', 'PA_patthana_12.11:1.1']	12.11. Mahantaraduka, Hetuduka🔽Nasārammaṇaṁ nahetuṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)	mahantaraduka hetuduka  na sa ārammaṇam na hetum dhammam paṭicca 	The Great Triad🔽With non-cause as condition … (abridged as in §1) …
['PA_patthana_12.11:2.1']	Hetuyā nava, ārammaṇe tīṇi, adhipatiyā pañca …pe… aññamaññe cha …pe… purejāte āsevane ekaṁ …pe… avigate nava.	hetuyā nava ārammaṇe tīṇi adhipatiyā pañca pe aññamaññe cha pe purejāte āsevane ekam pe avigate nava 	With cause as condition, nine; with object as condition, three; with predominance as condition, five … with proximity as condition, six … with contiguity as condition, six … with dependence as condition, six … with association as condition, six … with dissociation as condition, nine … with presence as condition, nine … with absence as condition, three … with non-appearance as condition, three … with disappearance as condition, three … with non-disappearance as condition, nine …🔽With non-mental-formation as condition …🔽With non-concomitant-with-mind as condition … (abridged as in §1) …🔽With non-concomitant-with-consciousness as condition …
['PA_patthana_12.11:3.1', 'PA_patthana_12.11:4.1']	Nacittaṁ nahetuṁ dhammaṁ paṭicca ….🔽Nacetasikaṁ nahetuṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.) Hetuyā nava …pe… purejāte āsevane pañca …pe… avigate nava.	na cittam na hetum dhammam paṭicca  na cetasikam na hetum dhammam paṭicca saṅkhitta hetuyā nava pe purejāte āsevane pañca pe avigate nava 	With non-concomitant-with-mind-and-matter as condition …🔽With non-concomitant-with-contact as condition …🔽With non-concomitant-with-feeling as condition …🔽With non-concomitant-with-perception as condition …🔽With non-concomitant-with-volition as condition …
['PA_patthana_12.11:5.1_0']	Nacittasampayuttaṁ nahetuṁ dhammaṁ paṭicca …pe… nacittasaṁsaṭṭhaṁ nahetuṁ dhammaṁ	na citta sampayuttam na hetum dhammam paṭicca pe na citta sasaṭṭham na hetum dhamma 	With non-concomitant-with-cognition as condition …🔽With non-concomitant-with-greed as condition …
['PA_patthana_12.11:5.1_1']	paṭicca …. (Saṅkhittaṁ.) Hetuyā nava, ārammaṇe tīṇi, adhipatiyā pañca …pe… aññamaññe	paṭicca saṅkhitta hetuyā nava ārammaṇe tīṇi adhipatiyā pañca pe aññamaññe 	With non-concomitant-with-hatred as condition …🔽With non-concomitant-with-delusion as condition …🔽With non-concomitant-with-enmity as condition …🔽With non-concomitant-with-fraud as condition …🔽With non-concomitant-with-craftiness as condition …🔽With non-concomitant-with-hypocrisy as condition …🔽With non-concomitant-with-avarice as condition …🔽With non-concomitant-with-deceit as condition …
['PA_patthana_12.11:5.1_2']	cha …pe… purejāte āsevane ekaṁ …pe… avigate nava.	cha pe purejāte āsevane ekam pe avigate nava 	With non-concomitant-with-obstruction as condition …🔽With non-concomitant-with-lust as condition …🔽With non-concomitant-with-hatred as condition …🔽With non-concomitant-with-delusion as condition …🔽With non-concomitant-with-anger as condition …🔽With non-concomitant-with-hostility as condition …🔽With non-concomitant-with-
['PA_patthana_12.11:6.1', 'PA_patthana_12.11:7.1_0']	Nacittasamuṭṭhānaṁ nahetuṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.) Hetuyā nava, ārammaṇe nava, adhipatiyā pañca …pe… purejāte āsevane pañca …pe… avigate nava.🔽Nacittasahabhuṁ nahetuṁ dhammaṁ paṭicca …pe… nacittānuparivattiṁ nahetuṁ dhammaṁ	na citta samuṭṭhānam na hetum dhammam paṭicca saṅkhitta hetuyā nava ārammaṇe nava adhipatiyā pañca pe purejāte āsevane pañca pe avigate nava  na citta sahabhum na hetum dhammam paṭicca pe na citta anuparivattim na hetum dhamma 	With a non-mental-relation, not a root, as condition … (In brief.) With nine as root, with nine as object, with five as dominant … With five as prenascence, as postnascence, as presence, as non-disappearance, with nine as condition.🔽With a non-conascence factor of consciousness, not a root, as condition … With a non-conascence-conascence factor of consciousness, not a root, as condition … With a non-conascence-conascence factor of consciousness, not a root, as condition … With a non-conascence-conascence factor of consciousness, not a root, as condition … With a non-conascence-conascence factor of consciousness, not a root, as condition … (In brief.) With nine as root, … With five as prenascence, as postnascence, as presence, as non-disappearance, with nine as condition.
['PA_patthana_12.11:7.1_1', 'PA_patthana_12.11:7.1_2', 'PA_patthana_12.11:7.1_3', 'PA_patthana_12.11:8.1']	paṭicca …pe… nacittasaṁsaṭṭhasamuṭṭhānaṁ nahetuṁ dhammaṁ paṭicca …pe… nacittasaṁsaṭṭhasamuṭṭhānasahabhuṁ🔽nahetuṁ dhammaṁ paṭicca …pe… nacittasaṁsaṭṭhasamuṭṭhānānuparivattiṁ nahetuṁ dhammaṁ🔽paṭicca …. (Saṅkhittaṁ.) Hetuyā nava …pe… purejāte āsevane pañca …pe… avigate nava.🔽Naajjhattikaṁ nahetuṁ dhammaṁ paṭicca …pe… nabāhiraṁ nahetuṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.) Hetuyā nava, ārammaṇe pañca, adhipatiyā pañca …pe… avigate nava.	paṭicca pe na citta sa saṭṭha samuṭṭhānam na hetum dhammam paṭicca pe na citta sa saṭṭha samuṭṭhāna sahabhu 🔽na hetum dhammam paṭicca pe na citta sasaṭṭha samuṭṭhāna anuparivattim na hetum dhamma 🔽paṭicca saṅkhitta hetuyā nava pe purejāte āsevane pañca pe avigate nava 🔽na ajjhattikam na hetum dhammam paṭicca pe na bāhiram na hetum dhammam paṭicca saṅkhitta hetuyā nava ārammaṇe pañca adhipatiyā pañca pe avigate nava 	With an internal, not a root, as condition … With an external, not a root, as condition … (In brief.) With nine as root, with five as object, with five as dominant, with five as proximity, with five as contiguity, with five as repetition, with five as non-disappearance, with nine as condition.
['PA_patthana_12.11:9.1', 'PA_patthana_12.11:10.1']	Noupādā nahetuṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.) Hetuyā pañca, ārammaṇe tīṇi, adhipatiyā tīṇi …pe… purejāte āsevane ekaṁ …pe… avigate pañca.🔽Naupādinnaṁ nahetuṁ dhammaṁ paṭicca …pe… naanupādinnaṁ nahetuṁ dhammaṁ paṭicca …. (Saṅkhittaṁ.)	no upādā na hetum dhammam paṭicca saṅkhitta hetuyā pañca ārammaṇe tīṇi adhipatiyā tīṇi pe purejāte āsevane ekam pe avigate pañca  na aupādinnam na hetum dhammam paṭicca pe na anupādinnam na hetum dhammam paṭicca 	With non-clinging conditions that are not causes as condition … (In brief.) … With causes as condition, five; with object as condition, three; with predominance as condition, three … With prenascence as condition, with postnascence as condition, with repetition as condition, with one as condition, with kamma as condition, with result as condition, with nutriment as condition, with faculty as condition, with jhāna as condition, with path as condition, with association as condition, with presence as condition, with non-disappearance as condition, five.
