segmentnr	original	analyzed	folio	translated
['PA_bu-vb_sk45:0.1']	Theravāda Vinaya	thera vāda vinaya 	0	The Monastic Code of the Elders
['PA_bu-vb_sk45:0.2', 'PA_bu-vb_sk45:0.3', 'PA_bu-vb_sk45:0.4']	Mahāvibhaṅga🔽Sekhiyakaṇḍa🔽Kabaḷavagga	mahāvibhaṅga  sekhiya kaṇḍa  ka baḷa vagga 	0	The Great Analysis🔽The chapter on training rules for bhikkhunis🔽The sub-chapter on mouthfuls
['PA_bu-vb_sk45:0.5']	45. Kabaḷāvacchedakasikkhāpada	       	0	1. The training rule on breaking up mouthfuls
['PA_bu-vb_sk45:1.1']	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	tena samayena buddhaḥ bhagavā sāvatthiyam viharati jetavane anāthapiṇḍikassa ārāme 	1	In Sāvatthī.
['PA_bu-vb_sk45:1.2']	Tena kho pana samayena chabbaggiyā bhikkhū kabaḷāvacchedakaṁ bhuñjanti …pe….	tena kho pana samayena chabbaggiyāḥ bhikkhū kabaḷāvacchedakam bhuñjanti pe 	1	At that time the monks from the group of six were eating by breaking up mouthfuls. …
['PA_bu-vb_sk45:1.3.1']	“Na kabaḷāvacchedakaṁ bhuñjissāmīti sikkhā karaṇīyā”ti.	na kabaḷa avacchedakam bhuñjissāmi iti sikkhā karaṇīyā ati 	1	“‘I will not eat by breaking up mouthfuls,’ this is how you should train.”
['PA_bu-vb_sk45:1.4']	Na kabaḷāvacchedakaṁ bhuñjitabbaṁ.	na kabaḷa avacchedakam 	1	One should not eat by breaking up mouthfuls.
['PA_bu-vb_sk45:1.5']	Yo anādariyaṁ paṭicca kabaḷāvacchedakaṁ bhuñjati, āpatti dukkaṭassa.	yaḥ anādariyam paṭicca kabaḷāvacchedakam bhuñjati āpatti dukkaṭassa 	1	If a monk, out of disrespect, eats by breaking up mouthfuls, he commits an offense of wrong conduct.
['PA_bu-vb_sk45:1.6.1', 'PA_bu-vb_sk45:1.7', 'PA_bu-vb_sk45:1.8']	Anāpatti—🔽asañcicca,🔽assatiyā,	anāpatti  a san cit ca  assatiyā 	1	There is no offense🔽if it is unintentional,
['PA_bu-vb_sk45:1.9', 'PA_bu-vb_sk45:1.10']	ajānantassa,🔽gilānassa,	a jānantassa  gilānassa 	1	if he is not thinking,🔽if he does not know,🔽if he is sick,
['PA_bu-vb_sk45:1.11']	khajjake,	khajjake 	1	if it is fresh food,
['PA_bu-vb_sk45:1.12', 'PA_bu-vb_sk45:1.13', 'PA_bu-vb_sk45:1.14']	phalāphale,🔽uttaribhaṅge,🔽āpadāsu,	phala aphale  uttari bhaṅge  āpadāsu 	1	if it is fruit,🔽if it is a special occasion,
['PA_bu-vb_sk45:1.15']	ummattakassa,	ummattakassa 	1	if he is insane,
['PA_bu-vb_sk45:1.16', 'PA_bu-vb_sk45:1.17']	ādikammikassāti.🔽Pañcamasikkhāpadaṁ niṭṭhitaṁ.	ādikammikassa ati 🔽pañcama sikkhāpadam niṭṭhita 	1	if he is the first offender.🔽The fifth training rule is finished.
