segmentnr	original	folio	analyzed
PA_pe_7:0.1	Peṭakopadesa	0	
PA_pe_7:0.2	Pakiṇṇakaniddesa	0	
PA_pe_7:1.1	Jhānaṁ virāgo.	1	
PA_pe_7:1.2	Cattāri jhānāni vitthārena kātabbāni.	1	
PA_pe_7:1.3	Tāni duvidhāni;	1	
PA_pe_7:1.4	bojjhaṅgavippayuttāni ca bojjhaṅgasampayuttāni ca.	1	
PA_pe_7:1.5	Tattha bojjhaṅgavippayuttāni bāhirakāni, bojjhaṅgasampayuttāni ariyapuggalāni.	1	
PA_pe_7:1.6_0	Tattha yena cha puggalamūlāni tesaṁ nikkhipetvā rāgacarito, dosacarito, mohacarito,	1	
PA_pe_7:1.6_1	rāgadosacarito, rāgamohacarito, dosamohacarito, samabhāgacarito, iti imesaṁ puggalānaṁ	1	
PA_pe_7:1.6_2	jhānaṁ samāpajjitānaṁ pañca nīvaraṇāni paṭipakkho tesaṁ paṭighātāya yathā asamattho	1	
PA_pe_7:1.6_3	tīṇi akusalamūlāni niggaṇhāti.	1	
PA_pe_7:1.7	Lobhena akusalamūlena abhijjhā ca uddhaccañca uppilavataṁ alobhena kusalamūlena niggaṇhāti, kukkuccañca vicikicchā ca mohapakkho, taṁ amohena niggaṇhāti.	1	
PA_pe_7:1.8	Doso ca thinamiddhañca dosapakkho, taṁ adosena niggaṇhāti.	1	
PA_pe_7:2.1	Tattha alobhassa pāripūriyā nekkhammavitakkaṁ vitakketi.	2	
PA_pe_7:2.2	Tattha adosassa pāripūriyā abyāpādavitakkaṁ vitakketi.	2	
PA_pe_7:2.3	Tattha amohassa pāripūriyā avihiṁsāvitakkaṁ vitakketi.	2	
PA_pe_7:2.4	Tattha alobhassa pāripūriyā vivitto hoti kāmehi.	2	
PA_pe_7:2.5	Tattha adosassa pāripūriyā amohassa pāripūriyā ca vivitto hoti pāpakehi akusalehi dhammehi, savitakkaṁ savicāraṁ vivekajaṁ pītisukhaṁ paṭhamaṁ jhānaṁ upasampajja viharati.	2	
PA_pe_7:3.1	Vitakkāti tayo vitakkā—	3	
PA_pe_7:3.2	nekkhammavitakko abyāpādavitakko avihiṁsāvitakko.	3	
PA_pe_7:3.3	Tattha paṭhamābhinipāto vitakko, paṭiladdhassa vicaraṇaṁ vicāro.	3	
PA_pe_7:3.4_0	Yathā puriso dūrato purisaṁ passati āgacchantaṁ, na ca tāva jānāti eso itthīti vā	3	
PA_pe_7:3.4_1	purisoti vā yadā tu paṭilabhati itthīti vā purisoti vā evaṁ vaṇṇoti vā evaṁ saṇṭhānoti	3	
PA_pe_7:3.4_2	vā ime vitakkayanto uttari upaparikkhanti kiṁ nu kho ayaṁ sīlavā udāhu dussīlo aḍḍho vā duggatoti vā.	3	
PA_pe_7:3.5	Evaṁ vicāro vitakke appeti, vicāro cariyati ca anuvattati ca.	3	
PA_pe_7:3.6	Yathā pakkhī pubbaṁ āyūhati pacchā nāyūhati yathā āyūhanā evaṁ vitakko, yathā pakkhānaṁ pasāraṇaṁ evaṁ vicāro anupālati vitakketi vicarati vicāreti.	3	
PA_pe_7:3.7	Vitakkayati vitakketi, anuvicarati vicāreti.	3	
PA_pe_7:3.8	Kāmasaññāya paṭipakkho vitakko, byāpādasaññāya vihiṁsasaññāya ca paṭipakkho vicāro.	3	
PA_pe_7:3.9	Vitakkānaṁ kammaṁ akusalassa amanasikāro, vicārānaṁ kammaṁ jeṭṭhānaṁ saṁvāraṇā.	3	
PA_pe_7:3.10	Yathā paliko tuṇhiko sajjhāyaṁ karoti evaṁ vitakko, yathā taṁyeva anupassati evaṁ vicāro.	3	
PA_pe_7:3.11	Yathā apariññā evaṁ vitakko.	3	
PA_pe_7:3.12	Yathā pariññā evaṁ vicāro.	3	
PA_pe_7:3.13	Niruttipaṭisambhidāyañca paṭibhānapaṭisambhidāyañca vitakko, dhammapaṭisambhidāyañca atthapaṭisambhidāyañca vicāro.	3	
PA_pe_7:3.14	Kallitā kosallattaṁ cittassa vitakko, abhinīhārakosallaṁ cittassa vicāro.	3	
PA_pe_7:3.15	Idaṁ kusalaṁ idaṁ akusalaṁ idaṁ bhāvetabbaṁ idaṁ pahātabbaṁ idaṁ sacchikātabbanti vitakko, yathā pahānañca bhāvanā ca sacchikiriyā ca evaṁ vicāro.	3	
PA_pe_7:3.16	Imesu vitakkavicāresu ṭhitassa duvidhaṁ dukkhaṁ na uppajjati kāyikañca cetasikañca;	3	
PA_pe_7:3.17	duvidhaṁ sukhaṁ uppajjati kāyikañca cetasikañca.	3	
PA_pe_7:3.18	Iti vitakkajanitaṁ cetasikaṁ sukhaṁ pīti kāyikaṁ sukhaṁ kāyikoyeva.	3	
PA_pe_7:3.19	Yā tattha cittassa ekaggatā, ayaṁ samādhi.	3	
PA_pe_7:3.20	Iti paṭhamaṁ jhānaṁ pañcaṅgavippahīnaṁ pañcaṅgasamannāgataṁ.	3	
PA_pe_7:4.1	Tesaṁyeva vitakkavicārānaṁ abhikkhaṇaṁ āsevanāya tassa tappoṇamānasaṁ hoti.	4	
PA_pe_7:4.2	Tassa vitakkavicārā oḷārikā khāyanti.	4	
PA_pe_7:4.3	Yañca pītisukhañca nekkhammañca oḷārikaṁ bhavati.	4	
PA_pe_7:4.4	Api ca samādhijā pīti rati ca jāyati.	4	
PA_pe_7:4.5	Tassa vicārārammaṇaṁ.	4	
PA_pe_7:4.6	Tesaṁ vūpasamā ajjhattaṁ ceto sampasīdati.	4	
PA_pe_7:4.7	Ye vitakkavicārā dve dhammānussaritabbā.	4	
PA_pe_7:4.8	Paccuppannā daraṇitabbaṁ.	4	
PA_pe_7:4.9	Tesaṁ vūpasamā ekodibhāvaṁ cittekaggataṁ hoti.	4	
PA_pe_7:4.10	Tassa ekodibhāvena pīti pāripūriṁ gacchati.	4	
PA_pe_7:4.11	Yā pīti, taṁ somanassindriyaṁ, yaṁ sukhaṁ, taṁ sukhindriyaṁ.	4	
PA_pe_7:4.12	Yā cittekaggatā, ayaṁ samādhi.	4	
PA_pe_7:4.13	Taṁ dutiyaṁ jhānaṁ caturaṅgasamannāgataṁ.	4	
PA_pe_7:4.14	So pītiyā virāgā yāti ojahi jallasahagataṁ.	4	
PA_pe_7:5.1	Tattha somanassacittamupādānanti ca so taṁ vicinanto upekkhameva manasikaroti.	5	
PA_pe_7:5.2	So pītiyā virāgā upekkhako viharati.	5	
PA_pe_7:5.3	Yathā ca pītiyā sukhamānitaṁ, taṁ kāyena paṭisaṁvedeti sampajāno viharati.	5	
PA_pe_7:5.4	Yena satisampajaññena upekkhāpāripūriṁ gacchati.	5	
PA_pe_7:5.5	Idaṁ tatiyaṁ jhānaṁ caturaṅgasamannāgataṁ.	5	
PA_pe_7:6.1	Tathā kāyikassa sukhassa pahānāya paṭhame jhāne somanassindriyaṁ nirujjhati.	6	
PA_pe_7:6.2	Dutiye jhāne dukkhindriyaṁ nirujjhati.	6	
PA_pe_7:6.3	So sukhassa ca pahānā dukkhassa ca pahānā pubbeva somanassadomanassānaṁ atthaṅgamā adukkhamasukhaṁ upekkhāsatipārisuddhiṁ catutthaṁ jhānaṁ upasampajja viharati.	6	
PA_pe_7:6.4	Tattha catūhi indriyehi upekkhā pasādā hoti, dukkhindriyena domanassindriyena sukhindriyena somanassindriyena ca.	6	
PA_pe_7:6.5_0	Tesaṁ nirodhā upekkhāsampajaññaṁ hoti, tattha sukhindriyena somanassindriyena ca	6	
PA_pe_7:6.5_1	asati hoti, tesaṁ nirodhā satimā hoti, dukkhindriyena domanassindriyena ca asampajaññaṁ,	6	
PA_pe_7:6.5_2	tesaṁ nirodhā sampajaññaṁ hoti, iti upekkhāya ca saññā, sato sampajāno cittekaggatā	6	
PA_pe_7:6.5_3	ca idaṁ vuccate ca catutthaṁ jhānaṁ.	6	
PA_pe_7:7.1	Tattha yo rāgacarito puggalo tassa sukhindriyañca somanassindriyañca;	7	
PA_pe_7:7.2	yo dosacarito puggalo tassa dukkhindriyañca domanassindriyañca;	7	
PA_pe_7:7.3	yo mohacarito puggalo tassa asati ca asampajaññañca.	7	
PA_pe_7:8.1_0	Tattha rāgacaritassa puggalassa tatiye jhāne catutthe ca anunayo nirujjhati, dosacaritassa	8	
PA_pe_7:8.1_1	paṭhame jhāne dutiye ca paṭighaṁ nirujjhati, mohacaritassa puggalassa paṭhame jhāne	8	
PA_pe_7:8.1_2	dutiye ca asampajaññaṁ nirujjhati.	8	
PA_pe_7:8.2	Tatiye jhāne catutthe ca asati nirujjhati, evameva tesaṁ tiṇṇaṁ puggalānaṁ cattāri jhānāni vodānaṁ gamissanti.	8	
PA_pe_7:9.1	Tattha rāgadosacaritassa puggalassa asampajaññañca anunayo ca paṭighañca, tena hānabhāgiyaṁ jhānaṁ hoti.	9	
PA_pe_7:9.2	Tattha rāgamohacaritassa puggalassa anunayattaṁ ca ādīnavaṁ dassitā, taṁ tassa hānabhāgiyaṁ jhānaṁ hoti.	9	
PA_pe_7:9.3	Tattha dosamohacaritassa puggalassa paṭigho ca asati ca asampajaññañca ādīnavaṁ dassitā tena tassa hānabhāgiyaṁ jhānaṁ hoti.	9	
PA_pe_7:10.1	Tattha rāgadosamohasamabhāgacaritassa puggalassa visesabhāgiyaṁ jhānaṁ hoti, imāni cattāri jhānāni sattasu puggalesu niddisitabbāni.	10	
PA_pe_7:10.2	Catūsu ca samādhīsu chandasamādhinā paṭhamaṁ jhānaṁ, vīriyasamādhinā dutiyaṁ jhānaṁ, cittasamādhinā tatiyaṁ jhānaṁ, vīmaṁsāsamādhinā catutthaṁ jhānaṁ.	10	
PA_pe_7:10.3	Appaṇihitena paṭhamaṁ jhānaṁ, suññatāya dutiyaṁ jhānaṁ, animittena tatiyaṁ jhānaṁ, ānāpānassatiyā catutthaṁ jhānaṁ.	10	
PA_pe_7:10.4_0	Kāmavitakkabyāpādānañca taṁ taṁ vūpasamena paṭhamaṁ jhānaṁ hoti, vitakkavicārānaṁ	10	
PA_pe_7:10.4_1	vūpasamena dutiyaṁ jhānaṁ, sukhindriyasomanassindriyānaṁ vūpasamena tatiyaṁ jhānaṁ,	10	
PA_pe_7:10.4_2	kāyasaṅkhārānaṁ vūpasamena catutthaṁ jhānañca.	10	
PA_pe_7:10.5	Cāgādhiṭṭhānena paṭhamaṁ jhānaṁ, saccādhiṭṭhānena dutiyaṁ jhānaṁ, paññādhiṭṭhānena tatiyaṁ jhānaṁ, upasamādhiṭṭhānena catutthaṁ jhānaṁ.	10	
PA_pe_7:10.6	Imāni cattāri jhānāni saṅkhepaniddesena niddiṭṭhāni, tattha samādhindriyaṁ pāripūriṁ gacchati.	10	
PA_pe_7:10.7	Anuvattanakāni cattāri, tattha yo paṭhamaṁ jhānaṁ nissāya āsavakkhayaṁ pāpuṇāti, so sukhāya paṭipadāya dandhābhiññāya domanassindriyapaṭipakkhena.	10	
PA_pe_7:10.8	Yo dutiyaṁ jhānaṁ nissāya āsavānaṁ khayaṁ pāpuṇāti, so sukhāya paṭipadāya khippābhiññāya dukkhindriyapaṭipakkhena.	10	
PA_pe_7:10.9	Yo tatiyaṁ jhānaṁ nissāya āsavānaṁ khayaṁ pāpuṇāti, so sukhāya paṭipadāya dandhābhiññāya somanassindriyapaṭipakkhena.	10	
PA_pe_7:10.10	Yo catutthaṁ jhānaṁ nissāya āsavānaṁ khayaṁ pāpuṇāti, so sukhāya paṭipadāya khippābhiññāya sukhindriyapaṭipakkhena gato.	10	
PA_pe_7:11.1	Pakiṇṇakaniddeso.	11	
