original	analyzed	corrected
pāragū sanighaṇḍukeṭubhānaṁ sākkharappabhedānaṁ itihāsapañcamānaṁ, padako, veyyākaraṇo,	pāragū itihāsa pañcamāna padakaḥ veyyākaraṇaḥ 	pāragū sanighaṇḍukeṭubhānaṁ sākkharappabhedānaṁ itihāsa pañcamānaṁ padako veyyākaraṇo
Santi, bhāradvāja, eke samaṇabrāhmaṇā anussavikā.	santi bhāradvāja eke samaṇa brāhmaṇāḥ 	santi bhāradvāja eke samaṇa brāhmaṇā anussavikā
Iti yādiso ahaṁ tādiso tuvaṁ, yādiso tuvaṁ tādiso ahaṁ.	iti yādisaḥ aham tādisaḥ yādisaḥ tuvam tādisaḥ aha 	iti yādisaḥ aham tādisaḥ tuvam yādisaḥ tuvam tādisaḥ aham
‘na kālaṅkato samaṇo gotamo, nāpi kālaṁ karoti;	na samaṇaḥ gotamaḥ na api kālam karoti 	na kālaṅkato samaṇo gotamo na api kālaṁ karoti
Seyyathāpi nāma oṭṭhapadaṁ; evamevassu me ānisadaṁ hoti tāyevappāhāratāya;	seyyathā api nāma oṭṭhapade evam evassu me ānisadam hoti 	seyyathā api nāma oṭṭhapadaṁ evam evassu me ānisadaṁ hoti tāya eva appāhāratāya
So kho ahaṁ, bhāradvāja, ‘vaccaṁ vā muttaṁ vā karissāmī’ti tattheva avakujjo papatāmi tāyevappāhāratāya.	saḥ kho aha bhāradvāja vaccam vā muttam vā karissāmi iti tattha iva avakujjaḥ papatāmi 	so kho ahaṁ bhāradvāja vaccaṁ vā muttaṁ vā karissāmi iti tattha eva avakujjo papatāmi tāya eva appāhāratāya
Apissu maṁ, bhāradvāja, manussā disvā evamāhaṁsu: ‘kāḷo samaṇo gotamo’ti.	apissu ma bhāradvāja manussāḥ disvā kāḷaḥ samaṇaḥ gotamaḥ iti 	apissu maṁ bhāradvāja manussā disvā evamāhaṁsu kāḷo samaṇo gotamo iti
Ekacce manussā evamāhaṁsu: ‘na kāḷo samaṇo gotamo napi sāmo, maṅguracchavi samaṇo gotamo’ti;	ekacce manussāḥ evam āhasu na kāḷaḥ samaṇaḥ gotamaḥ sāmaḥ samaṇaḥ gotamaḥ iti 	ekacce manussāḥ evam āhasu na kāḷaḥ samaṇaḥ gotamaḥ na api sāmaḥ maṅguracchavi samaṇaḥ gotamaḥ iti
So kho ahaṁ, bhāradvāja, oḷārikaṁ āhāraṁ āhāresiṁ odanakummāsaṁ.	saḥ kho aha bhāradvājaḥ oḷārikam āhāram odana kummāsa 	saḥ kho ahaṁ bhāradvājaḥ oḷārikam āhāram āhāresiṁ odana kummāsa
‘Khīṇā jāti, vusitaṁ brahmacariyaṁ, kataṁ karaṇīyaṁ, nāparaṁ itthattāyā’ti abbhaññāsiṁ.	vusitam brahmacariya katam karaṇīya na aparam itthattāya ati 	Khīṇā jāti vusitam brahmacariyam katam karaṇīyam na aparam itthattāya ati abbhaññāsim
“Ṭhānaso metaṁ, bhāradvāja, viditaṁ yadidaṁ—	ṭhānasaḥ mā ita bhāradvāja viditam yat idam 	ṭhānaso me etaṁ bhāradvāja viditaṁ yad idaṁ
