segmentnr	original	analyzed
PA_kp_8:0.1	Khuddakapāṭha 8	khuddaka pāṭha 
PA_kp_8:0.2	Nidhikaṇḍasutta	nidhi kaṇḍa sutta 
PA_kp_8:1.1	Nidhiṁ nidheti puriso,	nidhim nidheti purisaḥ 
PA_kp_8:1.2	gambhīre odakantike;	gambhīre ā uda kantike 
PA_kp_8:1.3	Atthe kicce samuppanne,	atthe kicce samuppanne 
PA_kp_8:1.4	atthāya me bhavissati.	atthāya me bhavissati 
PA_kp_8:2.1	Rājato vā duruttassa,	rājataḥ vā duruttassa 
PA_kp_8:2.2	corato pīḷitassa vā;	corataḥ pīḷitassa vā 
PA_kp_8:2.3	Iṇassa vā pamokkhāya,	iṇassa vā pamokkhāya 
PA_kp_8:2.4	dubbhikkhe āpadāsu vā;	dubbhikkhe āpadāsu vā 
PA_kp_8:2.5	Etadatthāya lokasmiṁ,	etadatthāya 
PA_kp_8:2.6	nidhi nāma nidhīyati.	nidhi nāma nidhīyati 
PA_kp_8:3.1	Tāvassunihito santo,	santaḥ 
PA_kp_8:3.2	gambhīre odakantike;	gambhīre ā uda kantike 
PA_kp_8:3.3	Na sabbo sabbadā eva,	na sabbaḥ sabbadā eva 
PA_kp_8:3.4	tassa taṁ upakappati.	tassa tam upakappati 
PA_kp_8:4.1	Nidhi vā ṭhānā cavati,	nidhi vā ṭhānā cavati 
PA_kp_8:4.2	saññā vāssa vimuyhati;	saññā vā assa vimuyhati 
PA_kp_8:4.3	Nāgā vā apanāmenti,	nāgāḥ vai apanāmenti 
PA_kp_8:4.4	yakkhā vāpi haranti naṁ.	yakkhāḥ vā api haranti na 
PA_kp_8:5.1	Appiyā vāpi dāyādā,	appiyā vā api dāyādā 
PA_kp_8:5.2	uddharanti apassato;	uddharanti a passato 
PA_kp_8:5.3	Yadā puññakkhayo hoti,	yadā puñña kkhayaḥ hoti 
PA_kp_8:5.4	sabbametaṁ vinassati.	sabbam etam vinassati 
PA_kp_8:6.1	Yassa dānena sīlena,	yassa dānena sīlena 
PA_kp_8:6.2	saṁyamena damena ca;	sayamena damena ca 
PA_kp_8:6.3	Nidhī sunihito hoti,	nidhī su nihitaḥ hoti 
PA_kp_8:6.4	itthiyā purisassa vā.	itthiyā purisassa vā 
PA_kp_8:7.1	Cetiyamhi ca saṅghe vā,	cetiyamhi ca saṅghe vā 
PA_kp_8:7.2	puggale atithīsu vā;	puggale atithīsu vā 
PA_kp_8:7.3	Mātari pitari cāpi,	mātari pitari ca api 
PA_kp_8:7.4	atho jeṭṭhamhi bhātari.	atho jeṭṭhamhi bhātari 
PA_kp_8:8.1	Eso nidhi sunihito,	esaḥ su nihitaḥ 
PA_kp_8:8.2	ajeyyo anugāmiko;	ajeyyaḥ anugāmikaḥ 
PA_kp_8:8.3	Pahāya gamanīyesu,	pahāya gamanīyesu 
PA_kp_8:8.4	etaṁ ādāya gacchati.	etam ādāya gacchati 
PA_kp_8:9.1	Asādhāraṇamaññesaṁ,	asādhāraṇa maññesa 
PA_kp_8:9.2	acorāharaṇo nidhi;	a cora āharaṇaḥ 
PA_kp_8:9.3	Kayirātha dhīro puññāni,	kayirātha dhīraḥ puññāni 
PA_kp_8:9.4	yo nidhi anugāmiko.	yaḥ nidhi anugāmikaḥ 
PA_kp_8:10.1	Esa devamanussānaṁ,	deva manussāna 
PA_kp_8:10.2	sabbakāmadado nidhi;	nidhi 
PA_kp_8:10.3	Yaṁ yadevābhipatthenti,	yam yat eva abhipatthenti 
PA_kp_8:10.4	sabbametena labbhati.	sabbam etena labbhati 
PA_kp_8:11.1	Suvaṇṇatā susaratā,	su vaṇṇa tā su saratā 
PA_kp_8:11.2	susaṇṭhānā surūpatā;	su saṇṭhānā surūpa tā 
PA_kp_8:11.3	Ādhipaccaparivāro,	ādhipacca parivāro 
PA_kp_8:11.4	sabbametena labbhati.	sabbam etena labbhati 
PA_kp_8:12.1	Padesarajjaṁ issariyaṁ,	padesarajjam issariya 
PA_kp_8:12.2	cakkavattisukhaṁ piyaṁ;	cakkavatti sukham 
PA_kp_8:12.3	Devarajjampi dibbesu,	deva rajjam pi dibbesu 
PA_kp_8:12.4	sabbametena labbhati.	sabbam etena labbhati 
PA_kp_8:13.1	Mānussikā ca sampatti,	mānussikā ca sampatti 
PA_kp_8:13.2	devaloke ca yā rati;	deva loke ca yā rati 
PA_kp_8:13.3	Yā ca nibbānasampatti,	yā ca nibbāna sampatti 
PA_kp_8:13.4	sabbametena labbhati.	sabbam etena labbhati 
PA_kp_8:14.1	Mittasampadamāgamma,	mitta sampadam āgamma 
PA_kp_8:14.2	yonisova payuñjato;	yonisā uva payuñjataḥ 
PA_kp_8:14.3	Vijjāvimuttivasībhāvo,	vijjā vimutti vasībhāvaḥ 
PA_kp_8:14.4	sabbametena labbhati.	sabbam etena labbhati 
PA_kp_8:15.1	Paṭisambhidā vimokkhā ca,	paṭisambhidā vimokkhā ca 
PA_kp_8:15.2	yā ca sāvakapāramī;	yā ca sāvaka pāramī 
PA_kp_8:15.3	Paccekabodhi buddhabhūmi,	paccekabodhi buddhabhūmi 
PA_kp_8:15.4	sabbametena labbhati.	sabbam etena labbhati 
PA_kp_8:16.1	Evaṁ mahatthikā esā,	evam mahatthikā esā 
PA_kp_8:16.2	yadidaṁ puññasampadā;	yat idam puñña sampadā 
PA_kp_8:16.3	Tasmā dhīrā pasaṁsanti,	tasmai dhīrā pasasanti 
PA_kp_8:16.4	paṇḍitā katapuññatanti.	paṇḍitā kata puñña tanti 
PA_kp_8:17.1	Nidhikaṇḍasuttaṁ.	nidhi kaṇḍa sutta 
