segmentnr	original	folio	analyzed
PA_dt_1.1:0.1	Dhātukathā	0	
PA_dt_1.1:0.2	Uddesa	0	
PA_dt_1.1:0.3	1. Nayamātikā	0	
PA_dt_1.1:1.1	Namo tassa Bhagavato Arahato Sammāsambuddhassa.	1	
PA_dt_1.1:2.1	Saṅgaho asaṅgaho	2	
PA_dt_1.1:3.1	Saṅgahitena asaṅgahitaṁ	3	
PA_dt_1.1:4.1	Asaṅgahitena saṅgahitaṁ	4	
PA_dt_1.1:5.1	Saṅgahitena saṅgahitaṁ	5	
PA_dt_1.1:6.1	Asaṅgahitena asaṅgahitaṁ	6	
PA_dt_1.1:7.1	Sampayogo vippayogo	7	
PA_dt_1.1:8.1	Sampayuttena vippayuttaṁ	8	
PA_dt_1.1:9.1	Vippayuttena sampayuttaṁ	9	
PA_dt_1.1:10.1	Sampayuttena sampayuttaṁ	10	
PA_dt_1.1:11.1	Vippayuttena vippayuttaṁ	11	
PA_dt_1.1:12.1	Saṅgahitena sampayuttaṁ vippayuttaṁ	12	
PA_dt_1.1:13.1	Sampayuttena saṅgahitaṁ asaṅgahitaṁ	13	
PA_dt_1.1:14.1	Asaṅgahitena sampayuttaṁ vippayuttaṁ	14	
PA_dt_1.1:15.1	Vippayuttena saṅgahitaṁ asaṅgahitaṁ.	15	
