original	analyzed	corrected
Appekacce nāmagottaṁ sāvetvā ekamantaṁ nisīdiṁsu.	appa ekacce nāma gottam sāvetvā ekamantam 	appa ekacce nāma gottam sāvetvā ekamantam nisīdiṁsu
Appekacce tuṇhībhūtā ekamantaṁ nisīdiṁsu.	appa ekacce tuṇhībhūtāḥ ekamantam 	appa ekacce tuṇhībhūtā ekamantaṁ nisīdiṁsu
bhedā paraṁ maraṇā sugatiṁ saggaṁ lokaṁ upapannā devānaṁ tāvatiṁsānaṁ sahabyataṁ.	bhedā param maraṇā sugatim saggam lokam upapannā devānam 	bhedā param maraṇā sugatim saggam lokam upapannā devānam tāvatimsānam sahabyatam
‘ito no matānaṁ seyyo bhavissatī’ti.	itas naḥ matānam seyyaḥ bhavissati iti 	ito no matānaṁ seyyo bhavissati iti
Rājāpi maṁ pasenadi kosalo jānāti tirorājānopi:	rājā api mam pasenadi kosalaḥ jānāti 	rājā api mam pasenadi kosalaḥ jānāti tirorājāno api
So yena yena gacchi, khippaṁyeva pariyādiyati tiṇakaṭṭhodakaṁ haritakapaṇṇaṁ.	saḥ yena yena gacchi khippayā iva tiṇa kaṭṭha udakam 	so yena yena gacchi khippaṁ yeva pariyādiyati tiṇa kaṭṭha udakaṁ haritaka paṇṇaṁ
te mayaṁ yena yena gacchāma, khippameva pariyādiyati tiṇakaṭṭhodakaṁ haritakapaṇṇaṁ.	te mayam yena yena gacchāma khippam eva tiṇa kaṭṭhodakam 	te mayam yena yena gacchāma khippam eva pariyādiyati tiṇa kaṭṭhodakam haritaka paṇṇam
Rājāpi maṁ pasenadi kosalo jānāti tirorājānopi: ‘pāyāsi rājañño evaṁvādī evaṁdiṭṭhī:	rājā api mam pasenadi kosalaḥ jānāti rājaññaḥ eva vādī eva diṭṭhī 	rājā api mam pasenadi kosalaḥ jānāti tiro rājāno api pāyāsi rājaññaḥ evam vādī evam diṭṭhī
Rājāpi maṁ pasenadi kosalo jānāti tirorājānopi:	rājā api mam pasenadi kosalaḥ jānāti 	rājā api mam pasenadi kosalaḥ jānāti tirorājāno api
Rājāpi maṁ pasenadi kosalo jānāti tirorājānopi:	rājā api mam pasenadi kosalaḥ jānāti 	rājā api mam pasenadi kosalaḥ jānāti tirorājāno api
Tattha addasaṁsu pahūtaṁ sāṇasuttaṁ chaḍḍitaṁ, disvā sahāyako sahāyakaṁ āmantesi:	tattha pahūtam sāṇa suttam disvā sahāyakaḥ sahāyakam āmantesi 	tattha addasaṁsu pahūtam sāṇa suttam chaḍḍitaṁ disvā sahāyako sahāyakam āmantesi
Te yena sako gāmo tenupasaṅkamiṁsu.	te yena sakaḥ tena upasaṅkamisu 	te yena sako gāmo tena upasaṅkamiṁsu
Devo ca na kālena kālaṁ sammādhāraṁ anuppaveccheyya.	devo ca na kālena kālam sammādhāram 	devo ca na kālena kālam sammādhāram anuppaveccheyya
Devo ca kālena kālaṁ sammādhāraṁ anuppaveccheyya.	devo ca kālena kālam sammādhāram 	devo ca kālena kālam sammādhāram anuppaveccheyya
“saccaṁ kira tvaṁ, tāta uttara, dānaṁ datvā evaṁ anuddisasi:	saccam kira tva tāta uttara dānam da tvā evam 	saccam kira tvam tāta uttara dānam datvā evam anuddisasi
Nanu mayaṁ, tāta uttara, puññatthikā dānasseva phalaṁ pāṭikaṅkhino”ti?	nanu tāta uttara puññatthikāḥ dānassa iva phalam 	nanu mayaṁ tāta uttara puññatthikā dānassa eva phalaṁ pāṭikaṅkhino ti
“Bhoto kho dāne evarūpaṁ bhojanaṁ dīyati kaṇājakaṁ bilaṅgadutiyaṁ, yaṁ bhavaṁ pādāpi	bhoto kho dāne evarūpam bhojanam dīyati kaṇājakam yam bhavam 	bhoto kho dāne evarūpam bhojanam dīyati kaṇājakam bilaṅgadutiyam yam bhavam pādāpi
bhavaṁ pādāpi na iccheyya samphusituṁ, kuto paridahituṁ.	bhavam pāda api naḥ iccheyya kutas paridahitu 	bhavam pāda api na iccheyya samphusitum kutas paridahitum
“Saccāhaṁ, bhante, evaṁdiṭṭhiko ahosiṁ:	sacca āha bhante eva diṭṭhikaḥ ahosi 	saccā ahaṁ bhante evaṁ diṭṭhiko ahosiṁ
sugatiṁ saggaṁ lokaṁ upapanno devānaṁ tāvatiṁsānaṁ sahabyataṁ.	sugatim saggam lokam upapannaḥ devānam tāvati sānam 	sugatiṁ saggaṁ lokaṁ upapanno devānaṁ tāvatiṁsānaṁ sahabyataṁ
