original	analyzed	corrected
Yo adoso adussanā adussitattaṁ …pe… abyāpādo abyāpajjo adoso kusalamūlaṁ—	yaḥ adosaḥ a dussanā a dussita ttam pe a byāpādaḥ a byāpajjaḥ a dosaḥ 	yaḥ adosaḥ a dussanā a dussita ttam pe a byāpādaḥ a byāpajjaḥ a dosaḥ kusala mūlam
kāmāsavo, bhavāsavo, diṭṭhāsavo, avijjāsavo.	kāma āsavaḥ bhava āsavaḥ diṭṭha āsavaḥ avijja āsavaḥ 	kāma āsavo bhava āsavo diṭṭha āsavo avijja āsavo
Yo bhavesu bhavachando bhavarāgo bhavanandī bhavataṇhā bhavasineho bhavapariḷāho bhavamucchā bhavajjhosānaṁ—	yaḥ bhavesu bhava chandaḥ bhava rāgaḥ bhava nandī bhava taṇhā bhava sinehaḥ bhava pariḷāhaḥ bhava mucchā 	yaḥ bhavesu bhava chandaḥ bhava rāgaḥ bhava nandī bhava taṇhā bhava sinehaḥ bhava pariḷāhaḥ bhava mucchā bhava ajjhosānaṁ
vā, neva hoti na na hoti tathāgato paraṁ maraṇāti vā;	vā na iva hoti na na hoti tathāgataḥ param vā 	vā neva hoti na na hoti tathāgato paraṁ maraṇā ti vā
Seyyohamasmīti māno, sadisohamasmīti māno, hīnohamasmīti māno.	seyyā uham asmi iti māno sadisā uham asmi iti māno hīnā uham asmi iti māno 	seyyā uham asmi iti māno sadisā uham asmi iti māno hīnā uham asmi iti māno
vā, neva hoti na na hoti tathāgato paraṁ maraṇāti vā;	vā na iva hoti na na hoti tathāgataḥ param vā 	vā neva hoti na na hoti tathāgato paraṁ maraṇā ti vā
Yo bhavesu bhavachando bhavarāgo bhavanandī bhavataṇhā bhavasineho bhavapariḷāho bhavamucchā bhavajjhosānaṁ—	yaḥ bhavesu bhava chandaḥ bhava rāgaḥ bhava nandī bhava taṇhā bhava sinehaḥ bhava pariḷāhaḥ bhava mucchā 	yaḥ bhavesu bhava chandaḥ bhava rāgaḥ bhava nandī bhava taṇhā bhava sinehaḥ bhava pariḷāhaḥ bhava mucchā bhava ajjhosānaṁ
2.3.2.4.5. Saññojanasaññojanasampayuttaduka	saññojana saññojana sampayutta duka 	saññojana saññojana sampayutta duka
Yaṁ evarūpaṁ kukkuccaṁ kukkuccāyanā kukkuccāyitattaṁ cetaso vippaṭisāro manovilekho—	yam evarūpam kukkuccam kukkuccāyanā cetasaḥ vippaṭisāraḥ manaḥ vilekhaḥ 	yam evarūpam kukkuccam kukkuccāyanā kukkuccāyitattam cetasaḥ vippaṭisāraḥ manaḥ vilekhaḥ
vā, neva hoti na na hoti tathāgato paraṁ maraṇāti vā;	vā na iva hoti na na hoti tathāgataḥ param vā 	vā neva hoti na na hoti tathāgato paraṁ maraṇā ti vā
2.3.2.10.9. Cittasaṁsaṭṭhasamuṭṭhānaduka	citta sa saṭṭha samuṭṭhāna duka 	citta saṁsaṭṭha samuṭṭhāna duka
2.3.2.10.11. Cittasaṁsaṭṭhasamuṭṭhānānuparivattiduka	citta sa saṭṭha samuṭṭhāna anuparivatti duka 	citta saṁsaṭṭha samuṭṭhāna anuparivatti duka
Rūpāyatanaṁ …pe… dhammāyatanaṁ—	rūpa āyatanam pe dhamma āyatana 	rūpa āyatanam pe dhamma āyatanam
Natthi dinnaṁ, natthi yiṭṭhaṁ, natthi hutaṁ, natthi sukatadukkaṭānaṁ kammānaṁ phalaṁ	natthi natthi natthi huta natthi su kata dukkaṭānam kammānam 	natthi dinnaṁ natthi yiṭṭhaṁ natthi hutaṁ natthi su kata dukkaṭānaṁ kammānaṁ phalaṁ
kāmupādānaṁ sīlabbatupādānena upādānañceva upādānasampayuttañca, attavādupādānaṁ	kāma upādānam sīla bbata upādānena upādānam ca iva upādāna sampayuttam ca 	kāma upādānam sīla bbata upādānena upādānam ca eva upādāna sampayuttam ca attavāda upādānam
Seyyohamasmīti māno, sadisohamasmīti māno, hīnohamasmīti māno;	seyyā uham asmi iti māno sadisā uham asmi iti māno hīnā uham asmi iti māno 	seyyā uham asmi iti māno sadisā uham asmi iti māno hīnā uham asmi iti māno
vā, neva hoti na na hoti tathāgato paraṁ maraṇāti vā;	vā na iva hoti na na hoti tathāgataḥ param vā 	vā neva hoti na na hoti tathāgato paraṁ maraṇā ti vā
2.3.2.12.8. Kilesavippayuttasaṅkilesikaduka	kilesa vippayutta saṅkilesika duka 	kilesa vippayutta saṅkilesika duka
2.3.2.13.3. Dassanenapahātabbahetukaduka	dassanena apahātabba hetuka duka 	dassanena pahātabba apahātabba hetuka duka
2.3.2.13.4. Bhāvanāyapahātabbahetukaduka	bhāvanāya apahātabba hetuka duka 	bhāvanāya pahātabba ahetuka duka
