segmentnr	original	analyzed
PA_pvr_2.16:0.1	Parivāra	parivāra 
PA_pvr_2.16:0.2	Bhikkhunivibhaṅga	bhikkhuni vibhaṅga 
PA_pvr_2.16:0.3	Dutiyabhāga	dutiya bhāga 
PA_pvr_2.16:0.4	2.16 Samuccayavāra	samuccayavāra 
PA_pvr_2.16:1.1	Kāyasaṁsaggaṁ sādiyanapaccayā kati āpattiyo āpajjati?	kāyasasaggam sādiyana paccayā kati āpattiyaḥ āpajjati 
PA_pvr_2.16:1.2	Kāyasaṁsaggaṁ sādiyanapaccayā pañca āpattiyo āpajjati.	kāyasasaggam sādiyana paccayā pañca āpattiyaḥ āpajjati 
PA_pvr_2.16:1.3	Avassutā bhikkhunī avassutassa purisapuggalassa adhakkhakaṁ ubbhajāṇumaṇḍalaṁ gahaṇaṁ sādiyati, āpatti pārājikassa;	avassutā bhikkhunī avassutassa purisa puggalassa adhakkhakam ubbhaja aṇu maṇḍalam gahaṇam sādiyati āpatti pārājikassa 
PA_pvr_2.16:1.4	bhikkhu kāyena kāyaṁ āmasati, āpatti saṅghādisesassa;	bhikkhu kāyena kāyam āmasati āpatti saṅgha ādisesassa 
PA_pvr_2.16:1.5	kāyena kāyapaṭibaddhaṁ āmasati, āpatti thullaccayassa;	kāyena kāya paṭibaddham āmasati āpatti thullaccayassa 
PA_pvr_2.16:1.6	kāyapaṭibaddhena kāyapaṭibaddhaṁ āmasati, āpatti dukkaṭassa;	kāya paṭibaddhena kāya paṭibaddham āmasati āpatti dukkaṭassa 
PA_pvr_2.16:1.7	aṅgulipatodake pācittiyaṁ—	aṅguli patodake pācittiya 
PA_pvr_2.16:1.8	kāyasaṁsaggaṁ sādiyanapaccayā imā pañca āpattiyo āpajjati.	kāya sasaggam sādiyana paccayā imāḥ pañca āpattiyaḥ āpajjati 
PA_pvr_2.16:2.1	Tā āpattiyo catunnaṁ vipattīnaṁ kati vipattiyo bhajanti?	tāḥ āpattiyaḥ catunnam vipattīnam kati vipattiyaḥ bhajanti 
PA_pvr_2.16:2.2	Sattannaṁ āpattikkhandhānaṁ katihi āpattikkhandhehi saṅgahitā?	sattannam āpatti kkhandhānam katihi āpatti kkhandhehi saṅgahitā 
PA_pvr_2.16:2.3	Channaṁ āpattisamuṭṭhānānaṁ katihi samuṭṭhānehi samuṭṭhanti?	channam āpatti samuṭṭhānānam katihi samuṭṭhānehi samuṭṭhanti 
PA_pvr_2.16:2.4	Catunnaṁ adhikaraṇānaṁ katamaṁ adhikaraṇaṁ?	catunnam adhikaraṇānam katamam 
PA_pvr_2.16:2.5	Sattannaṁ samathānaṁ katihi samathehi sammanti?	sattannam samathānam katihi samathehi 
