segmentnr	original	analyzed
PA_vv_73:0.1	Vimānavatthu	vimāna vatthu 
PA_vv_73:0.2	Purisavimāna	purisa vimāna 
PA_vv_73:0.3	Pāyāsivagga	pāyāsivagga 
PA_vv_73:0.4	9. Dutiyakuṇḍalīvimānavatthu	dutiya kuṇḍalīvimāna vatthu 
PA_vv_73:1.1	“Alaṅkato malyadharo suvattho,	alaṅkataḥ malyadharaḥ suvatthaḥ 
PA_vv_73:1.2	Sukuṇḍalī kappitakesamassu;	su kuṇḍalī kappita kesa massu 
PA_vv_73:1.3	Āmuttahatthābharaṇo yasassī,	āmutta hattha ābharaṇaḥ yasassī 
PA_vv_73:1.4	Dibbe vimānamhi yathāpi candimā.	dibbe vimānamhi yathā api candimā 
PA_vv_73:2.1	Dibbā ca vīṇā pavadanti vagguṁ,	dibbā ca vīṇā pavadanti vaggu 
PA_vv_73:2.2	Aṭṭhaṭṭhakā sikkhitā sādhurūpā;	aṭṭhaṭṭhakā sikkhitā sādhu rūpā 
PA_vv_73:2.3	Dibbā ca kaññā tidasacarā uḷārā,	dibbā ca kaññā tidasa carā uḷārā 
PA_vv_73:2.4	Naccanti gāyanti pamodayanti.	naccanti gāyanti pamodayanti 
PA_vv_73:3.1	Deviddhipattosi mahānubhāvo,	deviddhipatto asi mahā anubhāvaḥ 
PA_vv_73:3.2	Manussabhūto kimakāsi puññaṁ;	manussa bhūtaḥ kim akāsi puñña 
PA_vv_73:3.3	Kenāsi evaṁ jalitānubhāvo,	kena asi evam jalita anubhāvaḥ 
PA_vv_73:3.4	Vaṇṇo ca te sabbadisā pabhāsatī”ti.	vaṇṇaḥ ca te sabbadisā pabhāsati iti 
PA_vv_73:4.1	So devaputto attamano,	saḥ deva puttaḥ atta mano 
PA_vv_73:4.2	…pe…	pe 
PA_vv_73:4.3	yassa kammassidaṁ phalaṁ.	yassa kammassa idam 
PA_vv_73:5.1	“Ahaṁ manussesu manussabhūto,	aham manussesu manussa bhūtaḥ 
PA_vv_73:5.2	Disvāna samaṇe sādhurūpe;	disvāna samaṇe sādhu rūpe 
PA_vv_73:5.3	Sampannavijjācaraṇe yasassī,	sampanna vijjā ācaraṇe yasassī 
PA_vv_73:5.4	Bahussute sīlavante pasanne;	bahussute sīlavante pasanne 
PA_vv_73:5.5	Annañca pānañca pasannacitto,	annam ca pānam ca pasanna cittaḥ 
PA_vv_73:5.6	Sakkacca dānaṁ vipulaṁ adāsiṁ.	sakkacca dānam vipulam adāsi 
PA_vv_73:6.1	Tena metādiso vaṇṇo,	tena mā itādisaḥ vaṇṇaḥ 
PA_vv_73:6.2	…pe…	pe 
PA_vv_73:6.3	Vaṇṇo ca me sabbadisā pabhāsatī”ti.	vaṇṇaḥ ca me sabbadisā pabhāsati iti 
PA_vv_73:7.1	Dutiyakuṇḍalīvimānaṁ navamaṁ.	dutiya kuṇḍalī vimānam 
