original	analyzed	corrected
kāmūpasaṁhitānaṁ rajanīyānaṁ, no ca kho dibbānaṁ saddānaṁ savanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	kāma upasahitānam no ca kho dibbānam saddānam savanāya piya rūpānam kāma upasahitānam 	kāma upasahitānam rajanīyānam no ca kho dibbānam saddānam savanāya piya rūpānam kāma upasahitānam rajanīyānam
kāmūpasaṁhitānaṁ rajanīyānaṁ, no ca kho dibbānaṁ saddānaṁ savanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	kāma upasahitānam no ca kho dibbānam saddānam savanāya piya rūpānam kāma upasahitānam 	kāma upasahitānam rajanīyānam no ca kho dibbānam saddānam savanāya piya rūpānam kāma upasahitānam rajanīyānam
kāmūpasaṁhitānaṁ rajanīyānaṁ, no ca kho dibbānaṁ saddānaṁ savanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	kāma upasahitānam no ca kho dibbānam saddānam savanāya piya rūpānam kāma upasahitānam 	kāma upasahitānam rajanīyānam no ca kho dibbānam saddānam savanāya piya rūpānam kāma upasahitānam rajanīyānam
kāmūpasaṁhitānaṁ rajanīyānaṁ, no ca kho dibbānaṁ rūpānaṁ dassanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	kāma upasahitānam no ca kho dibbānam rūpānam dassanāya piya rūpānam kāma upasahitānam 	kāma upasahitānam rajanīyānam no ca kho dibbānam rūpānam dassanāya piya rūpānam kāma upasahitānam rajanīyānam
dassanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	dassanāya piya rūpānam kāma upasahitānam 	dassanāya piya rūpānam kāma upasahitānam rajanīyānam
kāmūpasaṁhitānaṁ rajanīyānaṁ, no ca kho dibbānaṁ rūpānaṁ dassanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	kāma upasahitānam no ca kho dibbānam rūpānam dassanāya piya rūpānam kāma upasahitānam 	kāma upasahitānam rajanīyānam no ca kho dibbānam rūpānam dassanāya piya rūpānam kāma upasahitānam rajanīyānam
kāmūpasaṁhitānaṁ rajanīyānaṁ, no ca kho dibbānaṁ rūpānaṁ dassanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	kāma upasahitānam no ca kho dibbānam rūpānam dassanāya piya rūpānam kāma upasahitānam 	kāma upasahitānam rajanīyānam no ca kho dibbānam rūpānam dassanāya piya rūpānam kāma upasahitānam rajanīyānam
dassanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	dassanāya piya rūpānam kāma upasahitānam 	dassanāya piya rūpānam kāma upasahitānam rajanīyānam
kāmūpasaṁhitānaṁ rajanīyānaṁ, dibbānañca saddānaṁ savanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	dibbānam ca saddānam savanāya piya rūpānam kāma upasahitānam 	kāma upasahitānam rajanīyānam dibbānam ca saddānam savanāya piya rūpānam kāma upasahitānam rajanīyānam
saddānaṁ savanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	saddānam savanāya piya rūpānam kāmūpa sahitānam 	saddānam savanāya piya rūpānam kāmūpa sahitānam rajanīyānam
uddhamadho tiriyaṁ ubhayaṁsabhāvito samādhi hoti dibbānañca rūpānaṁ dassanāya piyarūpānaṁ	uddham adhas tiriyam samādhi hoti dibbānam ca rūpānam dassanāya piya rūpānam 	uddham adho tiriyam ubhayam sabhāvito samādhi hoti dibbānam ca rūpānam dassanāya piya rūpānam
kāmūpasaṁhitānaṁ rajanīyānaṁ, dibbānañca saddānaṁ savanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	dibbānam ca saddānam savanāya piya rūpānam kāma upasahitānam 	kāma upasahitānam rajanīyānam dibbānam ca saddānam savanāya piya rūpānam kāma upasahitānam rajanīyānam
saddānaṁ savanāya piyarūpānaṁ kāmūpasaṁhitānaṁ rajanīyānaṁ.	saddānam savanāya piya rūpānam kāmūpa sahitānam 	saddānam savanāya piya rūpānam kāmūpa sahitānam rajanīyānam
‘Evamāvuso’ti kho te dve pabbajitā mama paccassosuṁ.	evam āvuso ti kho te dve pabbajitāḥ mama 	evam āvuso ti kho te dve pabbajitā mama paccassosuṁ
