segmentnr	original	folio	analyzed
PA_mil_3.3.1:0.1	Milindapañha	0	
PA_mil_3.3.1:0.2	Vicāravagga	0	
PA_mil_3.3.1:0.3	1. Addhānamūlapañha	0	
PA_mil_3.3.1:1.1	Rājā āha—	1	
PA_mil_3.3.1:1.2	“bhante nāgasena, atītassa addhānassa kiṁ mūlaṁ, anāgatassa addhānassa kiṁ mūlaṁ, paccuppannassa addhānassa kiṁ mūlan”ti?	1	
PA_mil_3.3.1:1.3	“Atītassa ca, mahārāja, addhānassa anāgatassa ca addhānassa paccuppannassa ca addhānassa avijjā mūlaṁ.	1	
PA_mil_3.3.1:1.4_0	Avijjāpaccayā saṅkhārā, saṅkhārapaccayā viññāṇaṁ, viññāṇapaccayā nāmarūpaṁ, nāmarūpapaccayā	1	
PA_mil_3.3.1:1.4_1	saḷāyatanaṁ, saḷāyatanapaccayā phasso, phassapaccayā vedanā, vedanāpaccayā taṇhā,	1	
PA_mil_3.3.1:1.4_2	taṇhāpaccayā upādānaṁ, upādānapaccayā bhavo, bhavapaccayā jāti, jātipaccayā jarāmaraṇaṁ	1	
PA_mil_3.3.1:1.4_3	sokaparidevadukkhadomanassupāyāsā sambhavanti.	1	
PA_mil_3.3.1:1.5	Evametassa kevalassa dukkhakkhandhassa addhānassa purimā koṭi na paññāyatī”ti.	1	
PA_mil_3.3.1:2.1	“Kallosi, bhante nāgasenā”ti.	2	
PA_mil_3.3.1:3.1	Addhānamūlapañho paṭhamo.	3	
