segmentnr	original	analyzed
PA_pli-tv-bu-vb_sk71:0.1	Theravāda Vinaya	▁ther a vād a ▁vinay a
PA_pli-tv-bu-vb_sk71:0.2	Mahāvibhaṅga	▁mahā vibhaṃg a
PA_pli-tv-bu-vb_sk71:0.3	Sekhiyakaṇḍa	▁sekh iy akaṇḍ a
PA_pli-tv-bu-vb_sk71:0.4	Pādukavagga	▁pād uk avagga
PA_pli-tv-bu-vb_sk71:0.5	71. Pacchatogamanasikkhāpada	▁pacchato gaman asikkhāpad a
PA_pli-tv-bu-vb_sk71:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	▁tena ▁samayena ▁buddho ▁bhagavā ▁sāvatthiyaṃ ▁viharati ▁jetavane ▁ anāthapiṇḍikassa ▁ārām e
PA_pli-tv-bu-vb_sk71:1.2	Tena kho pana samayena chabbaggiyā bhikkhū pacchato gacchantā purato gacchantassa dhammaṁ desenti …pe….	▁tena ▁kho ▁pana ▁samayena ▁chabbaggiyā ▁bhikkhū ▁pacchato ▁gacchant ā ▁purato ▁gacchant assa ▁dhammaṃ ▁des enti ▁pe
PA_pli-tv-bu-vb_sk71:1.3.1	“Na pacchato gacchanto purato gacchantassa agilānassa dhammaṁ desessāmīti sikkhā karaṇīyā”ti.	▁na ▁pacchato ▁gacchant o ▁purato ▁gacchant assa ▁a gilān assa ▁dhammaṃ ▁des essāmīti ▁sikkhā ▁ karaṇīy āti
PA_pli-tv-bu-vb_sk71:1.4	Na pacchato gacchantena purato gacchantassa agilānassa dhammo desetabbo.	▁na ▁pacchato ▁gacchant ena ▁purato ▁gacchant assa ▁a gilān assa ▁dhammo ▁des etabbo
PA_pli-tv-bu-vb_sk71:1.5	Yo anādariyaṁ paṭicca pacchato gacchanto purato gacchantassa agilānassa dhammaṁ deseti, āpatti dukkaṭassa.	▁yo ▁anādar iyaṃ ▁paṭicca ▁pacchato ▁gacchant o ▁purato ▁gacchant assa ▁a gilān assa ▁dhammaṃ ▁des eti ▁āpatti ▁dukkaṭassa
PA_pli-tv-bu-vb_sk71:1.6.1	Anāpatti—	▁anāpatti
PA_pli-tv-bu-vb_sk71:1.7.1	asañcicca …pe…	▁as a ñc icc a ▁pe
PA_pli-tv-bu-vb_sk71:1.8	ādikammikassāti.	▁ādi kamm i k assāti
PA_pli-tv-bu-vb_sk71:1.9	Ekādasamasikkhāpadaṁ niṭṭhitaṁ.	▁ekādasa m asikkhāpad aṃ ▁niṭṭhitaṃ
