original	analyzed	corrected
2.2.1.4–6. Nissaya-saṁsaṭṭha-sampayuttavāra	nissaya sa saṭṭha sampayutta vāra 	nissaya saṁsaṭṭha sampayutta vāra
(Imaṁ dukaṁ yathā sappaccayadukaṁ, evaṁ gaṇetabbaṁ, ninnānākaraṇaṁ.)	imam dukam yathā sa paccaya duke evam 	imam dukam yathā sa paccaya dukam evam ganetabbam ninnānākaranam
kaṭattārūpaṁ upādārūpaṁ … bāhiraṁ … āhārasamuṭṭhānaṁ … utusamuṭṭhānaṁ … asaññasattānaṁ	kaṭattā rūpam upādā rūpam bāhiram āhāra samuṭṭhānam utu samuṭṭhānam 	kaṭattā rūpam upādā rūpam bāhiram āhāra samuṭṭhānam utu samuṭṭhānam asaññasattānam
kaṭattārūpaṁ upādārūpaṁ, vatthuṁ paccayā anidassanā khandhā. (Itarepi dve pañhā kātabbā.)	vatthum paccayā anidassanā khandhā itare pi dve pañhā kātabbā 	kaṭattārūpaṁ upādārūpaṁ vatthuṁ paccayā anidassanā khandhā itare pi dve pañhā kātabbā
uddhaccasahagato moho. (Itarepi dve kātabbā. Saṅkhittaṁ.)	uddhacca sahagataḥ mohaḥ itare pi dve kātabbā 	uddhacca sahagataḥ mohaḥ itare pi dve kātabbā saṅkhittaṁ
paccayo; anulomaṁ gotrabhussa …pe… gotrabhu maggassa …pe… nevasaññānāsaññāyatanaṁ	paccayaḥ anulomam gotrabhussa pe gotrabhu maggassa pe 	paccayaḥ anulomam gotrabhussa pe gotrabhu maggassa pe nevasaññānāsaññāyatanam
… utusamuṭṭhānā … asaññasattānaṁ mahābhūtā sanidassanānaṁ kaṭattārūpānaṁ, upādārūpānaṁ	utu samuṭṭhānā asaññasattānam mahābhūtā 	utu samuṭṭhānā asaññasattānam mahābhūtā sanidassanānaṁ kaṭattārūpānaṁ upādārūpānaṁ
kaṭattārūpaṁ, upādārūpaṁ, phoṭṭhabbāyatanaṁ paṭicca āpodhātu itthindriyaṁ …pe… kabaḷīkāro āhāro.	phoṭṭhabba āyatanam paṭicca āpodhātu itthi indriyam pe kabaḷīkāraḥ āhāro 	kaṭattā rūpam upādā rūpam phoṭṭhabba āyatanam paṭicca āpodhātu itthi indriyam pe kabaḷīkāro āhāro
itthindriyaṁ …pe… kabaḷīkāro āhāro.	itthi indriyam kabaḷīkāraḥ āhāraḥ 	itthi indriyam pe kabaḷīkāraḥ āhāraḥ
sappaṭighā mahābhūtā, āpodhātuṁ paṭicca sappaṭighaṁ cittasamuṭṭhānaṁ rūpaṁ, kaṭattārūpaṁ,	sa paṭighāḥ mahābhūtāḥ āpodhātum paṭicca sa paṭigham citta samuṭṭhānam 	sa paṭighāḥ mahābhūtāḥ āpodhātum paṭicca sa paṭigham citta samuṭṭhānam rūpam kaṭattā rūpam
āpodhātuñca paṭicca appaṭighaṁ cittasamuṭṭhānaṁ rūpaṁ, kaṭattārūpaṁ, upādārūpaṁ,	āpodhātuñca paṭicca appaṭigham citta samuṭṭhānam rūpa 	āpodhātuñca paṭicca appaṭigham citta samuṭṭhānam rūpam kaṭattā rūpam upādā rūpam
moho. (Nahetupaccayā nava pañhā, ahetukanti niyāmetabbaṁ.)	moho na hetu paccayāḥ nava pañhāḥ ahetukanti 	moho na hetu paccayā nava pañhā ahetukanti niyāmetabbaṁ
pakatūpanissayo …pe…. Pakatūpanissayo—saddhaṁ upanissāya dānaṁ deti, sīlaṁ …pe… kāyikaṁ	pakata upanissayaḥ pe pakata upanissaya usaddham upanissāya dānam deti sīlam pe 	pakata upanissayaḥ pe pakata upanissaya saddham upanissāya dānam deti sīlam pe kāyikam
pakatikāyeva), nakamme dve, navipāke pañca, naāhāre ekaṁ, naindriye ekaṁ, najhāne	na kamme dve na vipāke pañca na āhāre eka na indriye eka na jhāne 	pakatikāyeva na kamme dve na vipāke pañca na āhāre ekaṁ na indriye ekaṁ na jhāne
paccayā …pe… ekaṁ mahābhūtaṁ …pe… mahābhūte paccayā cittasamuṭṭhānaṁ rūpaṁ, kaṭattārūpaṁ,	paccayā pe ekam mahābhūtam pe mahābhūte paccayā citta samuṭṭhānam 	paccayā pe ekam mahābhūtam pe mahābhūte paccayā citta samuṭṭhānam rūpam kaṭattā rūpam
upādārūpaṁ, vatthuṁ paccayā lokiyā khandhā.	vatthum paccayā lokiyā khandhā 	upādārūpaṁ vatthuṁ paccayā lokiyā khandhā
(Saṁsaṭṭhavāro evaṁ vitthāretabbo, saha gaṇanāhi dve pañhā.)	evam vitthāretabbaḥ saha gaṇanāhi dve pañhā 	(Saṁsaṭṭhavāro) evaṁ vitthāretabbo saha gaṇanāhi dve pañhā
… vodānaṁ maggassa … anulomaṁ phalasamāpattiyā … nirodhā vuṭṭhahantassa nevasaññānāsaññāyatanaṁ	vodānam maggassa anulomam phala samāpattiyāḥ nirodhā vuṭṭhahantassa 	vodānam maggassa anulomam phala samāpattiyāḥ nirodhā vuṭṭhahantassa nevasaññānāsaññāyatanaṁ
pacchājātaṁ, āhāraṁ, indriyaṁ. Sahajātā—lokuttarā khandhā ca mahābhūtā ca cittasamuṭṭhānānaṁ	pacchājāta āhāra indriya sahajāta ālokuttarā khandhā ca mahābhūtā ca 	pacchājāta āhāra indriya sahajāta lokuttarā khandhā ca mahābhūtā ca cittasamuṭṭhānānaṁ
2.2.7.2–6. Sahajāta-paccaya-nissaya-saṁsaṭṭha-sampayuttavāra	sahajāta paccaya nissaya sasaṭṭha sampayutta vāra 	sahajāta paccaya nissaya saṁsaṭṭha sampayutta vāra
Nahetuyā nava …pe… novigate nava. (Evaṁ cattāripi gaṇanā paripuṇṇā.)	na hetuyā nava pe no vigate nava evam gaṇanā paripuṇṇā 	na hetuyā nava pe no vigate nava evaṁ cattāripi gaṇanā paripuṇṇā
