original	analyzed	corrected
samannāgatassa aññataraññatarena dukkhadhammena phuṭṭhassa soko socanā socitattaṁ	samannāgatassa aññatara aññatarena dukkha dhammena phuṭṭhassa 	samannāgatassa aññatara aññatarena dukkha dhammena phuṭṭhassa soko socanā socitattaṁ
antosoko antoparisoko cetaso parijjhāyanā domanassaṁ sokasallaṁ—	cetaso parijjhāyanā domanassam soka salla 	antosoko antoparisoko cetaso parijjhāyanā domanassam soka salla
Idampi “yampicchaṁ na labhati tampi dukkhaṁ”.	idam pi yam piccham na labhati tam pi 	idam pi yam piccham na labhati tam pi dukkham
Idampi “yampicchaṁ na labhati tampi dukkhaṁ”.	idam pi yam piccham na labhati tam pi 	idam pi yam piccham na labhati tam pi dukkham
Yāyaṁ taṇhā ponobhavikā nandirāgasahagatā tatratatrābhinandinī, seyyathidaṁ—	yā ayam taṇhā ponobhavikā nandi rāga sahagatā tatra tatra abhinandinī 	yā ayam taṇhā ponobhavikā nandi rāga sahagatā tatra tatra abhinandinī seyyathidam
Ayameva ariyo aṭṭhaṅgiko maggo, seyyathidaṁ—	ayam eva ariyaḥ aṭṭhaṅgikaḥ maggo 	ayam eva ariyo aṭṭhaṅgiko maggo seyyathidaṁ
viharati dukkhapaṭipadaṁ dandhābhiññaṁ, tasmiṁ samaye aṭṭhaṅgiko maggo hoti—	viharati dukkha paṭipadam tasmin samaye aṭṭhaṅgikaḥ maggaḥ hoti 	viharati dukkha paṭipadam dandhābhiññaṁ tasmin samaye aṭṭhaṅgikaḥ maggaḥ hoti
viharati dukkhapaṭipadaṁ dandhābhiññaṁ, tasmiṁ samaye aṭṭhaṅgiko maggo hoti—	viharati dukkha paṭipadam tasmin samaye aṭṭhaṅgikaḥ maggaḥ hoti 	viharati dukkha paṭipadam dandhābhiññaṁ tasmin samaye aṭṭhaṅgikaḥ maggaḥ hoti
viharati dukkhapaṭipadaṁ dandhābhiññaṁ, tasmiṁ samaye aṭṭhaṅgiko maggo hoti—	viharati dukkha paṭipadam tasmin samaye aṭṭhaṅgikaḥ maggaḥ hoti 	viharati dukkha paṭipadam dandhābhiññaṁ tasmin samaye aṭṭhaṅgikaḥ maggaḥ hoti
viharati dukkhapaṭipadaṁ dandhābhiññaṁ, tasmiṁ samaye aṭṭhaṅgiko maggo hoti—	viharati dukkha paṭipadam tasmin samaye aṭṭhaṅgikaḥ maggaḥ hoti 	viharati dukkha paṭipadam dandhābhiññaṁ tasmin samaye aṭṭhaṅgikaḥ maggaḥ hoti
viharati dukkhapaṭipadaṁ dandhābhiññaṁ, tasmiṁ samaye pañcaṅgiko maggo hoti—	viharati dukkha paṭipadam tasmin samaye pañcaṅgikaḥ maggaḥ hoti 	viharati dukkha paṭipadam dandhābhiññaṁ tasmin samaye pañcaṅgikaḥ maggaḥ hoti
viharati dukkhapaṭipadaṁ dandhābhiññaṁ, tasmiṁ samaye pañcaṅgiko maggo hoti—	viharati dukkha paṭipadam tasmin samaye pañcaṅgikaḥ maggaḥ hoti 	viharati dukkha paṭipadam dandhābhiññaṁ tasmin samaye pañcaṅgikaḥ maggaḥ hoti
siyā adukkhamasukhāya vedanāya sampayuttaṁ, siyā na vattabbaṁ—“sukhāya vedanāya sampayuttan”tipi,	siyā adukkhamasukhāya vedanāya siyā na vattabba sukhāya vedanāya 	siyā adukkhamasukhāya vedanāya sampayuttaṁ siyā na vattabbaṁ sukhāya vedanāya sampayuttantipi
siyā na vattabbaṁ—“savitakkasavicāran”tipi, “avitakkavicāramattan”tipi, “avitakkaavicāran”tipi.	siyā na vattabba sa vitakka sa vicāra avitakka vicāra matta ntipi avitakka avicāra avitakka 	siyā na vattabbaṁ savitakka sa vicāran tipi avitakka vicāra mattan tipi avitakka avicāran tipi
