original	analyzed	corrected
“Yāvakīvañca, ānanda, vajjīnaṁ arahantesu dhammikā rakkhāvaraṇagutti susaṁvihitā	ānanda arahantesu dhammikā rakkhā āvaraṇa gutti su sa vihitā 	Yāva kīvañca ānanda vajjīnaṁ arahantesu dhammikā rakkhā āvaraṇa gutti su sa vihitā
Yāvakīvañca, brāhmaṇa, ime satta aparihāniyā dhammā vajjīsu ṭhassanti, imesu ca sattasu	brāhmaṇa ime satta aparihāniyāḥ dhammāḥ vajjīsu imesu ca sattasu 	Yāvakīvañca brāhmaṇa ime satta aparihāniyāḥ dhammāḥ vajjīsu ṭhassanti imesu ca sattasu
“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.	eva bhante iti kho te bhikkhū bhagavato 	evaṁ bhante iti kho te bhikkhū bhagavato paccassosuṁ
Yāvakīvañca, bhikkhave, ime satta aparihāniyā dhammā bhikkhūsu ṭhassanti, imesu ca	bhikkhave ime satta aparihāniyāḥ dhammāḥ bhikkhūsu imesu ca 	Yāvakīvañca bhikkhave ime satta aparihāniyāḥ dhammāḥ bhikkhūsu ṭhassanti imesu ca
“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.	eva bhante iti kho te bhikkhū bhagavato 	evaṁ bhante iti kho te bhikkhū bhagavato paccassosuṁ
Yāvakīvañca, bhikkhave, ime satta aparihāniyā dhammā bhikkhūsu ṭhassanti, imesu ca	bhikkhave ime satta aparihāniyāḥ dhammāḥ bhikkhūsu imesu ca 	Yāvakīvañca bhikkhave ime satta aparihāniyāḥ dhammāḥ bhikkhūsu ṭhassanti imesu ca
Yāvakīvañca, bhikkhave, ime satta aparihāniyā dhammā bhikkhūsu ṭhassanti, imesu ca	bhikkhave ime satta aparihāniyāḥ dhammāḥ bhikkhūsu imesu ca 	Yāvakīvañca bhikkhave ime satta aparihāniyāḥ dhammāḥ bhikkhūsu ṭhassanti imesu ca
“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.	eva bhante iti kho te bhikkhū bhagavato 	evaṁ bhante iti kho te bhikkhū bhagavato paccassosuṁ
Yāvakīvañca, bhikkhave, ime satta aparihāniyā dhammā bhikkhūsu ṭhassanti, imesu ca	bhikkhave ime satta aparihāniyāḥ dhammāḥ bhikkhūsu imesu ca 	Yāvakīvañca bhikkhave ime satta aparihāniyāḥ dhammāḥ bhikkhūsu ṭhassanti imesu ca
“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.	eva bhante iti kho te bhikkhū bhagavato 	evaṁ bhante iti kho te bhikkhū bhagavato paccassosuṁ
Yāvakīvañca, bhikkhave, ime satta aparihāniyā dhammā bhikkhūsu ṭhassanti, imesu ca	bhikkhave ime satta aparihāniyāḥ dhammāḥ bhikkhūsu imesu ca 	Yāvakīvañca bhikkhave ime satta aparihāniyāḥ dhammāḥ bhikkhūsu ṭhassanti imesu ca
“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.	eva bhante iti kho te bhikkhū bhagavato 	evaṁ bhante iti kho te bhikkhū bhagavato paccassosuṁ
“sabbasantharisanthataṁ, bhante, āvasathāgāraṁ, āsanāni paññattāni, udakamaṇiko patiṭṭhāpito, telapadīpo āropito;	bhante āvasatha āgāre āsanāni paññattāni udaka maṇikaḥ patiṭṭhāpito tela padīpaḥ āropito 	sabba santhari santhataṁ bhante āvasatha āgāraṁ āsanāni paññattāni udaka maṇiko patiṭṭhāpito tela padīpo āropito
“yesaṁ, bhikkhave, bhikkhūnaṁ devā tāvatiṁsā adiṭṭhapubbā, oloketha, bhikkhave, licchaviparisaṁ;	bhikkhave bhikkhūnam devā tāvatisāḥ a diṭṭha pubbāḥ oloketha bhikkhave 	yesaṁ bhikkhave bhikkhūnaṁ devā tāvatiṁsā adiṭṭhapubbā oloketha bhikkhave licchaviparisaṁ
Natthānanda, tathāgatassa dhammesu ācariyamuṭṭhi.	nattha ānanda tathāgatassa dhammesu 	nattha ānanda tathāgatassa dhammesu ācariyamuṭṭhi
Ossaṭṭhe ca bhagavatā āyusaṅkhāre mahābhūmicālo ahosi bhiṁsanako salomahaṁso, devadundubhiyo ca phaliṁsu.	ossaṭṭhe ca bhagavatā āyu saṅkhāre mahā bhūmicālaḥ ahosi bhisa nako ca 	ossaṭṭhe ca bhagavatā āyu saṅkhāre mahā bhūmicālaḥ ahosi bhisa nako salomahaṁso devadundubhiyo ca phaliṁsu
sumahā vatāyaṁ bhūmicālo bhiṁsanako salomahaṁso; devadundubhiyo ca phaliṁsu.	su mahāḥ vata ayam bhūmicālaḥ bhisanakaḥ ca 	su mahā vata ayaṁ bhūmicālo bhiṁsanako salomahaṁso devadundubhiyo ca phaliṁsu
sumahā vatāyaṁ, bhante, bhūmicālo bhiṁsanako salomahaṁso; devadundubhiyo ca phaliṁsu.	su mahā vatāya bhante bhūmicālaḥ ca 	su mahā vatāyaṁ bhante bhūmicālo bhiṁsanako salomahaṁso devadundubhiyo ca phaliṁsu
“Tasmātihānanda, tuyhevetaṁ dukkaṭaṁ, tuyhevetaṁ aparaddhaṁ, yaṁ tvaṁ tathāgatena	tasmāt ati ha ānanda tuyhā iva etam dukkaṭa tuyhā iva etam aparaddha yam tvam tathāgatena 	tasmāt iha ānanda tuyha eva etam dukkaṭam tuyha eva etam aparaddham yam tvam tathāgatena
Tasmātihānanda, tuyhevetaṁ dukkaṭaṁ, tuyhevetaṁ aparaddhaṁ.	tasmāt atiha ānanda tuyhā iva etam dukkaṭa tuyhā iva etam aparaddha 	tasmāti ha ānanda tuyha eva etaṁ dukkaṭaṁ tuyha eva etaṁ aparaddhaṁ
Tatrāpi kho tāhaṁ, ānanda, āmantesiṁ:	tatra api khalu tāha ānandaḥ āmantesi 	tatra api kho tāhaṁ ānanda āmantesiṁ
Tasmātihānanda, tuyhevetaṁ dukkaṭaṁ, tuyhevetaṁ aparaddhaṁ.	tasmāt atiha ānanda tuyhā iva etam dukkaṭa tuyhā iva etam aparaddha 	tasmāti ha ānanda tuyha eva etaṁ dukkaṭaṁ tuyha eva etaṁ aparaddhaṁ
tattheva rājagahe viharāmi vebhārapasse sattapaṇṇiguhāyaṁ …	tattha iva rājagahe viharāmi vebhāra passe 	tattha eva rājagahe viharāmi vebhāra passe sattapaṇṇi guhāyaṁ
Tatrāpi kho tāhaṁ, ānanda, āmantesiṁ:	tatra api khalu tāha ānandaḥ āmantesi 	tatra api kho tāhaṁ ānanda āmantesiṁ
Tasmātihānanda, tuyhevetaṁ dukkaṭaṁ, tuyhevetaṁ aparaddhaṁ.	tasmāt atiha ānanda tuyhā iva etam dukkaṭa tuyhā iva etam aparaddha 	tasmāti ha ānanda tuyha eva etaṁ dukkaṭaṁ tuyha eva etaṁ aparaddhaṁ
Tatrāpi kho tāhaṁ, ānanda, āmantesiṁ:	tatra api khalu tāha ānandaḥ āmantesi 	tatra api kho tāhaṁ ānanda āmantesiṁ
Tasmātihānanda, tuyhevetaṁ dukkaṭaṁ, tuyhevetaṁ aparaddhaṁ.	tasmāt atiha ānanda tuyhā iva etam dukkaṭa tuyhā iva etam aparaddha 	tasmāti ha ānanda tuyha eva etaṁ dukkaṭaṁ tuyha eva etaṁ aparaddhaṁ
“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.	eva bhante iti kho te bhikkhū bhagavato 	evaṁ bhante iti kho te bhikkhū bhagavato paccassosuṁ
‘addhā idaṁ na ceva tassa bhagavato vacanaṁ;	addhā idam na ca iva tassa bhagavataḥ 	addhā idam na ca eva tassa bhagavato vacanaṁ
‘addhā idaṁ na ceva tassa bhagavato vacanaṁ;	addhā idam na ca iva tassa bhagavataḥ 	addhā idam na ca eva tassa bhagavato vacanaṁ
‘addhā idaṁ na ceva tassa bhagavato vacanaṁ;	addhā idam na ca iva tassa bhagavataḥ 	addhā idam na ca eva tassa bhagavato vacanaṁ
‘addhā idaṁ na ceva tassa bhagavato vacanaṁ;	addhā idam na ca iva tassa bhagavataḥ 	addhā idaṁ na ca eva tassa bhagavato vacanaṁ
“yaṁ te, cunda, sūkaramaddavaṁ paṭiyattaṁ, tena maṁ parivisa.	yam te cunda sūkara maddavam tena mama parivisa 	yam te cunda sūkara maddavam paṭiyattam tena mam parivisa
“iṅgha me tvaṁ, ānanda, pānīyaṁ āhara, pipāsitosmi, ānanda, pivissāmī”ti.	me tvam ānanda pānīyam āhara pipāsitaḥ asmi ānanda pivissāmi iti 	iṅgha me tvam ānanda pānīyam āhara pipāsitaḥ asmi ānanda pivissāmi iti
