segmentnr	original	analyzed
PA_ja_459:0.1	Jātaka	jātaka 
PA_ja_459:0.2	Ekādasakanipāta	ekādasaka nipāta 
PA_ja_459:0.3	Mātuposakavagga	mātu posaka vagga 
PA_ja_459:0.4	5. Pānīyajātaka	pānīyajātaka 
PA_ja_459:1.1	“Mitto mittassa pānīyaṁ,	mittaḥ mittassa pānīya 
PA_ja_459:1.2	adinnaṁ paribhuñjisaṁ;	a dinnam paribhuñjisa 
PA_ja_459:1.3	Tena pacchā vijigucchiṁ,	tena pacchā vijigucchi 
PA_ja_459:1.4	taṁ pāpaṁ pakataṁ mayā;	tam pāpam pakatam mayā 
PA_ja_459:1.5	Mā puna akaraṁ pāpaṁ,	mā puna akaram pāpa 
PA_ja_459:1.6	tasmā pabbajito ahaṁ.	tasmā pabbajitaḥ aha 
PA_ja_459:2.1	Paradārañca disvāna,	paradārañca disvāna 
PA_ja_459:2.2	chando me udapajjatha;	chandaḥ me udapajjatha 
PA_ja_459:2.3	Tena pacchā vijigucchiṁ,	tena pacchā vijigucchi 
PA_ja_459:2.4	taṁ pāpaṁ pakataṁ mayā;	tam pāpam pakatam mayā 
PA_ja_459:2.5	Mā puna akaraṁ pāpaṁ,	mā puna akaram pāpa 
PA_ja_459:2.6	tasmā pabbajito ahaṁ.	tasmā pabbajitaḥ aha 
PA_ja_459:3.1	Pitaraṁ me mahārāja,	pitaram me mahā rāja 
PA_ja_459:3.2	corā agaṇhu kānane;	corāḥ agaṇhu kānane 
PA_ja_459:3.3	Tesāhaṁ pucchito jānaṁ,	tesāham pucchitaḥ jāna 
PA_ja_459:3.4	aññathā naṁ viyākariṁ.	aññathā nam viyākari 
PA_ja_459:4.1	Tena pacchā vijigucchiṁ,	tena pacchā vijigucchi 
PA_ja_459:4.2	taṁ pāpaṁ pakataṁ mayā;	tam pāpam pakatam mayā 
PA_ja_459:4.3	Mā puna akaraṁ pāpaṁ,	mā puna akaram pāpa 
PA_ja_459:4.4	tasmā pabbajito ahaṁ.	tasmā pabbajitaḥ aha 
PA_ja_459:5.1	Pāṇātipātamakaruṁ,	pāṇa atipātam akaru 
PA_ja_459:5.2	somayāge upaṭṭhite;	somayāge upaṭṭhite 
PA_ja_459:5.3	Tesāhaṁ samanuññāsiṁ.	tesa aham samanuññā asi 
PA_ja_459:6.1	Tena pacchā vijigucchiṁ,	tena pacchā vijigucchi 
PA_ja_459:6.2	taṁ pāpaṁ pakataṁ mayā;	tam pāpam pakatam mayā 
PA_ja_459:6.3	Mā puna akaraṁ pāpaṁ,	mā puna akaram pāpa 
PA_ja_459:6.4	tasmā pabbajito ahaṁ.	tasmā pabbajitaḥ aha 
PA_ja_459:7.1	Surāmerayamādhukā,	surā meraya mādhukā 
PA_ja_459:7.2	ye janā paṭhamāsu no;	ye janā paṭhamāsu naḥ 
PA_ja_459:7.3	Bahūnaṁ te anatthāya,	bahūnam te anatthāya 
PA_ja_459:7.4	majjapānamakappayuṁ;	majja pānam akappayu 
PA_ja_459:7.5	Tesāhaṁ samanuññāsiṁ.	tesa aham samanuññā asi 
PA_ja_459:8.1	Tena pacchā vijigucchiṁ,	tena pacchā vijigucchi 
PA_ja_459:8.2	taṁ pāpaṁ pakataṁ mayā;	tam pāpam pakatam mayā 
