original	analyzed	corrected
Yo kāmarāgānusayena sānusayo so paṭighānusayena sānusayoti? Āmantā.	yaḥ kāma rāga anusayena sa anusayaḥ saḥ paṭigha anusayena sa anusayaḥ iti āmantā 	yo kāma rāga anusayena sa anusayo so paṭigha anusayena sa anusayo iti āmantā
Yo vā pana paṭighānusayena sānusayo so kāmarāgānusayena sānusayoti? Āmantā.	yaḥ vā pana paṭigha anusayena sa anusayaḥ saḥ kāma rāga anusayena sa anusayaḥ iti āmantā 	yaḥ vā pana paṭigha anusayena sa anusayaḥ saḥ kāma rāga anusayena sa anusayaḥ iti āmantā
Yo kāmarāgānusayena sānusayo so mānānusayena sānusayoti? Āmantā.	yaḥ kāma rāga anusayena sa anusayaḥ saḥ māna anusayena sa anusayaḥ iti āmantā 	yo kāma rāga anusayena sa anusayo so māna anusayena sa anusayo iti āmantā
Yo vā pana mānānusayena sānusayo so kāmarāgānusayena sānusayoti?	yaḥ vā pana māna anusayena sa anusayaḥ saḥ kāma rāga anusayena sa anusayaḥ iti 	yo vā pana māna anusayena sa anusayo so kāma rāga anusayena sa anusayo iti
Yo kāmarāgānusayena sānusayo so bhavarāgānusayena …pe… avijjānusayena sānusayoti? Āmantā.	yaḥ kāma rāga anusayena sa anusayaḥ saḥ bhava rāga anusayena pe avijjā anusayena sa anusayaḥ ti āmantā 	yaḥ kāma rāga anusayena sa anusayaḥ saḥ bhava rāga anusayena pe avijjā anusayena sa anusayaḥ ti āmantā
Yo paṭighānusayena sānusayo so mānānusayena sānusayoti? Āmantā.	yaḥ paṭigha anusayena sa anusayaḥ saḥ māna anusayena sa anusayaḥ iti āmantā 	yaḥ paṭigha anusayena sa anusayaḥ saḥ māna anusayena sa anusayaḥ iti āmantā
Yo vā pana mānānusayena sānusayo so paṭighānusayena sānusayoti?	yaḥ vā pana māna anusayena sa anusayaḥ saḥ paṭigha anusayena sa anusayaḥ iti 	yo vā pana māna anusayena sa anusayo so paṭigha anusayena sa anusayo iti
Yo mānānusayena sānusayo so bhavarāgānusayena …pe… avijjānusayena sānusayoti? Āmantā.	yaḥ māna anusayena sa anusayaḥ saḥ bhava rāga anusayena pe avijjā anusayena sa anusayaḥ ti āmantā 	yaḥ māna anusayena sa anusayaḥ saḥ bhava rāga anusayena pe avijjā anusayena sa anusayaḥ ti āmantā
Yo bhavarāgānusayena sānusayo so avijjānusayena sānusayoti? Āmantā.	yaḥ bhava rāga anusayena sa anusayaḥ saḥ avijja anusayena sa anusayaḥ ti āmantā 	yo bhava rāga anusayena sa anusayo so avijjā anusayena sa anusayo ti āmantā
Yo vā pana avijjānusayena sānusayo so bhavarāgānusayena sānusayoti? Āmantā. (Ekamūlakaṁ.)	yaḥ vā pana avijjā anusayena sa anusayaḥ saḥ bhava rāga anusayena sa anusayaḥ iti āmantā ekamūlaka 	yo vā pana avijjā anusayena sa anusayaḥ so bhava rāga anusayena sa anusayaḥ iti āmantā ekamūlakaṁ
Tayo puggalā avijjānusayena ca sānusayā kāmarāgānusayena ca paṭighānusayena ca sānusayā. (Dukamūlakaṁ.)	tayo puggalā avijjā anusayena ca sa anusayā kāma rāga anusayena ca paṭigha anusayena ca sa anusayā 	tayo puggalā avijjā anusayena ca sa anusayā kāma rāga anusayena ca paṭigha anusayena ca sa anusayā duka mūlakaṁ
ca vicikicchānusayena ca bhavarāgānusayena ca sānusayo. (Chakkamūlakaṁ.)	ca vicikicchā anusayena ca bhava rāga anusayena ca sa anusayaḥ 	ca vicikicchā anusayena ca bhava rāga anusayena ca sa anusayo
Yato kāmarāgānusayena sānusayo tato paṭighānusayena sānusayoti? No.	yatas kāma rāga anusayena sa anusayaḥ tatas paṭigha anusayena sa anusayaḥ iti no 	yato kāma rāga anusayena sa anusayo tato paṭigha anusayena sa anusayo iti no
Yato vā pana paṭighānusayena sānusayo tato kāmarāgānusayena sānusayoti? No.	yatas vā pana paṭigha anusayena sa anusayaḥ tatas kāma rāga anusayena sa anusayaḥ iti no 	yato vā pana paṭigha anusayena sa anusayo tato kāma rāga anusayena sa anusayo iti no
Yato kāmarāgānusayena sānusayo tato mānānusayena sānusayoti? Āmantā.	yatas kāma rāga anusayena sa anusayaḥ tatas māna anusayena sa anusayaḥ iti āmantā 	yato kāma rāga anusayena sa anusayo tato māna anusayena sa anusayo iti āmantā
Yato vā pana mānānusayena sānusayo tato kāmarāgānusayena sānusayoti?	yatas vā pana māna anusayena sa anusayaḥ tatas kāma rāga anusayena sa anusayaḥ iti 	yato vā pana māna anusayena sa anusayo tato kāma rāga anusayena sa anusayo iti
Yato kāmarāgānusayena sānusayo tato bhavarāgānusayena sānusayoti? No.	yatas kāma rāga anusayena sa anusayaḥ tatas bhava rāga anusayena sa anusayaḥ iti no 	yato kāma rāga anusayena sa anusayo tato bhava rāga anusayena sa anusayo iti no
