original	analyzed	corrected
“Amhākaṁ, bhante, sake ācariyake evaṁ hoti:	bhante sake ācariyake evam hoti 	Amhākaṁ bhante sake ācariyake evaṁ hoti
‘ambho purisa, yaṁ tvaṁ janapadakalyāṇiṁ icchasi kāmesi, jānāsi taṁ janapadakalyāṇiṁ—evaṁnāmā	ambho purisa yam tvam janapadakalyāṇim icchasi kāmesi jānāsi tam 	ambho purisa yam tvam janapadakalyāṇim icchasi kāmesi jānāsi tam janapadakalyāṇim evamnāmā
bhāsate ca tapate ca virocati ca, yo vā rattandhakāratimisāya kimi khajjopanako—imesaṁ	bhāsate ca tapate ca virocati ca yaḥ vā 	bhāsate ca tapate ca virocati ca yo vā rattandhakāratimisāya kimi khajjopanako imesaṁ
“Yvāyaṁ, bhante, rattandhakāratimisāya kimi khajjopanako—ayaṁ imesaṁ ubhinnaṁ vaṇṇānaṁ abhikkantataro ca paṇītataro cā”ti.	bhante rattandhakāratimisāya imesam ubhinnam vaṇṇānam abhikkantataraḥ ca paṇītataraḥ ca ati 	Yvāyaṁ bhante rattandhakāratimisāya kimi khajjopanako ayaṁ imesaṁ ubhinnaṁ vaṇṇānaṁ abhikkantataro ca paṇītataro ca ti
“Yvāyaṁ, bhante, rattandhakāratimisāya telappadīpo—ayaṁ imesaṁ ubhinnaṁ vaṇṇānaṁ abhikkantataro ca paṇītataro cā”ti.	bhante ratta ndhakāra timisāya imesam ubhinnam vaṇṇānam abhikkantataraḥ ca paṇītataraḥ ca ati 	Yvāyam bhante ratta ndhakāra timisāya telappadīpo ayam imesam ubhinnam vaṇṇānam abhikkantataraḥ ca paṇītataraḥ ca ti
vigatavalāhake deve osadhitārakā—imesaṁ ubhinnaṁ vaṇṇānaṁ katamo vaṇṇo abhikkantataro	vigata valāhake deve ubhinnam vaṇṇānam katamaḥ vaṇṇaḥ abhikkantataraḥ 	vigata valāhake deve osadhitārakā imesaṁ ubhinnam vaṇṇānam katamaḥ vaṇṇaḥ abhikkantataraḥ
pannarase viddhe vigatavalāhake deve abhido aḍḍharattasamayaṁ cando—imesaṁ ubhinnaṁ	pannarase viddhe vigata valāhake deve abhidaḥ aḍḍha ratta samayam 	pannarase viddhe vigata valāhake deve abhidaḥ aḍḍha ratta samayam cando imesam ubhinnam
“Ato kho te, udāyi, bahū hi bahutarā devā ye imesaṁ candimasūriyānaṁ ābhā nānubhonti, tyāhaṁ pajānāmi.	atas khalu te udāyi bahū hi bahutarāḥ devāḥ ye ābhā na anubhonti tyā aham pajānāmi 	atas khalu te udāyi bahū hi bahutarāḥ devāḥ ye imesaṁ candimasūriyānaṁ ābhā na anubhonti tyā aham pajānāmi
“Acchidaṁ bhagavā kathaṁ, acchidaṁ sugato kathan”ti.	acchidam bhagavā acchidam sugataḥ 	acchidam bhagavā katham acchidam sugato kathanti
‘acchidaṁ bhagavā kathaṁ, acchidaṁ sugato kathan’”ti?	acchidam bhagavā acchidam sugataḥ 	acchidam bhagavā katham acchidam sugato katham ti
“Amhākaṁ, bhante, sake ācariyake evaṁ hoti:	bhante sake ācariyake evam hoti 	Amhākaṁ bhante sake ācariyake evaṁ hoti
“Amhākaṁ, bhante, sake ācariyake evaṁ hoti:	bhante sake ācariyake evam hoti 	Amhākaṁ bhante sake ācariyake evaṁ hoti
“Acchidaṁ bhagavā kathaṁ, acchidaṁ sugato kathan”ti.	acchidam bhagavā acchidam sugataḥ 	acchidam bhagavā katham acchidam sugato kathanti
‘acchidaṁ bhagavā kathaṁ, acchidaṁ sugato kathan’”ti?	acchidam bhagavā acchidam sugataḥ 	acchidam bhagavā katham acchidam sugato katham ti
“Amhākaṁ, bhante, sake ācariyake evaṁ hoti:	bhante sake ācariyake evam hoti 	Amhākaṁ bhante sake ācariyake evaṁ hoti
‘Khīṇā jāti, vusitaṁ brahmacariyaṁ, kataṁ karaṇīyaṁ, nāparaṁ itthattāyā’ti pajānāti.	brahmacariya katam karaṇīya na aparam itthattāya ati pajānāti 	Khīṇā jāti vusitaṁ brahmacariyaṁ kataṁ karaṇīyaṁ na aparaṁ itthattāya iti pajānāti
mā bhavaṁ, udāyi, ācariyo hutvā antevāsīvāsaṁ vasī”ti.	mā bhava udāyi hutvā antevāsī vāsam vasi iti 	mā bhavaṁ udāyi ācariyo hutvā antevāsī vāsaṁ vasi iti
