original	analyzed	corrected
rassaṁ aṇuṁ thūlaṁ vaṭṭaṁ parimaṇḍalaṁ caturassaṁ chaḷaṁsaṁ aṭṭhaṁsaṁ soḷasaṁsaṁ	aṇum thūlam vaṭṭam parimaṇḍalam caturassam chaḷasam aṭṭhasam 	rassam aṇum thūlam vaṭṭam parimaṇḍalam caturassam chaḷamsam aṭṭhamsam soḷasamsam
Dvādasannaṁ āyatanānaṁ kati kusalā, kati akusalā, kati abyākatā …pe… kati saraṇā, kati araṇā?	kati kusalā kati akusalā kati abyākatā pe kati saraṇā kati araṇā 	Dvādasannaṁ āyatanānaṁ kati kusalā kati akusalā kati abyākatā pe kati saraṇā kati araṇā
siyā adukkhamasukhāya vedanāya sampayuttaṁ, siyā na vattabbaṁ—“sukhāya vedanāya sampayuttan”tipi,	siyā adukkhamasukhāya vedanāya siyā na vattabba sukhāya vedanāya 	siyā adukkhamasukhāya vedanāya sampayuttaṁ siyā na vattabbaṁ sukhāya vedanāya sampayuttantipi
siyā na vattabbaṁ—“savitakkasavicāran”tipi, “avitakkavicāramattan”tipi, “avitakkaavicāran”tipi.	siyā na vattabba sa vitakka sa vicāra avitakka vicāra matta ntipi avitakka avicāra avitakka 	siyā na vattabbaṁ savitakka sa vicāran tipi avitakka vicāra mattan tipi avitakka avicāran tipi
“hetū ceva sahetukā cā”tipi, “sahetukā ceva na ca hetū”tipi.	hetū ca iva sa hetukā ca atipi sa hetukā ca iva na ca 	hetū ca eva sa hetukā ca iti api sa hetukā ca eva na ca hetū iti api
“hetū ceva hetusampayuttā cā”tipi, “hetusampayuttā ceva na ca hetū”tipi.	hetū ca iva hetu sampayuttā ca atipi hetu sampayuttā ca iva na ca 	hetū ca eva hetu sampayuttā ca iti api hetu sampayuttā ca eva na ca hetū iti api
Dhammāyatanaṁ siyā saṅkhataṁ, siyā asaṅkhataṁ.	dhamma āyatanam siyā asaṅkhata 	dhamma āyatanam siyā saṅkhatam siyā asaṅkhatam
no ca saṁyojanaṁ, siyā na vattabbaṁ—“saṁyojanañceva saṁyojanasampayuttañcā”tipi,	no ca siyā na vattabba sayojanam ca iva sayojana sampayuttam ca atipi 	no ca saṁyojanaṁ siyā na vattabbaṁ saṁyojanaṁ ca eva saṁyojana sampayuttaṁ ca atipi
“saṁyojanasampayuttañceva no ca saṁyojanan”tipi.	sayojana sampayuttam ca iva no ca 	saṁyojana sampayuttañ ceva no ca saṁyojanan ti pi
Dhammāyatanaṁ siyā nīvaraṇaṁ, siyā no nīvaraṇaṁ.	dhamma āyatanam siyā no nīvaraṇa 	dhamma āyatanam siyā nīvaraṇam siyā no nīvaraṇam
Dhammāyatanaṁ siyā cittasaṁsaṭṭhasamuṭṭhānasahabhū, siyā no cittasaṁsaṭṭhasamuṭṭhānasahabhū.	dhamma āyatanam siyā siyā no citta sasaṭṭha samuṭṭhāna sahabhū 	dhamma āyatanam siyā citta saṁsaṭṭha samuṭṭhāna sahabhū siyā no citta saṁsaṭṭha samuṭṭhāna sahabhū
