original	analyzed	corrected
Atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vāti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vāti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vāti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
Atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vāti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
“Uppanno phasso mā nirujjhī”ti—	uppannaḥ phassaḥ mā nirujjhi iti 	uppanno phasso mā nirujjhi iti
atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vāti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vāti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
Atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vāti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vāti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
Atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vāti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vāti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
“atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vā”ti?	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
“atthi adhippāyaiddhi buddhānaṁ vā sāvakānaṁ vā”ti.	atthi buddhānam vā sāvakānam vā ati 	atthi adhippāyaiddhi buddhānam vā sāvakānam vā ti
