original	analyzed	corrected
Mānopi duvidho kusalopi akusalopi.	duvidhaḥ kusala upi a kusala upi 	Māno pi duvidho kusalo pi akusalo pi
pihā, pihāpaccayā domanassaṁ, ayaṁ taṇhā kusalā rāgavirāgā cetovimutti, tadārammaṇā	pihā pihā paccayā taṇhā kusalā rāga virāgā cetaḥ vimutti tad ārammaṇā 	pihā pihā paccayā domanassaṁ ayaṁ taṇhā kusalā rāga virāgā cetaḥ vimutti tad ārammaṇā
yato vigatūpakkilesaṁ, tato mudu, yato mudu, tato kammaniyaṁ, yato kammaniyaṁ, tato	tatas mudu yatas mudu tatas kammaniya yatas kammaniya tatas 	yatas vigata upakkilesa tatas mudu yatas mudu tatas kammaniya yatas kammaniya tatas
ṭhitaṁ, yato ṭhitaṁ, tato āneñjappattaṁ.	yatas ṭhita tatas āneñjappatta 	ṭhitaṁ yato ṭhitaṁ tato āneñjappattaṁ
Tattha yo ca pītipharaṇo yo ca sukhapharaṇo yo ca cetopharaṇo, ayaṁ samatho.	tattha yaḥ ca pīti pharaṇaḥ yaḥ ca sukha pharaṇaḥ yaḥ ca cetaḥ pharaṇaḥ ayam 	tattha yo ca pīti pharaṇo yo ca sukha pharaṇo yo ca ceto pharaṇo ayam samatho
Aññataro samaṇo vā brāhmaṇo vā kuhako lapako nemittako kuhanalapananemittakattaṁ	aññataraḥ samaṇaḥ vā brāhmaṇaḥ vā kuhakaḥ lapakaḥ nemittakaḥ 	aññataraḥ samaṇaḥ vā brāhmaṇaḥ vā kuhakaḥ lapakaḥ nemittakaḥ kuhanalapananemittakattaṁ
Maraṇantaṁ hi jīvitanti khayā āyussa indriyānaṁ uparodhā jīvitapariyanto maraṇapariyanto.	hi khayā āyussaḥ indriyānaṃ uparodhā jīvita pariyantaḥ maraṇa pariyantaḥ 	Maraṇantaṃ hi jīvitanti khayā āyussa indriyānaṃ uparodhā jīvita pariyanto maraṇa pariyanto
Apare ca maggaṁ bhāvetvā, parinibbantināsavāti sabbasaṅkhārānaṁ samatikkamanaṁ.	apare ca maggam bhāvetvā sabba saṅkhārānam 	apare ca maggam bhāvetvā parinibbanti anāsavā ti sabba saṅkhārānam samatikkamanam
“Apare ca maggaṁ bhāvetvā, parinibbantināsavā”ti majjhimā paṭipadā.	apare ca maggam bhāvetvā majjhimā paṭipadā 	apare ca maggam bhāvetvā parinibbantināsavā ti majjhimā paṭipadā
“Apare ca maggaṁ bhāvetvā, parinibbantināsavā”ti tiṇṇaṁ vaṭṭānaṁ vivaṭṭanā.	apare ca maggam bhāvetvā tiṇṇam vaṭṭānam vivaṭṭanā 	apare ca maggam bhāvetvā parinibbantināsavā ti tiṇṇam vaṭṭānam vivaṭṭanā
Apare ca maggaṁ bhāvetvā, parinibbantināsavāti idaṁ vodānaṁ.	apare ca maggam bhāvetvā idam vodāna 	apare ca maggam bhāvetvā parinibbantināsavāti idam vodānam
“apare ca maggaṁ bhāvetvā, parinibbantināsavā”ti puññapāpasamatikkamappaṭipadā, tattha	apare ca maggam bhāvetvā puñña pāpa samatikkama paṭipadā tattha 	apare ca maggam bhāvetvā parinibbanti anāsavā ti puñña pāpa samatikkama paṭipadā tattha
micchattaniyato rāsi, sammattaniyato rāsi, aniyato rāsi, tattha yo ca micchattaniyato	rāsi sammat ta niyataḥ rāsi aniyataḥ rāsi tattha yaḥ ca micchatta niyato 	micchatta niyato rāsi sammatta niyato rāsi aniyato rāsi tattha yo ca micchatta niyato
parasattānaṁ parapuggalānaṁ indriyaparopariyattavemattatā ñāṇaṁ sattamaṁ tathāgatabalaṁ.	para sattānam para puggalānam ñāṇam sattamam tathāgata bala 	para sattānam para puggalānam indriya paropariyatta vemattatā ñāṇam sattamam tathāgata balam
