original	analyzed	corrected
“Na, bhikkhave, devasikaṁ pātimokkhaṁ uddisitabbaṁ.	na bhikkhave devasikam pātimokkham 	na bhikkhave devasikam pātimokkham uddisitabbam
“Na, bhikkhave, pakkhassa tikkhattuṁ pātimokkhaṁ uddisitabbaṁ.	na bhikkhave pakkhassa tikkhattum pātimokkham 	na bhikkhave pakkhassa tikkhattum pātimokkham uddisitabbam
“kissa tumhe, āvuso, duccoḷā lūkhacīvarā”ti?	tumhe āvuso duccoḷā lūkha cīvarā 	kissa tumhe āvuso duccoḷā lūkha cīvarā ti
“Na, bhikkhave, saṅkhittena pātimokkhaṁ uddisitabbaṁ.	na bhikkhave saṅkhittena pātimokkham 	na bhikkhave saṅkhittena pātimokkham uddisitabbaṁ
Bhikkhū nāsakkhiṁsu vitthārena pātimokkhaṁ uddisituṁ.	bhikkhū vitthārena pātimokkham uddisitu 	bhikkhū nāsakkhiṁsu vitthārena pātimokkham uddisituṁ
attanā vā attānaṁ sammannitabbaṁ, parena vā paro sammannitabbo.	attanā vai attānam parena vā paraḥ sammannitabbaḥ 	attanā vā attānaṁ sammannitabbaṁ parena vā paro sammannitabbo
Attanā vā attānaṁ sammannitabbaṁ, parena vā paro sammannitabbo.	attanā vai attānam parena vā paraḥ sammannitabbaḥ 	attanā vā attānaṁ sammannitabbaṁ parena vā paro sammannitabbo
“Na, bhikkhave, sagahaṭṭhāya parisāya pātimokkhaṁ uddisitabbaṁ.	na bhikkhave sagaha ṭṭhāya parisāya pātimokkham 	na bhikkhave sagahaṭṭhāya parisāya pātimokkhaṁ uddisitabbaṁ
17. Pakkhagaṇanādiuggahaṇānujānana	pakkha gaṇanā ādi uggahaṇa anujānana 	pakkha gaṇanā ādi uggahaṇa anujānana
“na kho mayaṁ, āvuso, jānāmā”ti.	na khalu mayaḥ āvusaḥ jānāma ati 	na kho mayaṁ āvuso jānāma iti
“na kho mayaṁ, āvuso, jānāmā”ti.	na khalu mayaḥ āvusaḥ jānāma ati 	na kho mayaṁ āvuso jānāma iti
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
