original	analyzed	corrected
Yassa yattha kāyasaṅkhāro nirujjhati tassa tattha vacīsaṅkhāro nirujjhatīti? …pe…. (Yassakampi yassayatthakampi sadisaṁ.)	yassa yattha kāya saṅkhāraḥ nirujjhati tassa tattha vacī saṅkhāraḥ nirujjhati iti pe 	yassa yattha kāya saṅkhāro nirujjhati tassa tattha vacī saṅkhāro nirujjhati iti pe yassa kampi yassa yattha kampi sadisaṁ
Yattha kāyasaṅkhāro na nirujjhati …pe….	kāya saṅkhāraḥ na nirujjhati pe 	Yattha kāya saṅkhāraḥ na nirujjhati pe
Kāmāvacarānaṁ pacchimacittassa uppādakkhaṇe yassa cittassa anantarā kāmāvacarānaṁ	pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā 	Kāmāvacarānaṁ pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā kāmāvacarānaṁ
Kāmāvacarānaṁ pacchimacittassa uppādakkhaṇe yassa cittassa anantarā kāmāvacarānaṁ	pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā 	Kāmāvacarānaṁ pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā kāmāvacarānaṁ
Kāmāvacarānaṁ pacchimacittassa uppādakkhaṇe yassa cittassa anantarā kāmāvacarānaṁ	pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā 	Kāmāvacarānaṁ pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā kāmāvacarānaṁ
Kāmāvacarānaṁ pacchimacittassa uppādakkhaṇe yassa cittassa anantarā kāmāvacarānaṁ	pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā 	Kāmāvacarānaṁ pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā kāmāvacarānaṁ
Kāmāvacarānaṁ pacchimacittassa uppādakkhaṇe yassa cittassa anantarā kāmāvacarānaṁ	pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā 	Kāmāvacarānaṁ pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā kāmāvacarānaṁ
Kāmāvacarānaṁ pacchimacittassa uppādakkhaṇe yassa cittassa anantarā kāmāvacarānaṁ	pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā 	Kāmāvacarānaṁ pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā kāmāvacarānaṁ
Kāmāvacarānaṁ pacchimacittassa uppādakkhaṇe yassa cittassa anantarā kāmāvacarānaṁ	pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā 	Kāmāvacarānaṁ pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā kāmāvacarānaṁ
Kāmāvacarānaṁ pacchimacittassa uppādakkhaṇe yassa cittassa anantarā kāmāvacarānaṁ	pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā 	Kāmāvacarānaṁ pacchima cittassa uppāda kkhaṇe yassa cittassa anantarā kāmāvacarānaṁ
ca nirujjhati vacīsaṅkhāro ca nirujjhittha.	ca nirujjhati vacī saṅkhāraḥ ca 	ca nirujjhati vacī saṅkhāro ca nirujjhittha
Yattha kāyasaṅkhāro na nirujjhati …pe….	kāya saṅkhāraḥ na nirujjhati pe 	Yattha kāya saṅkhāraḥ na nirujjhati pe
vacīsaṅkhāro na nirujjhati, no ca tesaṁ tattha cittasaṅkhāro na nirujjhittha. Suddhāvāsaṁ	vacī saṅkhāraḥ na nirujjhati no ca tesam tattha citta saṅkhāro na 	vacī saṅkhāraḥ na nirujjhati no ca tesam tattha citta saṅkhāro na nirujjhittha suddhāvāsaṁ
Yattha kāyasaṅkhāro na nirujjhati …pe….	kāya saṅkhāraḥ na nirujjhati pe 	Yattha kāya saṅkhāraḥ na nirujjhati pe
uppādakkhaṇe tesaṁyeva vinā assāsapassāsehi cittassa bhaṅgakkhaṇe catutthajjhānaṁ	uppāda khaṇe vinā assāsa passāsehi cittassa bhaṅga kkhaṇe 	uppāda khaṇe tesaṁ yeva vinā assāsa passāsehi cittassa bhaṅga khaṇe catuttha jhānaṁ
uppādakkhaṇe tesaṁyeva vinā assāsapassāsehi cittassa bhaṅgakkhaṇe catutthajjhānaṁ	uppāda khaṇe vinā assāsa passāsehi cittassa bhaṅga kkhaṇe 	uppāda khaṇe tesaṁ yeva vinā assāsa passāsehi cittassa bhaṅga khaṇe catuttha jhānaṁ
Yattha kāyasaṅkhāro nirujjhittha …pe….	kāya saṅkhāraḥ nirujjhittha pe 	Yattha kāya saṅkhāraḥ nirujjhittha pe
tattha kāyasaṅkhāro nirujjhittha. Paṭhamajjhānaṁ samāpannānaṁ kāmāvacarānaṁ tesaṁ	tattha kāya saṅkhāraḥ paṭhama jhānam samāpannānam kāmāvacarānam 	tattha kāya saṅkhāraḥ nirujjhittha paṭhama jhānam samāpannānam kāmāvacarānam tesam
nirujjhissati vacīsaṅkhāro ca nirujjhittha.	nirujjhissati vacī saṅkhāraḥ ca 	nirujjhissati vacī saṅkhāro ca nirujjhittha
Yattha kāyasaṅkhāro na nirujjhittha …pe….	kāya saṅkhāraḥ na nirujjhittha pe 	Yattha kāya saṅkhāraḥ na nirujjhittha pe
