original	analyzed	corrected
Devabrahmādikānaṃ duritamalaharaṃ vattayi dhammacakkaṃ.	durita mala haram dhamma cakkam 	Deva brahma adikanam durita mala haram vattayi dhamma cakkam
Cammakhaṇḍaṃ padittaggi jālāmālāsamākulaṃ;	camma khaṇḍam jālā mālā samākulam 	camma khaṇḍam paditta aggi jālā mālā samākulam
Pallaṅkaṃ tañca nāgānaṃ adāsi abhipūjituṃ.	pallaṅkam tat ca adāsi abhipūjitum 	pallaṅkam tat ca nāgānam adāsi abhipūjitum
Nāgarājassa tasseva bhavanaṃ sādhu sajjītaṃ;	nāga rājassa tassa iva bhavanam sādhu 	nāga rājassa tassa eva iva bhavanam sādhu sajjītaṃ
Samāpatti samubabhutaṃ avindi asamaṃ sukhaṃ.	samāpatti avindi asamam sukham 	samāpatti samubabhutam avindi asamam sukham
Sahanto kevalaṃ sabba lokanittharaṇatthiko.	sahantaḥ kevalam loka nittharaṇa tthikaḥ 	sahantaḥ kevalam sabba loka nittharaṇa tthikaḥ
Saṃvaccharāni ṭhatvāna cattāḷīsañca pañca ca;	saṃvat śarāni cattāḷīsan ca pañca ca 	saṃvaccharāni ṭhatvāna cattāḷīsan ca pañca ca
Tāretvā bhavakantārā jane saṅkhyātivattino;	bhava kantārāḥ jane saṅkhyātivattinaḥ 	Tāretvā bhava kantārā jane saṅkhyātivattinaḥ
Tato devānubhāvena pajjalittha citānalo;	tatas deva anubhāvena citā analaḥ 	tato deva anubhāvena pajjalittha citā analo
Citakā to tato vāmadāṭhādhātuṃ samaggahi.	tatas vāmadāṭhā dhātum samaggahi 	Citakā to tato vāmadāṭhā dhātum samaggahi
Dhātupīṭhañca tattheva kāretvā ratanujjalaṃ.	dhātu pīṭham ca tattha iva kāretvā 	dhātu pīṭham ca tattha eva kāretvā ratana ujjalam
Jahitvāna nijaṃ dehaṃ devindapuramajjhagā.	nijam deham devinda pura majjhagā 	Jahitvāna nijam deham devinda pura majjhagā
