original	analyzed	corrected
Passaddhakāyassa, ānanda, na cetanā karaṇīyā ‘kintāhaṁ sukhaṁ vediyeyyan’ti.	passaddha kāyassa ānanda na cetanā karaṇīyā kintā aham sukham 	passaddha kāyassa ānanda na cetanā karaṇīyā kintā aham sukham vediyeyyan ti
Dhammatā esā, ānanda, yaṁ passaddhakāyo sukhaṁ vediyeyya.	dhamma tā esā ānanda yam passaddha kāyaḥ sukham 	dhammatā esā ānanda yaṁ passaddha kāyo sukhaṁ vediyeyya
bhikkhave, bhikkhu na gilitabaḷiso mārassa, abhedi baḷisaṁ, paribhedi baḷisaṁ, na	bhikkhave bhikkhu na gilita baḷisaḥ mārassa na 	bhikkhave bhikkhu na gilita baḷisaḥ mārassa abhedi baḷisaṁ paribhedi baḷisaṁ na
“Sukiccaṁ ceva puññānī”ti vāsanā.	su kiccam ca iva puññāni iti vāsanā 	su kiccam ca eva iva puññāni iti vāsanā
tena teneva niddisitabbaṁ, tassā vitthāro dvāsaṭṭhidiṭṭhigatāni.	tena tena iva vitthāraḥ dvāsaṭṭhi diṭṭhi gatāni 	tena tena eva niddisitabbaṁ tassā vitthāro dvāsaṭṭhi diṭṭhi gatāni
Lābho alābho, yaso ayaso, nindā pasaṁsā, sukhaṁ dukkhaṁ.	lābhaḥ a lābhaḥ yasaḥ a yasaḥ nindā pasasā sukham 	lābho alābho yaso ayaso nindā pasaṁsā sukhaṁ dukkhaṁ
“Laddhāna mānusattaṁ dve, kiccaṁ akiccameva cā”ti dve gāthā.	dve kiccam akiccam eva ca ati dve gāthā 	Laddhāna mānusattaṁ dve kiccaṁ akiccaṁ eva ca iti dve gāthā
paṭipadā ariyasaccaṁ anubuddhaṁ paṭividdhaṁ.	paṭipadā ariya saccam anubuddham 	paṭipadā ariya saccam anubuddham paṭividdham
Katamāni tīṇi, anaññātaññassāmītindriyaṁ aññindriyaṁ aññātāvindriyaṁ.	katamāni tīṇi aññindriyam aññātāvindriya 	katamāni tīṇi anaññātaññassāmītindriyaṁ aññindriyaṁ aññātāvindriyaṁ
yathākammūpage satte pajānātīti visajjanīyaṁ.	yathākammūpage satte pajānāti iti 	yathākammūpage satte pajānāti iti visajjanīyaṁ
Saṁvaṭṭamāne sudāhaṁ, bhikkhave, kappe ābhassarūpago homi.	bhikkhave kappe ābhassa rūpago homi 	Saṁvaṭṭamāne sudāhaṁ bhikkhave kappe ābhassa rūpago homi
Yenāhaṁ etarahi evaṁmahiddhiko evaṁmahānubhāvo’ti.	yena aham etarahi evam ahiddhikaḥ evam ahā anubhāvaḥ iti 	yena aham etarahi evam mahiddhiko evam mahā anubhāvo iti
Alobho kusalamūlaṁ, adoso kusalamūlaṁ, amoho kusalamūlaṁ.	a lobhaḥ kusala mūla a dosaḥ kusala mūla a mohaḥ kusala mūla 	alobho kusala mūlaṁ adoso kusala mūlaṁ amoho kusala mūlaṁ
“Vijjā, bhikkhave, pubbaṅgamā kusalānaṁ dhammānaṁ samāpattiyā anudeva hirī ottappañcā”ti.	vijjā bhikkhave pubbaṅgamā kusalānaṃ dhammānaṃ samāpattiyā hirī 	vijjā bhikkhave pubbaṅgamā kusalānaṃ dhammānaṃ samāpattiyā anudeva hirī ottappañcā ti
Kāyasucaritaṁ vacīsucaritaṁ manosucaritanti.	kāya su caritam vacī su caritam 	kāya su caritam vacī su caritam mano su caritam ti
Kāyaduccaritaṁ vacīduccaritaṁ manoduccaritanti.	kāya duccaritam vacī duccaritam 	kāya duccaritam vacī duccaritam mano duccaritam ti
“sabbapāpassa akaraṇan”ti, idaṁ paṭikkhittaṁ, yaṁ āha—	sabba pāpassa akaraṇanti idam yam āha 	sabba pāpassa akaraṇanti idam paṭikkhittam yam āha
“Kāyasamācārampāhaṁ, devānaminda, duvidhena vadāmi sevitabbampi asevitabbampi.	devānaminda duvidhena vadāmi sevitabbampi a sevitabbampi 	Kāyasamācārampahaṁ devānaminda duvidhena vadāmi sevitabbampi a sevitabbampi
Lokiyaṁ suttaṁ sattādhiṭṭhānaṁ ekūnavīsatiyā puggalehi niddisitabbaṁ.	lokiyam suttam satta adhiṭṭhānam ekūnavīsatiyā puggalehi 	lokiyam suttam satta adhiṭṭhānam ekūnavīsatiyā puggalehi niddisitabbam
Akusalaṁ saṅkilesabhāgiyena suttena niddisitabbaṁ.	akusalam saṅkilesa bhāgiyena suttena 	akusalam saṅkilesa bhāgiyena suttena niddisitabbam
Kusalañca akusalañca tadubhayena niddisitabbaṁ.	kusalam ca akusalam ca tat ubhayena 	kusalam ca akusalam ca tat ubhayena niddisitabbam
Anuññātaṁ bhagavato anuññātāya niddisitabbaṁ, taṁ pañcavidhaṁ saṁvaro pahānaṁ bhāvanā	anuññātam bhagavataḥ anuññātāya tam pañcavidham pahānam bhāvanā 	anuññātam bhagavato anuññātāya niddisitabbam tam pañcavidham samvaro pahānam bhāvanā
