original	analyzed	corrected
“natthamhākaṁ tayā saddhiṁ āhārūpahāro, samaṇena saddhiṁ amhākaṁ āhārūpahāro,	tayā saddhim āhāra upahāro samaṇena saddhim amhākam āhāra upahāro 	natthi amhākam tayā saddhim āhāra upahāro samaṇena saddhim amhākam āhāra upahāro
“natthamhākaṁ tayā saddhiṁ āhārūpahāro, gaṇakiyā saddhiṁ amhākaṁ āhārūpahāro.	tayā saddhim āhāra upahāraḥ gaṇakiyā saddhim amhākam āhāra upahāraḥ 	natthi amhākam tayā saddhim āhāra upahāraḥ gaṇakiyā saddhim amhākam āhāra upahāraḥ
Ahañcamhi bahubhaṇḍā bahuparikkhārā, bahinagarañca gantabbaṁ.	aham camhi bahu bhaṇḍā bahu parikkhārā bahi nagaram ca 	aham camhi bahu bhaṇḍā bahu parikkhārā bahi nagaram ca gantabbam
Evaṁ vutte, “karissati na karissatī”ti abbhutamakaṁsu.	evam vutte karissati na karissati iti 	evam vutte karissati na karissati iti abbhutamakamsu
Ahañcamhi bahubhaṇḍā bahuparikkhārā, bahinagarañca gantabbaṁ.	aham camhi bahu bhaṇḍā bahu parikkhārā bahi nagaram ca 	aham camhi bahu bhaṇḍā bahu parikkhārā bahi nagaram ca gantabbam
Evaṁ dumūlakampi timūlakampi yāva navamūlakaṁ kātabbaṁ.	evam du mūlakam ti mūlakam pi yāva nava mūlakam 	evam du mūlakam pi ti mūlakam pi yāva nava mūlakam kātabbam
Dumūlakampi timūlakampi yāva navamūlakaṁ evameva kātabbaṁ.	du mūlakam ti mūlakam pi yāva nava mūlakam evam eva 	du mūlakam pi ti mūlakam pi yāva nava mūlakam evam eva kātabbam
Ubhatovaḍḍhakaṁ yathā purimanayo tatheva vitthāretabbaṁ.	ubhatovaḍḍhakam yathā tathā iva 	ubhatovaḍḍhakam yathā purimanayo tathā eva vitthāretabbam
Dumūlakampi timūlakampi yāva navamūlakaṁ evameva kātabbaṁ.	du mūlakam ti mūlakam pi yāva nava mūlakam evam eva 	du mūlakam pi ti mūlakam pi yāva nava mūlakam evam eva kātabbam
Dumūlakampi timūlakampi yāva navamūlakaṁ evameva kātabbaṁ.	du mūlakam ti mūlakam pi yāva nava mūlakam evam eva 	du mūlakam pi ti mūlakam pi yāva nava mūlakam evam eva kātabbam
“Anāpatti, bhikkhu, nālaṁvacanīyāyā”ti.	anāpatti bhikkhu na alavacanīyāya ati 	anāpatti bhikkhu na alaṁvacanīyāya ti
