original	analyzed	corrected
Yudhadānava manujoraga bhujagāsana patinaṃ;	yudha dānava manuja uraga bhujaga āsana 	yudha dānava manuja uraga bhujaga āsana patinaṃ
Kamalālaya sadi’saṅkita kalamaṅgala ruciraṃ,	kamala ālaya kala maṅgala ruciram 	kamala ālaya sadi saṅkita kala maṅgala ruciram
Vasudhātala sayamuggata sarasīruha mahitaṃ,	vasudhā tala sarasīruha mahitam 	vasudhā tala sayamuggata sarasīruha mahitam
Udayodita ravimaṇḍala jalitāmala niṭilaṃ,	udaya udita ravi maṇḍala jalita amala 	udaya udita ravi maṇḍala jalita amala niṭilaṃ
Paṇamā’mahaṃ amatandada munipuṅgavaṃ asamaṃ.	paṇamāmaham muni puṅgavam asamam 	paṇamāmaham amatandada muni puṅgavam asamam
Karuṇārasa paribhāvita savaṇāmata vacanaṃ,	karuṇā rasa paribhāvita vacanam 	karuṇā rasa paribhāvita savaṇāmata vacanam
Paṇamā’mahaṃ akhilalāya vigataṃ muniṃ atulaṃ.	paṇamāmaham vigatam munim atulam 	paṇamāmaham akhilalāya vigatam munim atulam
Paramādara garugārava vinataṃ jina payataṃ,	parama ādara garu gārava vinatam jina 	parama ādara garu gārava vinatam jina payatam
Pavanāhata dumapallavaṃ iva nārata capalaṃ,	duma pallavam iva na ārata capalam 	Pavana āhata duma pallavam iva na ārata capalam
Atiduccaraṃ acarī bhavaṃ atiduddamaṃ adamī,	ati duccaram bhavam ati duddamam adamī 	ati duccaram acarī bhavam ati duddamam adamī
Tanu vajjitaṃ upago bhavaṃ iha bhāvita samatho;	tanu vat jitam upagaḥ bhavam iha bhāvita 	tanu vajjitaṃ upago bhavaṃ iha bhāvita samatho
Janito yadi manujesupi vikalindriya nivaho,	janitaḥ yadi vikala indriya nivaho 	janitaḥ yadi manujesu api vikala indriya nivaho
Tanunā karacaraṇādihi vikate’niha dukhito;	tanunā kara caraṇa ādi hi dukhitaḥ 	tanunā kara caraṇa ādi hi vikate niha dukhitaḥ
Vidhināhita matibhāvana rahito tamapihito,	vidhinā āhita mati bhāvana tam apihitaḥ 	vidhinā āhita mati bhāvana rahito tam apihitaḥ
Visadesupi kusalādisu tathadassana vimukho;	visadesu pi kusala ādisu vimukhaḥ 	visadesu pi kusala ādisu tathadassana vimukhaḥ
Sucirenapi bhuvi dullabhaṃ asamaṃ khaṇaṃ alabhaṃ,	bhuvi dullabham asamam khaṇam alabham 	Sucirenapi bhuvi dullabham asamam khaṇam alabham
Pitusañcitamapi nāsiya kitavo hatavibhavo;	pitu sañcitam api kitavaḥ hata vibhavaḥ 	pitu sañcitam api nāsiya kitavaḥ hata vibhavaḥ
Nabhirajjhana paramo kvaci phaladassana rahito;	paramaḥ kvaci phala dassana rahitaḥ 	nabhirajjhana paramaḥ kvaci phala dassana rahitaḥ
Janikāsuci jaṭhare bahu kimisantati sadane;	janikā suci jaṭhare bahu sadane 	janikā suci jaṭhare bahu kimisantati sadane
Saranaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saranam bhava bhagavan mama taraṇe 	saranam bhava bhagavan mama bhavanīradhi taraṇe
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Jarasā parimathito paraṃ ananuṭṭhita kusalo;	jarasā parimathitaḥ param kusalo 	jarasā parimathitaḥ param ananuṭṭhita kusalo
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Nirujo dhuvaṃ arujaṃ tanuṃ abhimaññiya samado,	nirujaḥ dhuvam arujam tanum samadaḥ 	nirujaḥ dhuvam arujam tanum abhimaññiya samadaḥ
Kusalāsaya vimukho bhusaṃ avaso gadanihato;	vimukhaḥ bhusam avasaḥ gada nihataḥ 	Kusalāsaya vimukhaḥ bhusam avasaḥ gada nihataḥ
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Pavicintiya sakajīvitaṃ amaraṃ dhuvaṃ anighaṃ,	saka jīvitam amaram dhuvam anigham 	Pavicintiya saka jīvitam amaram dhuvam anigham
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Narakodaka patito giritarumatthaka galito,	patitaḥ giri taru matthaka galitaḥ 	Naraka udaka patitaḥ giri taru matthaka galitaḥ
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Savisādana galakantana pabhutāmita khalito;	savisādana galakantana khalito 	savisādana galakantana pabhutāmita khalito
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Maraṇenaca pituno bhusaṃ anusocana nirato;	maraṇena ca pitunaḥ bhusam nirataḥ 	maraṇena ca pituno bhusaṃ anusocana nirato
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Gurudevata patimānana paramo piyasuvaco,	guru devata pati mānana paramaḥ 	guru devata pati mānana paramo piya suvaco
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Saraṇaṃ bhava bhagavaṃ mama bhavanīradhi taraṇe.	saraṇam bhava bhagavan mama taraṇe 	saraṇam bhava bhagavan mama bhavanīradhi taraṇe
Parudiṃ hatavibhavo ciramiha duggatigahaṇe,	hata vibhavaḥ ciram iha duggati gahaṇe 	Parudiṃ hata vibhavaḥ ciram iha duggati gahaṇe
