original	analyzed	corrected
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ.	bhadanta iti te bhikkhū bhagavataḥ 	bhadante iti te bhikkhū bhagavato paccassosuṁ
“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.	eva bhante iti kho te bhikkhū bhagavato 	evaṁ bhante iti kho te bhikkhū bhagavato paccassosuṁ
Idhāvuso, bhikkhuno cakkhunā rūpaṁ disvā rūpanimittānusāri viññāṇaṁ hoti rūpanimittassādagadhitaṁ	idha āvuso bhikkhuno cakkhunā rūpam disvā rūpa nimitta anusāri viññāṇam hoti 	idha āvuso bhikkhuno cakkhunā rūpam disvā rūpa nimitta anusāri viññāṇam hoti rūpa nimitta assāda gadhitam
manasā dhammaṁ viññāya dhammanimittānusāri viññāṇaṁ hoti; dhammanimittassādagadhitaṁ	manasā dhammam viññāya dhamma nimitta anusāri viññāṇam hoti 	manasā dhammam viññāya dhamma nimitta anusāri viññāṇam hoti dhamma nimitta assāda gadhitam
Idhāvuso, bhikkhuno cakkhunā rūpaṁ disvā na rūpanimittānusāri viññāṇaṁ hoti, na rūpanimittassādagadhitaṁ	idha āvuso bhikkhuno cakkhunā rūpam disvā na rūpa nimitta anusāri viññāṇam hoti 	idha āvuso bhikkhuno cakkhunā rūpam disvā na rūpa nimitta anusāri viññāṇam hoti na rūpa nimitta assāda gadhitam
manasā dhammaṁ viññāya na dhammanimittānusāri viññāṇaṁ hoti na dhammanimittassādagadhitaṁ	manasā dhammam viññāya na dhamma nimitta anusāri viññāṇam hoti 	manasā dhammam viññāya na dhamma nimitta anusāri viññāṇam hoti na dhamma nimitta assāda gadhitam
samādhijapītisukhassādasaṁyojanasaṁyuttaṁ ajjhattaṁ cittaṁ saṇṭhitanti vuccati.	ajjhattam cittam saṇṭhitanti vuccati 	samādhija pīti sukha assāda saṁyojana saṁyuttaṁ ajjhattam cittam saṇṭhitanti vuccati
Tassa na vivekajapītisukhānusāri viññāṇaṁ hoti na vivekajapītisukhassādagadhitaṁ	tassa na viveka ja pīti sukha anusāri viññāṇam hoti 	tassa na viveka ja pīti sukha anusāri viññāṇam hoti na viveka ja pīti sukha assāda gadhitam
na vivekajapītisukhassādavinibandhaṁ na vivekajapītisukhassādasaṁyojanasaṁyuttaṁ	na viveka ja pīti sukha ssāda vinibandham na 	na viveka ja pīti sukha ssāda vinibandham na viveka ja pīti sukha ssāda saṁyojana saṁyuttaṁ
Tassa na samādhijapītisukhānusāri viññāṇaṁ hoti na samādhijapītisukhassādagadhitaṁ	tassa na samādhi ja pīti sukha anusāri viññāṇam hoti 	tassa na samādhi ja pīti sukha anusāri viññāṇam hoti na samādhi ja pīti sukha assāda gadhitam
Eso cevetassa attho. Evañca naṁ dhāreyyāthā”ti.	esaḥ ceva itassa atthaḥ evam ca nam dhāreyyātha ati 	eso ceva etassa attho evañca naṁ dhāreyyātha iti
