original	analyzed	corrected
Santaṃ santaṃ sadā vaṭṭaṃ, pajaṃ’bhave sutaṃ;	santam santam sadā vaṭṭam sutam 	santam santam sadā vaṭṭam pajam bhave sutam
Tasmā dittaṃ mame’dāni, jotayitvāna sāsane;	tasmai dittam mama idāni sāsane 	tasmā dittaṃ mama idāni jotayitvāna sāsane
Karissaṃ me nisāmentu, sādhavo kavipuṅgavā.	karissam me sādhavaḥ kavi puṅgavā 	karissam me nisāmentu sādhavaḥ kavi puṅgavā
Jātattakīsotattakiyā vuttanayena asūro hutvā buddhattaṃ cintentasseva sattaasaṅkhyeyyāni	vutta nayena asūraḥ hutvā buddhattam cintentassa iva satta asaṅkhyeyyāni 	Jātattakīsotattakiyā vutta nayena asūraḥ hutvā buddhattam cintentassa iva satta asaṅkhyeyyāni
sabbakhaṇesu navamakhaṇattā ca tathā hi milakkhudesaarūpabhūmiasaññasattanirayapetatiracchānabhūmīsu	sabba khaṇesu navama khaṇa ttā ca tathā hi 	sabba khaṇesu navama khaṇa ttā ca tathā hi milakkhu desa arūpa bhūmi asañña satta niraya peta tiracchāna bhūmīsu
Micchādiṭṭhi tiracchāno, peto nerayikopica.	micchā diṭṭhi nerayikaḥ api ca 	micchā diṭṭhi tiracchāno peto nerayiko api ca
eko baddho hoti. Thero “idaṃ ṭhānaṃ aphāsukanti tato makuḷakārāmavihāraṃ nāma gato.	ekaḥ baddhaḥ hoti theraḥ idam ṭhānam tatas makuḷakārāmavihāram nāma gataḥ 	ekaḥ baddhaḥ hoti theraḥ idam ṭhānam aphāsukam iti tatas makuḷakārāmavihāram nāma gataḥ
parasamuddaṃ gacchāma, ito ca uttari lābhā nāma natthi, caturaṅgula mattāpi ghaṭikā	para samuddam gacchāma ito ca uttari lābhā nāma natthi ghaṭikā 	para samuddam gacchāma ito ca uttari lābhā nāma natthi catu aṅgula mattā api ghaṭikā
kuṇḍadhānatthero paṭhamaṃ salākaṃ aggahoti. Vāṇijagāmavāsinopi “sve kira satthā āgamissatī”ti	kuṇḍadhāna thero paṭhamam vāṇija gāma vāsinaḥ pi sve kira satthā āgamissati iti 	kuṇḍadhāna thero paṭhamam salākaṃ aggahoti vāṇija gāma vāsinaḥ pi sve kira satthā āgamissati iti
lañchanaṃ viya padacetiyaṃ dassesi. Evaṃ sūnāparantaraṭṭheyeva dve cakkaratanacetiyāni	lañchanam viya pada cetiyam dassesi evam dve cakka ratana cetiyāni 	lañchanam viya pada cetiyam dassesi evam sūnāparanta raṭṭhe yeva dve cakka ratana cetiyāni
yāvasāsanantaradhānaṃ patiṭṭhāpesi. Sattame pana vasse sāvatthiyaṃ kaṇḍambarukkhamūle	patiṭṭhāpesi sattame pana vasse sāvatthiyam kaṇḍamba rukkha mūle 	yāva sāsana antaradhānaṃ patiṭṭhāpesi sattame pana vasse sāvatthiyam kaṇḍamba rukkha mūle
vasi. Ekādasame nālandhabrāhmaṇagāme ekavāsaṃ vasi. Dvādasame verañjāyaṃ ekavāsaṃ	ekādasame nālandha brāhmaṇa gāme eka vāsam vasi dvādasame eka vāsam 	vasi ekādasame nālandha brāhmaṇa gāme eka vāsam vasi dvādasame verañjāyam eka vāsam
tathā hi gihibhāvato sāmaṇerabhāvo seṭṭho nāma, tatopi upasampannabhāvoyeva seṭṭho.	tathā hi gihi bhāvato sāmaṇeḥ abhāvaḥ seṭṭhaḥ nāma tatas pi seṭṭhaḥ 	tathā hi gihi bhāvato sāmaṇera bhāvo seṭṭho nāma tato pi upasampanna bhāvo eva seṭṭho
pana anusāvanānaṃ atthabyañjanabhedābhāvato atthabyañjanabhinnā ñatti tāsaṃ catutthanti	pana anusāvanānam attha byañjana bheda abhāvataḥ attha byañjana bhinnā tāsam 	pana anusāvanānam attha byañjana bheda abhāvato attha byañjana bhinnā ñatti tāsam catutthanti
vassasahassanti evaṃ pañcavassasahassāni paṭivedhasaddhammo tiṭṭhati. Pariyattisaddhammopi	evam pañca vassa sahassāni paṭivedha saddhammaḥ tiṭṭhati pariyatti saddhammaḥ api 	evam pañca vassa sahassāni paṭivedha saddhammo tiṭṭhati pariyatti saddhammopi
nikāyaṭṭhakathāsaṅgītiṃ ārūḷhā, atha kasmā evaṃ bhinnāti. Saccaṃ, tathāpi kesañci	nikāya ṭṭhakathā saṅgītim ārūḍhāḥ atha kasmai evam saccam tathā api kesañcid 	nikāya ṭṭhakathā saṅgītim ārūḷhā atha kasmā evam bhinnā iti saccam tathā api kesañci
na pavattiyaṃyevāti vadanti. Teneva ahetukapaṭisandhiniddese jaccandha-jaccabadhirādayo	na vadanti tena iva ahetuka paṭisandhi niddese 	na pavattiyaṃ yeva iti vadanti tena eva ahetuka paṭisandhi niddese jaccandha jaccabadhira ādayo
abhabbapuggale dassentena paṇḍakatiracchānagataubhato byañjanakā tayo vatthuvipannā	abhabba puggale dassentena vatthu vipannā 	abhabba puggale dassentena paṇḍaka tiracchāna gata ubhato byañjanakā tayo vatthu vipannā
asuddhacittena liṅgatthenakeeva paviṭṭhoti veditabbo. Yopi sāmaṇero vuḍḍhasāmaṇerānaṃ	asuddha cittena paviṭṭhaḥ iti veditabbaḥ yaḥ api sāmaṇeraḥ vuḍḍha sāmaṇerānam 	asuddha cittena liṅga atthena keva paviṭṭhaḥ iti veditabbaḥ yaḥ api sāmaṇeraḥ vuḍḍha sāmaṇerānam
