original	analyzed	corrected
So sutasomo tathagaṃ, temiya dhiṭṭhānavaraṃ;	so sutasomaḥ tathagam dhiṭṭhāna varam 	so sutasomaḥ tathagam temiya dhiṭṭhāna varam
Pāpuṇittha yo ananta-dhammasāradaṃ namāmi.	yaḥ ananta dhamma sāra dam namāmi 	Pāpuṇittha yo ananta dhamma sāra dam namāmi
Sīmīsā tamabhidhammaṃ yo, suranaramahitaṃ vande.	tam abhidhammam yaḥ sura nara mahitam vande 	Sīmīsā tam abhidhammam yo sura nara mahitam vande
Nigrodhantika nubbhavī sukhaṃ, dhammaṃ yo vicinaṃ nadhīvaro;	nigrodha antika sukham dhammam yaḥ na dhīvaraḥ 	nigrodha antika nubbhavī sukham dhammam yo vicinam na dhīvaraḥ
Bahūnaṃ majjhe yo ratanakamane pāṭihariyaṃ,	bahūnam majjhe yaḥ ratana kamane 	bahūnaṃ majjhe yo ratana kamane pāṭihariyaṃ
Nakhajutirajaṃ cakkaṅgopeta pādavarambujaṃ,	nakha juti rajam pāda vara ambujam 	nakha juti rajam cakka aṅga upeta pāda vara ambujam
Subhasirimato raṃsijālaṅgulidasasaṃsubhiṃ;	raṃsija alaṅguli dasa saṃsubhiṃ 	Subhasirimato raṃsija alaṅguli dasa saṃsubhiṃ
Taṃ sabbaññuṃ sakalarirī nekanāthaṃ namāmi.	tam sabbaññum neka nātham namāmi 	tam sabbaññum sakala rirī neka nātham namāmi
Nāthebhindaggaṃ phalakariṇukaṃ mokkhabhojaṃ namāmi.	phala kariṇukam mokkha bhojam namāmi 	Nāthe bhindaggam phala kariṇukam mokkha bhojam namāmi
Malāloḷullolaṃ atibhayajanaṃ duggasaṃsārasinduṃ,	ati bhaya janam dugga saṃsāra sindum 	Malā loḷa ullolaṃ ati bhaya janaṃ dugga saṃsāra sinduṃ
Padappārakkāmaṃ bahujanagaṇaṃ ekamaggattaramhi,	bahu jana gaṇam eka maggattaramhi 	Padappārakkāmaṃ bahu jana gaṇaṃ eka maggattaramhi
Byāmaṃsugghanadhāra makkuḷusatabbhāṇujjalantattanaṃ,	makkuḷusa tabbhāṇujjalantattanam 	Byāmaṃsugghanadhāra makkuḷusa tabbhāṇujjalantattanam
