original	analyzed	corrected
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ.	bhadanta iti te bhikkhū bhagavataḥ 	bhadante iti te bhikkhū bhagavato paccassosuṁ
“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.	eva bhante iti kho te bhikkhū bhagavato 	evaṁ bhante iti kho te bhikkhū bhagavato paccassosuṁ
So paṭipadaṁyeva antaraṁ karitvā tāya uccākulīnatāya nevattānukkaṁseti na paraṁ vambheti.	saḥ paṭipadayā iva antaram karitvā tāya ucca akulīna tāya na param vambheti 	so paṭipadayā eva antaram karitvā tāya ucca kulīna tāya na attānam ukkaṁseti na param vambheti
So paṭipadaṁyeva antaraṁ karitvā tāya uḷārabhogatāya nevattānukkaṁseti, na paraṁ vambheti.	saḥ paṭipadayā iva antaram karitvā tāya uḷāra bhoga tāya na param vambheti 	so paṭipadayā eva antaram karitvā tāya uḷāra bhoga tāya na eva attānam ukkamseti na param vambheti
So paṭipadaṁyeva antaraṁ karitvā tena ñattena nevattānukkaṁseti, na paraṁ vambheti.	saḥ paṭipadayā iva antaram karitvā tena ñattena na param vambheti 	so paṭipadaṁ eva antaraṁ karitvā tena ñattena na eva attānaṁ ukkaṁseti na paraṁ vambheti
So paṭipadaṁyeva antaraṁ karitvā tena lābhena nevattānukkaṁseti, na paraṁ vambheti.	saḥ paṭipadayā iva antaram karitvā tena lābhena na param vambheti 	so paṭipadaṁ eva antaraṁ karitvā tena lābhena na eva attānaṁ ukkaṁseti na paraṁ vambheti
So tena vinayadharattena attānukkaṁseti, paraṁ vambheti.	saḥ tena attā anukkaseti param vambheti 	so tena vinayadharattena attā anukkaseti param vambheti
So paṭipadaṁyeva antaraṁ karitvā tena vinayadharattena nevattānukkaṁseti, na paraṁ vambheti.	saḥ paṭipadayā iva antaram karitvā tena vinaya dharattena na param vambheti 	saḥ paṭipadayā iva antaram karitvā tena vinaya dharattena na eva attānam ukkamseti na param vambheti
So paṭipadaṁyeva antaraṁ karitvā tena āraññikattena nevattānukkaṁseti, na paraṁ vambheti.	saḥ paṭipadayā iva antaram karitvā tena āraññika ttena na param vambheti 	so paṭipadaṁ yeva antaraṁ karitvā tena āraññika ttena na eva attānaṁ ukkaṁseti na paraṁ vambheti
So paṭipadaṁyeva antaraṁ karitvā tena paṁsukūlikattena nevattānukkaṁseti, na paraṁ vambheti.	saḥ paṭipadayā iva antaram karitvā tena pasukūlika ttena na param vambheti 	so paṭipadaṁ yeva antaraṁ karitvā tena paṁsukūlikattena nevattānukkaṁseti na paraṁ vambheti
So paṭipadaṁyeva antaraṁ karitvā tena piṇḍapātikattena nevattānukkaṁseti, na paraṁ vambheti.	saḥ paṭipadayā iva antaram karitvā tena piṇḍapātikattena na param vambheti 	so paṭipadayā eva antaram karitvā tena piṇḍapātikattena na eva attānam ukkamseti na param vambheti
So paṭipadaṁyeva antaraṁ karitvā tena ekāsanikattena nevattānukkaṁseti, na paraṁ vambheti.	saḥ paṭipadayā iva antaram karitvā tena eka āsanikattena na param vambheti 	so paṭipadaṁ eva antaraṁ karitvā tena eka āsanikattena na eva attānaṁ ukkaṁseti na paraṁ vambheti
So atammayataññeva antaraṁ karitvā tāya paṭhamajjhānasamāpattiyā nevattānukkaṁseti, na paraṁ vambheti.	saḥ antaram karitvā tāya paṭhamajjhāna samāpattiyāḥ na iva attā anukkaseti na param vambheti 	so atammayataṁ eva antaraṁ karitvā tāya paṭhamajjhāna samāpattiyā na eva attā anukkaseti na paraṁ vambheti
So atammayataññeva antaraṁ karitvā tāya catutthajjhānasamāpattiyā nevattānukkaṁseti, na paraṁ vambheti.	saḥ antaram karitvā tāya catuttha jhāna samāpattiyāḥ na iva attā anukkaseti na param vambheti 	so atammayataṁ eva antaraṁ karitvā tāya catuttha jhāna samāpattiyā na eva attā nukkamseti na paraṁ vambheti
So atammayataññeva antaraṁ karitvā tāya ākāsānañcāyatanasamāpattiyā nevattānukkaṁseti, na paraṁ vambheti.	saḥ antaram karitvā tāyai ākāsa anañca āyatana samāpattiyāḥ na param vambheti 	so atammayatam eva antaram karitvā tāya ākāsa anañca āyatana samāpattiyā na eva attānam ukkamseti na param vambheti
So atammayataññeva antaraṁ karitvā tāya viññāṇañcāyatanasamāpattiyā nevattānukkaṁseti, na paraṁ vambheti.	saḥ antaram karitvā tāya viññāṇaṃ ca āyatana samāpattiyā na iva attā anukkaseti na param vambheti 	so atammayataṃ eva antaraṃ karitvā tāya viññāṇañcāyatana samāpattiyā na eva attā anukkaseti na paraṃ vambheti
So atammayataññeva antaraṁ karitvā tāya ākiñcaññāyatanasamāpattiyā nevattānukkaṁseti, na paraṁ vambheti.	saḥ antaram karitvā tāya ākiñcaññāyatana samāpattiyāḥ na param vambheti 	so atammayataṁ eva antaraṁ karitvā tāya ākiñcaññāyatana samāpattiyā neva attānaṁ ukkaṁseti na paraṁ vambheti
So atammayataññeva antaraṁ karitvā tāya nevasaññānāsaññāyatanasamāpattiyā nevattānukkaṁseti, na paraṁ vambheti.	saḥ antaram karitvā tāya nevasaññānāsaññāyatana samāpattiyā na param vambheti 	so atammayataṁ eva antaraṁ karitvā tāya nevasaññānāsaññāyatana samāpattiyā neva attānaṁ ukkaṁseti na paraṁ vambheti
