original	analyzed	corrected
1. Bhaggā nāma jānapadino rājakumārā. Tesaṃ nivāso ekopi janapado ruḷhīvasena “bhaggā”tveva	bhaggāḥ nāma jānapadinaḥ rāja kumārā tesam nivāsaḥ ekaḥ api janapadaḥ ruḷhī vasena 	bhaggāḥ nāma jānapadinaḥ rāja kumārā tesam nivāsaḥ ekaḥ api janapadaḥ ruḷhī vasena bhaggā iti eva
sabbadā asucipaggharaṇabhāvena. So panassa āturabhāvenāti āha – “āturaṃyeva nāmā”ti.	sabbadā asuci paggharaṇa bhāvena so pana assa ātura bhāvena ati āha nāma ati 	sabbadā asuci paggharaṇa bhāvena so pana assa ātura bhāvena iti āha āturamyeva nāma iti
– “punappunaṃ sāsatū”ti. Aparāparaṃ pavattitaṃ hitavacanaṃ. Anotiṇṇe vatthusmiṃ yo	punappunam sāsatu iti apara aparam hita vacanam anotiṇṇe vatthusmim yaḥ 	punappunam sāsatu iti aparāparam pavattitam hita vacanam anotiṇṇe vatthusmim yo
Vippasannānīti pakatimākāraṃ atikkamitvā visesena pasannāni. Tenāha – “suu pasannānī”ti.	vippasannāni iti pakatim ākāram atikkamitvā visesena pasannāni tena āha 	vippasannāni iti pakatim ākāram atikkamitvā visesena pasannāni tena āha suu pasannāni iti
niddoso”ti. Tenevāha “nirupakkilesatāyā”tiādi. Etenevassindriyavippasannatākāraṇampi	niddoso ti tena iva āha nirupakkilesa tāya atiādi 	niddoso ti tena eva āha nirupakkilesa tāya ati ādi etena eva assa indriya vippasanna tā kāraṇam pi
sammukhā paṭiladdhā, tassa attano pemagāravagahitattā “amatābhiseko”ti veditabbo.	sammukhā paṭiladdhā tassa attano amata abhisekaḥ iti veditabbo 	sammukhā paṭiladdhā tassa attano pemagāravagahitattā amatābhiseko iti veditabbo
parimuccantī”tiādi. So eva ca aveccapasādādhigamena daḷhabhatti nāma. Vuttampi cetaṃ	parimuccanti itiādi saḥ eva ca avecca pasāda adhigamena daḷhabhatti nāma 	parimuccanti iti ādi so eva ca avecca pasāda adhigamena daḷhabhatti nāma vuttam pi ca etaṃ
ādiattho. Tena “upagato”tiādinā vibhaṅge āgataṃ saṃvaravibhaṅgaṃ dasseti. Kāyaduccaritādīnanti	ādi atthaḥ tena upagataḥ iti ādinā vibhaṅge āgatam saṃvara vibhaṅgam dasseti 	ādi atthaḥ tena upagataḥ iti ādinā vibhaṅge āgatam saṃvara vibhaṅgam dasseti kāya duccarita ādīnam ti
Ahaṃ mamāti gāhassāti “attā attaniya”nti gahaṇassa. Maggāmaggavavatthānenāti maggāmaggañāṇavisuddhiyā.	aham mama ati gāhassa ati attā gahaṇassa magga amagga vavatthānena ati magga amagga ñāṇa visuddhiyā 	aham mama ati gāhassa ati attā attaniya nti gahaṇassa magga amagga vavatthānena ati magga amagga ñāṇa visuddhiyā
Amagge maggasaññāyāti amagge obhāsādike “maggo”ti uppannasaññāya. Yasmā sammadeva	amagge magga saññāya ati amagge obhāsa ādike uppanna saññāya yasmai sammat eva 	amagge magga saññāya ati amagge obhāsa ādike maggo ti uppanna saññāya yasmai sammat eva
sālayatāti attho. Dhammaṭṭhitiyaṃ paṭiccasamuppāde. Paṭilomabhāvo sassatucchedaggāho,	atthaḥ dhamma ṭṭhitiyam paṭiccasamuppāde paṭiloma bhāvo 	sālayatāti atthaḥ dhamma ṭṭhitiyam paṭiccasamuppāde paṭiloma bhāvo sassatucchedaggāho
na muñcati, so kileso, yo “saṃyogābhiniveso”tipi vuccati, saṅkhāranimittaggāhassa,	na muñcati so kilesaḥ yo vuccati saṅkhāra nimitta ggāhassa 	na muñcati so kileso yo saṃyogābhiniveso ti pi vuccati saṅkhāra nimitta ggāhassa
ariyo. Paccattavacanañhetaṃ. Eseseti eso eso, atthato anaññoti attho. Tajjāteti atthato	ariyaḥ paccatta vacanam ha etam esa ise iti esaḥ esaḥ atthataḥ anaññaḥ ti attho tad jātā iti atthataḥ 	ariyaḥ paccatta vacanam ha etam esa ise iti esaḥ esaḥ atthataḥ anaññaḥ ti attho taj jātā iti atthataḥ
Kāyoti rūpakāyo. So āturoyeva asavasabhāvato. Rāgadosamohānugatanti appahīnarāgadosamohasantāne	rūpa kāyo so asava sabhāvataḥ rāga dosa moha anugatanti appahīna rāga dosa moha santāne 	kāyo ti rūpa kāyo so āturo yeva asava sabhāvato rāga dosa moha anugatanti appahīna rāga dosa moha santāne
Pacchābhūmiyaṃ aparadisāyaṃ niviṭṭhajanapado pacchābhūmaṃ, taṃ gantukāmā pacchābhūmagamikā.	apara disā ayam niviṭṭha janapadaḥ pacchābhūmam tam gantu kāmā pacchābhūma gamikā 	Pacchābhūmiyaṃ apara disāyaṃ niviṭṭha janapado pacchābhūmaṃ taṃ gantu kāmā pacchābhūma gamikā
Vadanti etenāti vādo, dosoti āha – “tuyhaṃ doso”tiādi. Idheva imasmiṃyeva samāgame.	vadanti etena ati vādaḥ doso ti āha idhā iva imasmin yā iva samāgame 	vadanti etena iti vādo doso ti āha tuyhaṃ doso ti ādi idhā eva imasmin yeva samāgame
iṭṭha”nti vacībhede asatipi tathā lobhuppāde sati abhivadatiyeva nāma. Tenāha “vācaṃ	vacībhede asati pi tathā lobha uppāde sati nāma tena āha vācam 	iṭṭha nti vacībhede asati pi tathā lobha uppāde sati abhivadati yeva nāma tena āha vācam
tassa. Vuttañhetaṃ “nibbattā ye ca tiṭṭhanti, āragge sāsapūpamā”ti.	tassa vuttam ha etam nibbattāḥ ye ca tiṭṭhanti āragge 	tassa vuttam ha etam nibbattā ye ca tiṭṭhanti āragge sāsapūpamā ti
10-11. Kālattayadukkhasuttādivaṇṇanā	kāla ttaya dukkha sutta ādi vaṇṇanā 	kāla ttaya dukkha sutta ādi vaṇṇanā
Tattha yasmā etāni ṭhānagamanādīni rūpārūpadhammānaṃ paṅgulajaccandhānaṃ viya aññamaññūpassayavasena	tattha yasmai etāni ṭhāna gamana ādīni rūpa arūpa dhammānam viya aññamaññu upassaya vasena 	tattha yasmā etāni ṭhāna gamana ādīni rūpa arūpa dhammānaṃ paṅgula jaccandhānaṃ viya aññamaññu upassaya vasena
33. Chandarāgappahānenāti tappaṭibaddhassa chandarāgassa pajahanena. Dabbādi pākatikatiṇaṃ	chanda rāga pahānena ati tad paṭibaddhassa chanda rāgassa pajahanena dabba ādi 	chanda rāga pahānena ati tad paṭibaddhassa chanda rāgassa pajahanena dabba ādi pākatika tiṇaṃ
Tena saṅkhaṃ gacchatīti tena rāgādinā taṃsamaṅgīpuggalo saṅkhātabbataṃ “ratto duṭṭho”tiādinā	tena saṅkham gacchati iti tena rāga ādinā tad samaṅgī puggalaḥ rattaḥ duṭṭhaḥ iti ādinā 	tena saṅkham gacchati iti tena rāga ādinā tad samaṅgī puggalo saṅkhātabbatam ratto duṭṭho iti ādinā
sabbesaṃ rūpārūpadhammānaṃ ṭhitiyā na bhavitabbaṃ. Tassevāti tassā eva ṭhitiyā. Tamatthanti	sabbesam rūpa arūpa dhammānam ṭhitiyā na bhavitabbam tassa iva ati tassāḥ eva ṭhitiyā 	sabbesam rūpa arūpa dhammānam ṭhitiyā na bhavitabbam tassa eva ati tassā eva ṭhitiyā tam attham ti
yathā “yadi me byādhayo bhaveyyuṃ, dātabbamidamosadha”nti. Na hi sakkā etissā eva	yathā yadi me byādhayaḥ bhaveyyum na hi sakkā etissaḥ eva 	yathā yadi me byādhayaḥ bhaveyyum dātabbamidamosadhan ti na hi sakkā etissaḥ eva
44. Sabhāvatosanto vijjamāno kāyo rūpādidhammasamūhoti sakkāyoti āha – “sakkāyo dukkha”nti.	vijjamāno kāyaḥ rūpa ādi dhamma samūho ti sa kāyaḥ iti āha sa kāyaḥ dukkhanti 	Sabhāvato santo vijjamāno kāyo rūpa ādi dhamma samūho ti sakkāyo iti āha sakkāyo dukkhanti
saṃvijjati. Pañcannaṃ indriyānanti cakkhādīnaṃ indriyānaṃ.	saṃvijjati cakkha ādīnam indriyānaṃ 	saṃvijjati pañcannaṃ indriyānanti cakkha ādīnam indriyānaṃ
49-50. Visiṭṭhoti padhāno. Uttamoti ukkaṭṭho. Aññaṃ kiṃ bhaveyyāti aññaṃ kiṃ kāraṇaṃ	visiṭṭhaḥ ti padhānaḥ uttamaḥ ti ukkaṭṭhaḥ aññam kim bhaveyya ati aññam kim kāraṇam 	visiṭṭhaḥ ti padhānaḥ uttamaḥ ti ukkaṭṭhaḥ aññam kim bhaveyya ti aññam kim kāraṇam
Vajirabhedadesanaṃ nāma atthato teparivaṭṭadesanā.	vajirabhedadesanam nāma atthato 	vajirabhedadesanam nāma atthato teparivaṭṭadesanā
53. Upetīti upayo. Kathamupeti? Taṇhāmānādivasenāti āha “taṇhāmānadiṭṭhivasenā”ti.	upeti iti upayaḥ katham upeti taṇhā māna ādi vasena ati āha taṇhā māna diṭṭhi vasena ati 	upeti iti upayo katham upeti taṇhā māna ādi vasena iti āha taṇhā māna diṭṭhi vasena iti
54. Bījajātānīti jāta-saddo padapūraṇamattanti āha “bījānī”ti. Vacanti setavacaṃ.	bīja jātāni iti āha bījāni iti vacanti 	bīja jātāni iti jāta saddo pada pūraṇa mattanti āha bījāni iti vacanti seta vacaṃ
suvisuddhasīlūpanissayo kāmadosajigucchanena. Yadi evaṃ kasmā ime dve upanissayā	kāma dosa jigucchanena yadi evam kasmai ime dve upanissayā 	suvisuddha sīla upanissayo kāma dosa jigucchanena yadi evam kasmā ime dve upanissayā
Upaṭṭhāti ekalakkhaṇena. Kūṭagoṇo viya gamanavīthiṃ. Tatthāti allakaṭṭharāsimhi.	eka lakkhaṇena kūṭa goṇaḥ viya gamana vīthim tattha ati alla kaṭṭha rāsimhi 	upaṭṭhāti eka lakkhaṇena kūṭa goṇo viya gamana vīthiṃ tattha ati alla kaṭṭha rāsimhi
Rūpaṃ abbhaññāsinti sakalabhūtupādārūpaṃ kucchitabhāvato tattha ca tucchavipallāsatāya	rūpam sakala bhūtu pāda arūpam tattha ca tuccha vipallāsa tāya 	rūpam abbhaññāsinti sakala bhūtu pāda rūpam kucchita bhāvato tattha ca tuccha vipallāsa tāya
vuttattā tadeva jeṭṭhaṃ padhānaṃ tathā veneyyajjhāsayato.	vutta ttā tat eva jeṭṭham padhānam tathā 	vutta ttā tat eva jeṭṭham padhānam tathā veneyyajjhāsayato
phasso”tiādippakārena niddhāraṇavacanānaṃyeva niruttitā, sirivaḍḍhakadhanavaḍḍhakapakārānameva	phassaḥ ti ādi ppakārena nirutti tā 	phassaḥ ti ādi ppakārena niddhāraṇa vacanānaṃ yeva nirutti tā siri vaḍḍhaka dhana vaḍḍhaka pakārānam eva
vināsaṃ āpajjanti. Tenāha “vipariṇatanti…pe… naṭṭha”nti. Apākaṭībhūtaṃ ajātattā eva.	vināsam āpajjanti tena āha naṭṭhanti apākaṭībhūtam a jāta ttāḥ eva 	vināsam āpajjanti tena āha vipariṇatanti pe naṭṭhanti apākaṭībhūtam ajātattā eva
samādiyamānā micchāvāyāmūpatthambhitā ataṃsabhāvaṃ “taṃsabhāva”nti gaṇhantī micchāsatīti	samādiyamānā a taṃsa bhāvam taṃsa bhāvanti gaṇhantī micchā asatī iti 	samādiyamānā micchāvāyāmūpatthambhitā a taṃsa bhāvaṃ taṃsa bhāvanti gaṇhantī micchā satī iti
Tenāha “atītaṃ panā”tiādi. Khandhānaṃ upari niruḷhā paṇṇatti.	tena āha atītam khandhānam upari niruḍhā paṇṇatti 	tena āha atītam pana iti ādi khandhānam upari niruḍhā paṇṇatti
63. Gaṇhamānoti “etaṃ mamā”tiādinā gaṇhamāno. Pāsenāti rāgapāsena. Tañhi māro mārapāsoti	gaṇhamānaḥ iti etam mama ati ādinā gaṇhamānaḥ pāsena ati rāga pāsena tat hi māraḥ māra pāsaḥ iti 	gaṇhamānaḥ iti etam mama ati ādinā gaṇhamānaḥ pāsena ati rāga pāsena tat hi māraḥ māra pāsaḥ iti
64-68. “Etaṃ mamā”tiādinā. Maññanā abhinandanā ca. Taṇhāchandoti taṇhā eva chando.	etam mama ati ādinā maññanā abhinandanā ca taṇhā chandaḥ iti taṇhā eva chandaḥ 	etam mama ti ādinā maññanā abhinandanā ca taṇhā chandaḥ iti taṇhā eva chandaḥ
73-75. Catusaccameva kathitaṃ assādādīnañceva samudayādīnañca vasena desanāya pavattattā.	catu accam eva kathitam assāda ādīnam ca iva samudaya ādīnam ca vasena desanāya 	catu saccam eva kathitam assāda ādīnam ca eva samudaya ādīnam ca vasena desanāya pavattattā
vuttovāyamattho; dutiye samudayassādo samudayasaccaṃ, ādīnavo dukkhasaccaṃ, atthaṅgamo	dutiye samudaya ssādaḥ samudaya saccam ādīnavaḥ dukkha saccam atthaṅgamo 	vutto vāyam attho dutiye samudaya ssādaḥ samudaya saccam ādīnavaḥ dukkha saccam atthaṅgamo
atisayitasukhaṃ etesamatthīti sukhinoti āha “jhāna…pe… sukhitā”ti. Taṇhā tesaṃ na	etesam atthi iti sukhino ti āha jhāna pe sukhitā ati taṇhā tesam na 	atisayita sukham etesam atthi iti sukhino ti āha jhāna pe sukhitā ti taṇhā tesam na
Na vikampanti “seyyohamasmī”tiādinā.	na vikampanti sā iyyā uham asmi iti ādinā 	na vikampanti seyyohamasmi iti ādinā
Uddhaṃ tiriyaṃ apācīnanti ettha “uddhaṃ vuccatī”tiādinā rūpamukhena attabhāvaṃ gahetvā	ettha uddham vuccati iti ādinā rūpa mukhena atta bhāvam gahetvā 	Uddham tiriyam apācīnan ti ettha uddham vuccati iti ādinā rūpa mukhena atta bhāvam gahetvā
Sīhanādasamodhānanti sīhanādānaṃ saṃkalanaṃ. Loke attano uttaritarassābhāvā anuttarā.	sīha nāda samodhānam ti sīha nādānam saṃkalanam loke anuttarā 	sīha nāda samodhānam ti sīha nādānam saṃkalanam loke attano uttaritarassa abhāvā anuttarā
Samasīhoti samajātiko samabhāgo ca sīho. Samānosmīti desanāmattaṃ, samappabhāvatāyapi	sama sīhaḥ ti sama jātiko sama bhāgaḥ ca sīhaḥ samānaḥ asmi iti desanā mattam 	sama sīhaḥ ti sama jātiko sama bhāgaḥ ca sīhaḥ samānaḥ asmi iti desanā mattam sama pabhāvatāya api
abhisambodhito purimāvatthāpi sīhasadisaṃ katvā dassitā. Bhāvini, bhūtopacāropi hi	purima avatthā api sīha sadisam katvā dassitā bhāvini bhūta upacāraḥ api hi 	purima avatthā api sīha sadisam katvā dassitā abhisambodhito bhāvini bhūta upacāraḥ api hi
dassitanti āha “idaṃ rupa”ntiādi. “Idaṃ rūpa”nti hi iminā bhūtupādāyabhedarūpaṃ sarūpato	dassitanti āha idam idam hi iminā bhūta upādāya bheda rūpam sarūpataḥ 	dassitanti āha idaṃ rūpanti ādi idaṃ rūpanti hi iminā bhūta upādāya bheda rūpaṃ sarūpato
cittutrāso ca na hotīti. Ñāṇasaṃvego bhayatūpaṭṭhānañāṇaṃ. Itaresaṃ pana devānanti	cittu trāsaḥ ca na hoti iti ñāṇa saṃvegaḥ itaresam pana 	cittu trāsaḥ ca na hoti iti ñāṇa saṃvegaḥ bhaya tūpaṭṭhāna ñāṇaṃ itaresam pana devānam iti
Tenāha “sītenapī”tiādi. Pabbatapādeti cakkavāḷapabbatapāde, so pana tattha accuggato	tena āha pabbata pāde iti cakkavāḷa pabbata pāde so pana tattha accuggato 	tena āha sītena pī ti ādi pabbata pāde iti cakkavāḷa pabbata pāde so pana tattha accuggato
taṃ pana paṇṇaphalādi. Yattha loṇaraso adhiko, taṃ loṇikanti āha “loṇayāgū”tiādi.	tam pana paṇṇa phala ādi yattha loṇa rasaḥ adhikaḥ tam loṇikam ti āha 	tam pana paṇṇa phala ādi yattha loṇa raso adhiko tam loṇikam ti āha loṇa yāgū ti ādi
ajātabuddhi, bāladārako. Vohārakusalo gāmavāsī puriso gāmikapuriso. Upabhogaparibhogārahattā	bāla dārakaḥ vohāra kusalaḥ gāma vāsī purisaḥ gāmika purisaḥ upabhoga paribhoga arahattā 	ajāta buddhi bāla dārakaḥ vohāra kusalaḥ gāma vāsī purisaḥ gāmika purisaḥ upabhoga paribhoga arahattā
upabhogaparibhogaṃ. Tambakaṃsamayattā kūṭo. Mahāsārattā cheko. Aḍḍhasārattā karaṭo.	upabhoga paribhogam kūṭaḥ mahā sārattā chekaḥ aḍḍha sārattā karaṭaḥ 	upabhoga paribhogam tambakaṃsamayattā kūṭo mahā sārattā cheko aḍḍha sārattā karaṭo
Nihīnasārattā saṇho. Ettha ca yathā heraññiko kahāpaṇaṃ cittādibhāvato uddhaṃ kūṭādibhāvaṃ	ettha ca yathā heraññikaḥ kahāpaṇam citta ādi bhāvataḥ uddham kūṭa ādi bhāvam 	ettha ca yathā heraññiko kahāpaṇaṃ citta ādi bhāvato uddhaṃ kūṭa ādi bhāvaṃ
apacayagāmipaṭipadāya paripūraṇato. Tenāha “no ācinātī”tiādi. Vaṭṭaṃ vināsetīti vidhamati	apacaya gāmi paṭipadāya tena āha no ācināti itiādi vaṭṭam vināseti iti vidhamati 	apacaya gāmi paṭipadāya paripūraṇato tena āha no ācināti iti ādi vaṭṭam vināseti iti vidhamati
Namassantiyeva mahatā gāravabahumānena. Tenāha “namo te purisājaññā”tiādi. Tattha	mahatā gārava bahu mānena tena āha namaḥ te purisa ajañña ati ādi tattha 	namassanti yeva mahatā gārava bahu mānena tena āha namo te purisa ajañña iti ādi tattha
Tenāha “ekeko ceva dve dve ca hutvā”ti. Puthujjanānaṃ samuditānaṃ nāma kiriyā tādisīpi	tena āha ekekaḥ ca iva dve dve ca hutvā ati puthujjanānam nāma kiriyā 	tena āha ekekaḥ ca eva dve dve ca hutvā iti puthujjanānam samuditānam nāma kiriyā tādisī pi
