original	analyzed	corrected
Bhū sattāyaṃ paca pāke gamusappa gatimhi (ca);	bhū sattāyam paca pāke gatimhi ca 	bhū sattāyam paca pāke gamu sappa gatimhi ca
4. Vava, lokanavittisu cakkhavutimhi (tu) rukkha (ca) khe thirahiṃsakhaṇe niya, mo’panayiṭṭhi	lokana vittisu cakkha vutimhi tu ca khe thira hiṃsa khaṇe 	Vava lokana vittisu cakkha vutimhi tu rukkha ca khe thira hiṃsa khaṇe niya mo panayiṭṭhi
vatādisa muṇḍisu dikkha (’tha) kakkha-kakhā hasane tura, hiṃsanavuddhigatīsu (hi)	muṇḍisu hasane tura hiṃsana vuddhi gatīsu hi 	vatādisa muṇḍisu dikkha atha kakkha kakhā hasane tura hiṃsana vuddhi gatīsu hi
dakkha’danamhi (tu) jakkha (ca) bhakkha (matā) ana, jāladukhesu (tu) dikkha (ca)	tu jakkha ca bhakkha matā ana jāla dukhesu tu dikkha ca 	dakkha danamhi tu jakkha ca bhakkha matā ana jāla dukhesu tu dikkha ca
(siyā’pi) bhikkha yāvaladdhya’laddhisū (pi) vakkha rosasaṃhatesu mokkha muttiyaṃ	siyā api bhikkha pi vakkha rosa saṃhatesu mokkha muttiyam 	siyā api bhikkha yāvaladdhya aladdhi su pi vakkha rosa saṃhatesu mokkha muttiyam
Paca yāte kaci-vacca dittiyaṃ maci dhāraṇe.	paca yāte dittiyam maci dhāraṇe 	paca yāte kaci-vacca dittiyam maci dhāraṇe
Majja saṃsuddhiyaṃ lajja lajjane tajja tajjane.	majja lajja lajjane tajja tajjane 	majja saṃsuddhiyaṃ lajja lajjane tajja tajjane
Jhe cintāyujjha ussagge gamane aṭa-paṭa dvayaṃ;	jhe ussagge gamane aṭa paṭa dvayam 	jhe cintāyujjha ussagge gamane aṭa paṭa dvayaṃ
Jaṭa-jhaṭa-piṭa saṅghāte ciṭu’ttāse ghaṭī’hane;	saṅghāte ciṭut tāse ghaṭī hane 	Jaṭa jhaṭa piṭa saṅghāte ciṭut tāse ghaṭī hane
Suṭhī-kuṭhī dvayaṃ sose pīṭha hiṃsanadhāraṇe.	suṭhī kuṭhī dvayam hiṃsana dhāraṇe 	suṭhī kuṭhī dvayaṃ sose pīṭha hiṃsana dhāraṇe
Kaṭha sosanapākesu vaṭha thulattane (bhave);	sosana pākesu thulattane bhave 	Kaṭha sosana pākesu vaṭha thulattane bhave
Kaṭhi sose ruṭha-luṭho’paghāte saṭha ketave.	sose ruṭha luṭha upaghāte ketave 	Kaṭhi sose ruṭha luṭha upaghāte saṭha ketave
Raḍi-eraḍi hiṃsāyaṃ piḍi saṅghātaādisu,	hiṃsā ayam piḍi saṅghāta ādisu 	Raḍi eraḍi hiṃsā ayam piḍi saṅghāta ādisu
(Atho) gādha patiṭṭhāyaṃ vuṭhu-edha (ca) vuddhiyaṃ,	atho gādha patiṭṭhāyam ca vuddhiyam 	atho gādha patiṭṭhāyam vuṭhu-edha ca vuddhiyam
(Atho) usūya dosā’vikaraṇe sāya sāyane;	atha u usūya dosa a vikaraṇe sāya sa ayane 	atha u usūya dosa a vikaraṇe sāya sa ayane
Jara jīraṇatthe marapāṇacāge khara sekanāse ghara sevanamhi;	jara jīraṇatthe khara seka nāse 	jara jīraṇatthe mara pāṇa cāge khara seka nāse ghara sevanamhi
Lasa kantya’tthe rasa assāde-(puna)bhasa bhasmikaraṇe(cā’pi;)	lasa ka nti atthe rasa bhasmi karaṇe ca api 	lasa ka nti atthe rasa assāde puna bhasa bhasmi karaṇe ca api
Su hiṃsākulasandhānayātrā’dīsu su passave,	su hiṃsā kula sandhāna yātrā ādīsu su 	su hiṃsā kula sandhāna yātrā ādīsu su passave
116. Sā’ssāde sā’vasāne (ca) sā tanūkaraṇe (pi ca) hā cāge muha vecitte naha sajjanabandhane naha soce pihicchāyaṃ siniha-saniha pītiyaṃ.	sa āssāde sa avasāne ca sā tanūkaraṇe ca ca hā cāge naha sat jana bandhane naha soce 	sa āssāde sa avasāne ca sā tanūkaraṇe pi ca hā cāge muha vecitte naha sat jana bandhane naha soce pihi chāyaṃ siniha saniha pītiyaṃ
Chadā’pavāraṇe chadda vamane chanda icchayaṃ,	chada apavāraṇe vamane chandaḥ icchayam 	chadā apavāraṇe chadda vamane chanda icchayaṃ
Laḷa (dhātū)’pasevā’yaṃ (vattatī’mecurādayo;)	dhātu upasevā ayam vattati mecur ādayaḥ 	dhātu upasevā ayam vattati me cur ādayaḥ laḷa
