original	analyzed	corrected
seyyathidaṁ—naccaṁ gītaṁ vāditaṁ pekkhaṁ akkhānaṁ pāṇissaraṁ vetāḷaṁ kumbhathūṇaṁ	gītam vāditam pekkham akkhānam pāṇissaram vetāḷam kumbhathūṇa 	seyyathidam naccam gītam vāditam pekkham akkhānam pāṇissaram vetāḷam kumbhathūṇam
seyyathidaṁ—aṭṭhapadaṁ dasapadaṁ ākāsaṁ parihārapathaṁ santikaṁ khalikaṁ ghaṭikaṁ	ākāsam parihāra patham santikam khalikam ghaṭika 	seyyathidam aṭṭhapadam dasapadam ākāsam parihāra patham santikam khalikam ghaṭikam
seyyathidaṁ—āsandiṁ pallaṅkaṁ gonakaṁ cittakaṁ paṭikaṁ paṭalikaṁ tūlikaṁ vikatikaṁ	pallaṅkam gonakam cittakam paṭikam paṭalikam tūlikam vikatika 	seyyathidam āsandim pallaṅkam gonakam cittakam paṭikam paṭalikam tūlikam vikatikam
seyyathidaṁ—na tvaṁ imaṁ dhammavinayaṁ ājānāsi, ahaṁ imaṁ dhammavinayaṁ ājānāmi,	tvam imam dhamma vinayam ājānāsi aham imam dhamma vinayam ājānāmi 	seyyathidaṁ na tvam imam dhamma vinayam ājānāsi aham imam dhamma vinayam ājānāmi
seyyathidaṁ—aṅgaṁ nimittaṁ uppātaṁ supinaṁ lakkhaṇaṁ mūsikacchinnaṁ aggihomaṁ dabbihomaṁ	nimittam uppātam supinam lakkhaṇam mūsikacchinnam aggi homam dabbi homa 	seyyathidam aṅgam nimittam uppātam supinam lakkhaṇam mūsikacchinnam aggi homam dabbi homam
mūsikavijjā sakuṇavijjā vāyasavijjā pakkajjhānaṁ saraparittāṇaṁ migacakkaṁ	mūsika vijjā sakuṇa vijjā vāyasa vijjā 	mūsika vijjā sakuṇa vijjā vāyasa vijjā pakkajjhānaṁ saraparittāṇaṁ migacakkaṁ
seyyathidaṁ—raññaṁ niyyānaṁ bhavissati, raññaṁ aniyyānaṁ bhavissati, abbhantarānaṁ	niyyānam bhavissati raññam a niyyānam bhavissati 	seyyathidam raññam niyyānam bhavissati raññam aniyyānam bhavissati abbhantarānam
seyyathidaṁ—suvuṭṭhikā bhavissati, dubbuṭṭhikā bhavissati, subhikkhaṁ bhavissati,	bhavissati dubbuṭṭhikā bhavissati subhikkham bhavissati 	seyyathidaṁ suvuṭṭhikā bhavissati dubbuṭṭhikā bhavissati subhikkham bhavissati
hanujappanaṁ kaṇṇajappanaṁ ādāsapañhaṁ kumārikapañhaṁ devapañhaṁ ādiccupaṭṭhānaṁ	hanu jappanam kaṇṇa jappanam ādāsa pañham kumārika pañham deva pañham 	hanu jappanam kaṇṇa jappanam ādāsa pañham kumārika pañham deva pañham ādicca upaṭṭhānam
seyyathidaṁ—santikammaṁ paṇidhikammaṁ bhūtakammaṁ bhūrikammaṁ vassakammaṁ vossakammaṁ	paṇidhi kammam bhūta kammam bhūri kammam vassa kammam vossa kamma 	seyyathidaṁ — santikammaṁ paṇidhi kammam bhūta kammam bhūri kammam vassa kammam vossa kamma
evamāyupariyanto, so tato cuto amutra udapādiṁ; tatrāpāsiṁ evaṁnāmo evaṅgotto evaṁvaṇṇo	evam āyu pariyantaḥ saḥ tatas cutaḥ amutra udapādi eva nāmaḥ evaṅgottaḥ eva vaṇṇaḥ 	evam āyu pariyantaḥ saḥ tatas cutaḥ amutra udapādi tatra āsiṁ evaṁ nāmaḥ evaṅgottaḥ evaṁ vaṇṇaḥ
evamāyupariyanto, so tato cuto amutra udapādiṁ; tatrāpāsiṁ evaṁnāmo evaṅgotto evaṁvaṇṇo	evam āyu pariyantaḥ saḥ tatas cutaḥ amutra udapādi eva nāmaḥ evaṅgottaḥ eva vaṇṇaḥ 	evam āyu pariyantaḥ saḥ tatas cutaḥ amutra udapādi tatra āsiṁ evaṁ nāmaḥ evaṅgottaḥ evaṁ vaṇṇaḥ
Seyyathidaṁ—dasapi saṁvaṭṭavivaṭṭāni vīsampi saṁvaṭṭavivaṭṭāni tiṁsampi saṁvaṭṭavivaṭṭāni	savaṭṭa vivaṭṭāni vīsam pi savaṭṭa vivaṭṭāni tisam pi savaṭṭa vivaṭṭāni 	seyyathidaṁ dasa pi saṁvaṭṭa vivaṭṭāni vīsam pi saṁvaṭṭa vivaṭṭāni tiṁsam pi saṁvaṭṭa vivaṭṭāni
Seyyathidaṁ—dasapi saṁvaṭṭavivaṭṭāni vīsampi saṁvaṭṭavivaṭṭāni tiṁsampi saṁvaṭṭavivaṭṭāni	savaṭṭa vivaṭṭāni vīsam pi savaṭṭa vivaṭṭāni tisam pi savaṭṭa vivaṭṭāni 	seyyathidaṁ dasa pi saṁvaṭṭa vivaṭṭāni vīsam pi saṁvaṭṭa vivaṭṭāni tiṁsam pi saṁvaṭṭa vivaṭṭāni
nimmitā, so nicco dhuvo sassato avipariṇāmadhammo sassatisamaṁ tatheva ṭhassati.	so niccaḥ dhuvaḥ sassataḥ a vipariṇāma dhammo sassati samam tathā iva 	nimmitā so nicco dhuvo sassato avipariṇāmadhammo sassatisamaṁ tatheva ṭhassati
“ananto ayaṁ loko apariyanto”ti, tesampi musā.	anantaḥ ayam lokaḥ tesam pi musā 	ananto ayaṁ loko apariyanto ti tesam pi musā
“yathā antavā ca ayaṁ loko ananto cā”’ti.	yathā antavā ca ayam lokaḥ ca ati 	yathā antavā ca ayam loko ananto ca iti
‘nevāyaṁ loko antavā, na panānanto.	na iva ayam lokaḥ antavān na pana anantaḥ 	na eva ayam lokaḥ antavān na pana anantaḥ
“ananto ayaṁ loko apariyanto”ti, tesampi musā.	anantaḥ ayam lokaḥ tesam pi musā 	ananto ayaṁ loko apariyanto ti tesam pi musā
Nevāyaṁ loko antavā, na panānanto’ti.	na iva ayam lokaḥ antavā na pana ananta uti 	na eva ayam loko antavā na pana ananto iti
Yesāhaṁ na sampāyeyyaṁ, so mamassa vighāto.	na sampāyeyya saḥ mama assa vighāto 	Yesāhaṁ na sampāyeyyaṁ so mama assa vighāto
‘nevatthi na natthi paro loko …pe…	na iva atthi na natthi paraḥ lokaḥ pe 	na iva atthi na natthi paro loko pe
Ye hi keci, bhikkhave, samaṇā vā brāhmaṇā vā amarāvikkhepikā tattha tattha pañhaṁ	ye hi keci bhikkhave samaṇāḥ vā brāhmaṇāḥ vā tattha tattha 	ye hi keci bhikkhave samaṇā vā brāhmaṇā vā amarāvikkhepikā tattha tattha pañhaṁ
‘Nevantavā nānantavā attā hoti ….	na ivantavāḥ na anantavāḥ attā hoti 	na eva antavā na anantavā attā hoti
abhivadanti dvāsaṭṭhiyā vatthūhi, tadapi tesaṁ bhavataṁ samaṇabrāhmaṇānaṁ ajānataṁ	abhivadanti tat api tesam bhavatam samaṇa brāhmaṇānam ajānata 	abhivadanti dvāsaṭṭhiyā vatthūhi tat api tesam bhavatam samaṇa brāhmaṇānam ajānata
