original	analyzed	corrected
“anujānāmi, bhikkhave, parittāṇakiṭikaṁ uddasudhan”ti.	anujānāmi bhikkhave parittāṇa kiṭikam 	anujānāmi bhikkhave parittāṇa kiṭikam uddasudhan ti
setavaṇṇaṁ kāḷavaṇṇaṁ gerukaparikammaṁ mālākammaṁ latākammaṁ makaradantakaṁ pañcapaṭikan”ti.	seta vaṇṇam kāḷa vaṇṇam geruka parikammam mālā kammam latā kammam makara dantakam 	seta vaṇṇam kāḷa vaṇṇam geruka parikammam mālā kammam latā kammam makara dantakam pañca paṭikan ti
setavaṇṇaṁ kāḷavaṇṇaṁ gerukaparikammaṁ mālākammaṁ latākammaṁ makaradantakaṁ pañcapaṭikan”ti.	seta vaṇṇam kāḷa vaṇṇam geruka parikammam mālā kammam latā kammam makara dantakam 	seta vaṇṇam kāḷa vaṇṇam geruka parikammam mālā kammam latā kammam makara dantakam pañca paṭikan ti
“Buddhoti tvaṁ, gahapati, vadesī”ti?	buddha uti tva gahapati vadesi iti 	buddha oti tvaṁ gahapati vadesi iti
“Buddho tyāhaṁ, gahapati, vadāmī”ti.	buddhaḥ tya āha gahapati vadāmi iti 	buddho tyāhaṁ gahapati vadāmi iti
“Buddhoti tvaṁ, gahapati, vadesī”ti?	buddha uti tva gahapati vadesi iti 	buddha oti tvaṁ gahapati vadesi iti
“Buddho tyāhaṁ, gahapati, vadāmī”ti.	buddhaḥ tya āha gahapati vadāmi iti 	buddho tyāhaṁ gahapati vadāmi iti
“Buddhoti tvaṁ, gahapati, vadesī”ti?	buddha uti tva gahapati vadesi iti 	buddha oti tvaṁ gahapati vadesi iti
“Buddho tyāhaṁ, gahapati, vadāmī”ti.	buddhaḥ tya āha gahapati vadāmi iti 	buddho tyāhaṁ gahapati vadāmi iti
“Ghosopi kho eso, gahapati, dullabho lokasmiṁ yadidaṁ—	ghosaḥ api kho esaḥ gahapati dullabhaḥ lokasmin 	ghosaḥ api kho esaḥ gahapati dullabhaḥ lokasmin yadidan
Na ca, bhikkhave, saṅghikaṁ yathāvuḍḍhaṁ paṭibāhitabbaṁ.	na ca bhikkhave saṅghikam yathāvuḍḍham 	na ca bhikkhave saṅghikam yathāvuḍḍham paṭibāhitabbam
“na, bhikkhave, uddissakatampi yathāvuḍḍhaṁ paṭibāhitabbaṁ.	na bhikkhave uddissa katam api yathāvuḍḍham 	na bhikkhave uddissa katam api yathāvuḍḍham paṭibāhitabbam
Evañcetaṁ labhetha, iccetaṁ kusalaṁ.	evañca itam labhetha id ca itam kusala 	evañca etaṁ labhetha icca etaṁ kusalaṁ
“Na, bhikkhave, lesakappena senāsanaṁ paṭibāhitabbaṁ.	na bhikkhave lesa kappena senāsanam 	na bhikkhave lesa kappena senāsanam paṭibāhitabbaṁ
“Nanu, āvuso, saṅghiko vihāro”ti?	nanu āvuso saṅghikaḥ vihāraḥ iti 	nanu āvuso saṅghiko vihāro iti
“Na, bhikkhave, senāsanaṁ gahetvā sabbakālaṁ paṭibāhitabbaṁ.	na bhikkhave senāsanam gahetvā sabbakālam 	na bhikkhave senāsanam gahetvā sabbakālam paṭibāhitabbam
Lohakumbhī, lohabhāṇakaṁ, lohavārako, lohakaṭāhaṁ, vāsi, parasu, kuṭhārī, kudālo, nikhādanaṁ—	loha kumbhī loha bhāṇaka loha vārakaḥ loha kaṭāha kuṭhārī kudālaḥ nikhādana 	loha kumbhī loha bhāṇakaṁ loha vārako loha kaṭāhaṁ vāsi parasu kuṭhārī kudālo nikhādanaṁ
idaṁ paṭhamaṁ avebhaṅgiyaṁ, na vibhajitabbaṁ, saṅghena vā gaṇena vā puggalena vā.	idam paṭhamam saṅghena vā gaṇena vā puggalena vā 	idam paṭhamam avebhaṅgiyam na vibhajitabbam saṅghena vā gaṇena vā puggalena vā
idaṁ catutthaṁ avebhaṅgiyaṁ, na vibhajitabbaṁ, saṅghena vā gaṇena vā puggalena vā.	idam catuttham saṅghena vā gaṇena vā puggalena vā 	idam catuttham avebhaṅgiyam na vibhajitabbam saṅghena vā gaṇena vā puggalena vā
idaṁ pañcamaṁ avebhaṅgiyaṁ, na vibhajitabbaṁ, saṅghena vā gaṇena vā puggalena vā.	idam pañcamam saṅghena vā gaṇena vā puggalena vā 	idam pañcamam avebhaṅgiyam na vibhajitabbam saṅghena vā gaṇena vā puggalena vā
na kuṭṭalepanamattena navakammaṁ dātabbaṁ.	na kuṭṭa lepana mattena nava kammam 	na kuṭṭa lepana mattena nava kammam dātabbam
Na dvāraṭṭhapanamattena navakammaṁ dātabbaṁ.	na dvāra ṭṭhapana mattena nava kammam 	na dvāra ṭṭhapana mattena nava kammam dātabbam
Na aggaḷavaṭṭikaraṇamattena navakammaṁ dātabbaṁ.	na aggaḷa vaṭṭi karaṇa mattena nava kammam 	na aggaḷa vaṭṭi karaṇa mattena nava kammam dātabbam
Na ālokasandhikaraṇamattena navakammaṁ dātabbaṁ.	na āloka sandhi karaṇa mattena nava kammam 	na āloka sandhi karaṇa mattena nava kammam dātabbam
Na setavaṇṇakaraṇamattena navakammaṁ dātabbaṁ.	na seta vaṇṇa karaṇa mattena nava kammam 	na seta vaṇṇa karaṇa mattena nava kammam dātabbam
Na kāḷavaṇṇakaraṇamattena navakammaṁ dātabbaṁ.	na kāḷavaṇṇa karaṇa mattena nava kammam 	na kāḷavaṇṇa karaṇa mattena nava kammam dātabbam
Na chādanamattena navakammaṁ dātabbaṁ.	na chādana mattena nava kammam 	na chādana mattena nava kammam dātabbam
Na bandhanamattena navakammaṁ dātabbaṁ.	na bandhana mattena nava kammam 	na bandhana mattena nava kammam databbaṁ
Na bhaṇḍikāṭṭhapanamattena navakammaṁ dātabbaṁ.	na bhaṇḍika aṭṭhapana mattena nava kammam 	na bhaṇḍika aṭṭhapana mattena nava kammam dātabbam
Na vīsativassikaṁ navakammaṁ dātabbaṁ.	na vīsati vassikam nava kammam 	na vīsati vassikam nava kammam dātabbam
Yo vāseyya, āpatti dukkaṭassā”ti.	yaḥ vā āseyye āpatti dukkaṭassa ati 	yo vā āseyya āpatti dukkaṭassa iti
“Na, bhikkhave, navakammaṁ gahetvā saṅghikaṁ paṭibāhitabbaṁ.	na bhikkhave nava kammam gahetvā saṅghikam 	na bhikkhave nava kammam gahetvā saṅghikam paṭibāhitabbam
“Na, bhikkhave, navakammaṁ gahetvā sabbakālaṁ paṭibāhitabbaṁ.	na bhikkhave nava kammam gahetvā sabbakālam 	na bhikkhave navakammaṁ gahetvā sabbakālaṁ paṭibāhitabbaṁ
“Na, bhikkhave, adhotehi pādehi senāsanaṁ akkamitabbaṁ.	na bhikkhave a dhotehi pādehi senāsanam 	na bhikkhave adhotehi pādehi senāsanaṁ akkamitabbaṁ
“Na, bhikkhave, allehi pādehi senāsanaṁ akkamitabbaṁ.	na bhikkhave allehi pādehi senāsanam 	na bhikkhave allehi pādehi senāsanam akkamitabbam
“Na, bhikkhave, saupāhanena senāsanaṁ akkamitabbaṁ.	na bhikkhave sa upāhanena senāsanam 	na bhikkhave saupāhanena senāsanam akkamitabbam
“Na, bhikkhave, parikammakatāya bhūmiyā niṭṭhubhitabbaṁ.	na bhikkhave parikammakatāya bhūmiyā 	na bhikkhave parikammakatāya bhūmiyā niṭṭhubhitabbaṁ
