original	analyzed	corrected
Puna caparaṁ, sāriputta, tathāgato anekavihitaṁ pubbenivāsaṁ anussarati, seyyathidaṁ—ekampi	puna capara sāriputta tathāgataḥ aneka vihitam pubbenivāsam anussarati 	puna caparaṁ sāriputta tathāgato aneka vihitaṁ pubbenivāsaṁ anussarati seyyathidaṁ ekampi
Yampi, sāriputta, tathāgato anekavihitaṁ pubbenivāsaṁ anussarati, seyyathidaṁ—ekampi	yam pi sāriputta tathāgataḥ aneka vihitam pubbenivāsam anussarati 	yam pi sāriputta tathāgato aneka vihitam pubbenivāsam anussarati seyyathidam ekam pi
Seyyathāpi, sāriputta, aṅgārakāsu sādhikaporisā pūrā aṅgārānaṁ vītaccikānaṁ vītadhūmānaṁ.	seyyathā api sāriputta aṅgārakāsu sa adhika porisā pūrāḥ aṅgārānam 	seyyathā api sāriputta aṅgārakāsu sa adhika porisā pūrā aṅgārānaṁ vītaccikānaṁ vītadhūmānaṁ
sāyatatiyakampi udakorohanānuyogamanuyutto viharāmi—	udakorohana anuyogam anuyuttaḥ viharāmi 	sāya tatiyakam pi udakorohana anuyogam anuyutto viharāmi
Tatrāssu me idaṁ, sāriputta, jegucchismiṁ hoti—	me sāriputta jegucchismim hoti 	Tatra assu me idam sāriputta jegucchismim hoti
yo koci avītarāgo taṁ vanasaṇḍaṁ pavisati, yebhuyyena lomāni haṁsanti.	tam vana saṇḍam pavisati yebhuyyena lomāni hasanti 	yo koci avītarāgo tam vana saṇḍam pavisati yebhuyyena lomāni haṁsanti
‘mahā nūna tena samayena kolo ahosī’ti.	nūna tena samayena kolaḥ ahosi iti 	mahā nūna tena samayena kolo ahosi iti
Seyyathāpi nāma oṭṭhapadaṁ; evamevassu me ānisadaṁ hoti tāyevappāhāratāya.	seyyathā api nāma oṭṭhapade evam evassu me ānisadam hoti 	seyyathā api nāma oṭṭhapadaṁ evam evassu me ānisadaṁ hoti tāya eva appāhāratāya
So kho ahaṁ, sāriputta, ‘vaccaṁ vā muttaṁ vā karissāmī’ti tattheva avakujjo papatāmi tāyevappāhāratāya.	saḥ kho aha sāriputta vaccam vā muttam vā karissāmi iti tattha iva avakujjaḥ papatāmi 	so kho ahaṁ sāriputta vaccaṁ vā muttaṁ vā karissāmi iti tattha eva avakujjo papatāmi tāya eva appāhāratāya
Tadāpi etaparamoyeva taṇḍulo ahosi, seyyathāpi etarahi.	tadā api taṇḍulaḥ sā iyyathā api etarahi 	tadā api eta paramo yeva taṇḍulo ahosi seyyathā api etarahi
Seyyathāpi nāma oṭṭhapadaṁ; evamevassu me ānisadaṁ hoti tāyevappāhāratāya.	seyyathā api nāma oṭṭhapade evam evassu me ānisadam hoti 	seyyathā api nāma oṭṭhapadaṁ evam evassu me ānisadaṁ hoti tāya eva appāhāratāya
So kho ahaṁ, sāriputta, ‘vaccaṁ vā muttaṁ vā karissāmī’ti tattheva avakujjo papatāmi tāyevappāhāratāya.	saḥ kho aha sāriputta vaccam vā muttam vā karissāmi iti tattha iva avakujjaḥ papatāmi 	so kho ahaṁ sāriputta vaccaṁ vā muttaṁ vā karissāmi iti tattha eva avakujjo papatāmi tāya eva appāhāratāya
Tāyapi kho ahaṁ, sāriputta, iriyāya tāya paṭipadāya tāya dukkarakārikāya nājjhagamaṁ uttariṁ manussadhammā alamariyañāṇadassanavisesaṁ.	kho aha sāriputta iriyāya tāya paṭipadāya tāya dukkara kārikāya na ajjhagamam uttarim manussa dhammāḥ 	Tāya pi kho ahaṁ sāriputta iriyāya tāya paṭipadāya tāya dukkara kārikāya na ajjhagamaṁ uttariṁ manussa dhammā alam ariya ñāṇa dassana visesaṁ
Attamano āyasmā nāgasamālo bhagavato bhāsitaṁ abhinandīti.	āyasmā nāgasamālaḥ bhagavataḥ bhāsitam abhinandi iti 	Attamano āyasmā nāgasamālo bhagavato bhāsitaṁ abhinandi iti
