segmentnr	original	folio	analyzed
PA_pe_9:0.1	Peṭakopadesa	0	
PA_pe_9:0.2	Suttavebhaṅgiya	0	
PA_pe_9:1.1	Pubbā koṭi na paññāyati avijjāya ca bhavataṇhāya ca.	1	
PA_pe_9:1.2	Tattha avijjānīvaraṇānaṁ taṇhāsaṁyojanānaṁ sattānaṁ pubbakoṭi na paññāyati.	1	
PA_pe_9:1.3	Tattha ye sattā taṇhāsaṁyojanā, te ajjhosānabahulā mandavipassakā.	1	
PA_pe_9:1.4	Ye pana ussannadiṭṭhikā sattā, te vipassanābahulā mandajjhosānā.	1	
PA_pe_9:2.1	Tattha taṇhācaritā sattā sattasaññābhiniviṭṭhā anuppādavayadassino.	2	
PA_pe_9:2.2	Te pañcasu khandhesu attānaṁ samanupassanti “rūpavantaṁ vā attānaṁ, attani vā rūpaṁ, rūpasmiṁ vā attānan”ti.	2	
PA_pe_9:2.3	Evaṁ pañcakkhandhā.	2	
PA_pe_9:2.4	Aññehi khandhehi attānaṁ samanupassanti tassa ussannadiṭṭhikā sattā vipassamānā khandhe ujuṁ attato samanupassanti.	2	
PA_pe_9:2.5	Te rūpaṁ attako samanupassanti.	2	
PA_pe_9:2.6	Yaṁ rūpaṁ, so attā.	2	
PA_pe_9:2.7	Yo ahaṁ, taṁ rūpaṁ.	2	
PA_pe_9:2.8	So rūpavināsaṁ passati, ayaṁ ucchedavādī.	2	
PA_pe_9:2.9	Iti pañcannaṁ khandhānaṁ paṭhamābhinipātā sakkāyadiṭṭhiyo pañca ucchedaṁ bhajanti “taṁ jīvaṁ taṁ sarīran”ti.	2	
PA_pe_9:2.10	Ekamekamhi khandhe tīhi padehi pacchimakehi sassataṁ bhajati “aññaṁ jīvaṁ aññaṁ sarīran”ti.	2	
PA_pe_9:2.11	Ito bahiddhāte pabbajitā taṇhācaritā kāmasukhallikānuyogamanuyuttā viharanti.	2	
PA_pe_9:2.12	Tena ye ca nissandena diṭṭhicaritā attakilamathānuyogamanuyuttā viharanti.	2	
PA_pe_9:2.13	Tenayeva diṭṭhisukhena ettāvatā bāhirako payogo.	2	
PA_pe_9:3.1	Tattha diṭṭhicaritā sattā ye ariyadhammavinayaṁ otaranti, te dhammānusārino honti.	3	
PA_pe_9:3.2	Ye taṇhācaritā sattā ariyaṁ dhammavinayaṁ otaranti, te saddhānusārino honti.	3	
PA_pe_9:4.1	Tattha ye diṭṭhicaritā sattā, te kāmesu dosadiṭṭhī, na ca ye kāmesu anusayā samūhatā, te attakilamathānuyogamanuyuttā viharanti.	4	
PA_pe_9:4.2	Tesaṁ satthā dhammaṁ deseti.	4	
PA_pe_9:4.3	Añño vā sāvako kāmehi natthi atthoti te ca pubbeyeva kāmehi anatthikā iti kāme appakasirena paṭinissajjanti.	4	
PA_pe_9:4.4	Te cetasikena dukkhena anajjhositā.	4	
PA_pe_9:4.5	Tena vuccati “sukhā paṭipadā”ti.	4	
PA_pe_9:4.6	Ye pana taṇhācaritā sattā, te kāmesu ajjhositā, tesaṁ satthā vā dhammaṁ deseti.	4	
PA_pe_9:4.7	Aññataro vā bhikkhu kāmehi natthi atthoti, te piyarūpaṁ dukkhena paṭinissajjanti.	4	
PA_pe_9:4.8	Tena vuccati “dukkhā paṭipadā”ti.	4	
PA_pe_9:4.9	Iti ime sabbasattā dvīsu paṭipadāsu samosaraṇaṁ gacchanti dukkhāyañca sukhāyañca.	4	
PA_pe_9:5.1	Tattha ye diṭṭhicaritā sattā, te dvidhā mudindriyā ca tikkhindriyā ca.	5	
PA_pe_9:5.2	Tattha ye diṭṭhicaritā sattā tikkhindriyā sukhena paṭinissajjanti, khippañca abhisamenti, tena vuccati “khippābhiññā sukhā paṭipadā”ti.	5	
PA_pe_9:5.3	Tattha ye diṭṭhicaritā sattā mudindriyā paṭhamaṁ tikkhindriyaṁ upādāya dandhataraṁ abhisamenti, te sukhena paṭinissajjanti, dandhañca abhisamenti.	5	
PA_pe_9:5.4	Tena vuccati “sukhā paṭipadā dandhābhiññā”ti.	5	
PA_pe_9:5.5	Tattha taṇhācaritā sattā dvidhā tikkhindriyā ca mudindriyā ca.	5	
PA_pe_9:5.6	Tattha ye taṇhācaritā sattā tikkhindriyā dukkhena paṭinissajjanti, khippañca abhisamenti.	5	
PA_pe_9:5.7	Tena vuccati “dukkhā paṭipadā khippābhiññā”ti.	5	
PA_pe_9:5.8	Tattha ye taṇhācaritā sattā mudindriyā paṭhamaṁ tikkhindriyaṁ upādāya dandhataraṁ abhisamenti, te dukkhena paṭinissajjanti, dandhañca abhisamenti.	5	
PA_pe_9:5.9	Tena vuccati “dukkhā paṭipadā dandhābhiññā”ti.	5	
PA_pe_9:5.10	Imā catasso paṭipadāyo apañcamā achaṭṭhā.	5	
PA_pe_9:5.11	Ye hi keci nibbutā nibbāyissanti vā imāhi catūhi paṭipadāhi anaññāhi ayaṁ paṭipadācatukkena kilese niddisati.	5	
PA_pe_9:5.12	Yā catukkamaggena ariyadhammesu niddisitabbā, ayaṁ vuccati sīhavikkīḷito nāma nayo.	5	
PA_pe_9:6.1	Tatrime cattāro āhārā.	6	
PA_pe_9:6.2	Cattāro vipallāsā upādānā yogā ganthā āsavā oghā sallā viññāṇaṭṭhitiyo agatigamanāti, evaṁ imāni sabbāni dasa padāni.	6	
PA_pe_9:6.3	Ayaṁ suttassa saṁsandanā.	6	
PA_pe_9:7.1	Cattāro āhārā.	7	
PA_pe_9:7.2	Tattha yo ca kabaḷīkāro āhāro yo ca phasso āhāro, ime taṇhācaritena pahātabbā.	7	
PA_pe_9:7.3	Tattha yo ca manosañcetanāhāro yo ca viññāṇāhāro, ime diṭṭhicaritena pahātabbā.	7	
PA_pe_9:8.1	Paṭhamo āhāro paṭhamo vipallāso, dutiyo āhāro dutiyo vipallāso, tatiyo āhāro tatiyo vipallāso, catuttho āhāro catuttho vipallāso.	8	
PA_pe_9:8.2	Ime cattāro vipallāsā apañcamā achaṭṭhā.	8	
PA_pe_9:8.3	Idañca pamāṇā cattāro āhārā.	8	
PA_pe_9:9.1	Tattha paṭhame vipallāse ṭhito kāme upādiyati, idaṁ kāmupādānaṁ.	9	
PA_pe_9:9.2	Dutiye vipallāse ṭhito anāgataṁ bhavaṁ upādiyati, idaṁ sīlabbatupādānaṁ.	9	
PA_pe_9:9.3	Tatiye vipallāse ṭhito viparīto diṭṭhiṁ upādiyati, idaṁ diṭṭhupādānaṁ.	9	
PA_pe_9:9.4	Catutthe vipallāse ṭhito khandhe attato upādiyati, idaṁ attavādupādānaṁ.	9	
PA_pe_9:10.1	Tattha kāmupādāne ṭhito kāme abhijjhāyati ganthati, ayaṁ abhijjhākāyagantho.	10	
PA_pe_9:10.2	Sīlabbatupādāne ṭhito byāpādaṁ ganthati, ayaṁ byāpādakāyagantho.	10	
PA_pe_9:10.3	Diṭṭhupādāne ṭhito parāmāsaṁ ganthati, ayaṁ parāmāsakāyagantho.	10	
PA_pe_9:10.4	Attavādupādāne ṭhito papañcanto ganthati, ayaṁ idaṁsaccābhiniveso kāyagantho.	10	
PA_pe_9:11.1	Tassa ganthitā kilesā āsavanti.	11	
PA_pe_9:11.2	Kiñci pana vuccati vippaṭisāro.	11	
PA_pe_9:11.3	Ye vippaṭisārā te anusayā.	11	
PA_pe_9:11.4	Tattha abhijjhākāyaganthena kāmāsavo, byāpādakāyaganthena bhavāsavo, parāmāsakāyaganthena diṭṭhāsavo, idaṁ saccābhinivesakāyaganthena avijjāsavo.	11	
PA_pe_9:12.1	Te cattāro āsavā vepullabhāvaṁ gatā oghā honti, tena vuccanti “oghā”ti.	12	
PA_pe_9:12.2	Tattha kāmāsavo kāmogho, bhavāsavo bhavogho, avijjāsavo avijjogho, diṭṭhāsavo diṭṭhogho.	12	
PA_pe_9:13.1	Te cattāro oghā āsayamanupaviṭṭhā anusayasahagatā vuccanti.	13	
PA_pe_9:13.2	Sallāti hadayamāhacca tiṭṭhantā.	13	
