original	analyzed	corrected
domanassindriyaṁ, upekkhindriyaṁ, saddhindriyaṁ, vīriyindriyaṁ, satindriyaṁ, samādhindriyaṁ,	domanassa indriya upekkhā indriya vīriya indriya sati indriya samādhi indriya 	domanassa indriya upekkhā indriya saddhā indriya vīriya indriya sati indriya samādhi indriya
domanassindriyaṁ, upekkhindriyaṁ, saddhindriyaṁ, vīriyindriyaṁ, satindriyaṁ, samādhindriyaṁ,	domanassa indriya upekkhā indriya vīriya indriya sati indriya samādhi indriya 	domanassa indriya upekkhā indriya saddhā indriya vīriya indriya sati indriya samādhi indriya
Anaññātaññassāmītindriyaṁ kusalaṁ.	an añña a taññassāmi iti indriyam kusala 	an aññāta aññassāmi iti indriyaṁ kusalaṁ
siyā adukkhamasukhāya vedanāya sampayuttaṁ, siyā na vattabbaṁ—“sukhāya vedanāya sampayuttan”tipi,	siyā adukkhamasukhāya vedanāya siyā na vattabba sukhāya vedanāya 	siyā adukkhamasukhāya vedanāya sampayuttaṁ siyā na vattabbaṁ sukhāya vedanāya sampayuttantipi
Aññindriyaṁ siyā vipākaṁ, siyā vipākadhammadhammaṁ.	aññindriyam siyā vipāka dhamma dhamma 	aññindriyam siyā vipākam siyā vipāka dhamma dhamma
Anaññātaññassāmītindriyaṁ apacayagāmi.	an añña a tañña sāmi iti indriyam apacaya gāmi 	an aññāta aññassāmi iti indriyam apacaya gāmi
Anaññātaññassāmītindriyaṁ sammattaniyataṁ.	an aññā ataññassāmi iti indriyam 	an aññā taññassāmi iti indriyam sammatta niyatam
Anaññātaññassāmītindriyaṁ na maggārammaṇaṁ, siyā maggahetukaṁ, siyā maggādhipati, siyā na vattabbaṁ—“maggahetukan”tipi, “maggādhipatī”tipi.	na magga ārammaṇa siyā magga hetuka siyā magga adhipati siyā na vattabba magga hetuka tipi magga adhipati itipi 	Anaññātaññassāmītindriyaṁ na magga ārammaṇaṁ siyā magga hetuka siyā magga adhipati siyā na vattabba magga hetuka tipi magga adhipati tipi
Navindriyā na vattabbā—“hetū ceva sahetukā cā”tipi, “sahetukā ceva na ca hetū”tipi.	nava indriyā na vattabbā ahetū ca iva sa hetukā ca atipi sa hetukā ca iva na ca 	nava indriyā na vattabbā hetū ca eva sa hetukā ca iti pi sa hetukā ca eva na ca hetū iti pi
Jīvitindriyā siyā sārammaṇaṁ, siyā anārammaṇaṁ.	siyā sa ārammaṇa siyā anārammaṇa 	Jīvitindriyā siyā sa ārammaṇa siyā anārammaṇa
Jīvitindriyaṁ siyā cetasikaṁ, siyā acetasikaṁ.	jīvitindriyam siyā siyā acetasika 	jīvitindriyam siyā cetasikam siyā acetasikam
Jīvitindriyaṁ siyā cittasaṁsaṭṭhaṁ, siyā cittavisaṁsaṭṭhaṁ.	jīvitindriyam siyā citta visasaṭṭha 	jīvitindriyam siyā citta saṁsaṭṭhaṁ siyā citta visaṁsaṭṭhaṁ
Jīvitindriyaṁ siyā cittasaṁsaṭṭhasamuṭṭhānaṁ, siyā no cittasaṁsaṭṭhasamuṭṭhānaṁ.	jīvita indriyam siyā citta sasaṭṭha samuṭṭhāna siyā no citta 	jīvita indriyam siyā citta saṁsaṭṭha samuṭṭhāna siyā no citta saṁsaṭṭha samuṭṭhāna
Tīṇindriyā siyā kilesavippayuttasaṅkilesikā, siyā kilesavippayuttaasaṅkilesikā.	tīṇindriyā siyā kilesa vippayutta asaṅkilesikā 	tīṇindriyā siyā kilesa vippayutta saṅkilesikā siyā kilesa vippayutta asaṅkilesikā
Ekādasindriyā siyā pītisahagatā, siyā na pītisahagatā.	siyā pīti sahagatā siyā na pīti sahagatā 	Ekādasa indriyā siyā pīti sahagatā siyā na pīti sahagatā
Anaññātaññassāmītindriyaṁ niyataṁ.	an añña a taññaḥ sāmi iti indriyam 	an aññāta aññassāmi iti indriyaṁ niyataṁ
