original	analyzed	corrected
sammukhāvinayena ca sativinayena ca amūḷhavinayena ca tassapāpiyasikāya ca.	sammukhā vinayena ca sati vinayena ca amūḍha vinayena ca ca 	sammukhā vinayena ca sati vinayena ca amūḷha vinayena ca tassa pāpiyasikāya ca
sammukhāvinayo, sativinayo, amūḷhavinayo, tassapāpiyasikā.	sammukhā vinayo sati vinayo amūḷha vinayo 	sammukhā vinayo sati vinayo amūḷha vinayo tassa pāpiyasikā
sammukhāvinayo, sativinayo, amūḷhavinayo, tassapāpiyasikā.	sammukhā vinayo sati vinayo amūḷha vinayo 	sammukhā vinayo sati vinayo amūḷha vinayo tassa pāpiyasikā
Samatho sammukhāvinayo, sammukhāvinayo samatho?	samathaḥ sammukha avinayaḥ sammukha avinayaḥ 	samatho sammukhāvinayo sammukhāvinayo samatho
Samatho sativinayo, sativinayo samatho?	samatho sati vinayaḥ sati vinayaḥ 	samatho sati vinayaḥ sati vinayaḥ samatho
Samatho amūḷhavinayo, amūḷhavinayo samatho?	samathaḥ amūḍhavinayaḥ amūḍhavinayaḥ 	samatho amūḷhavinayo amūḷhavinayo samatho
Sammukhāvinayo samatho ceva sammukhāvinayo ca.	sammukha avinayaḥ samathaḥ ca iva sammukha avinayaḥ ca 	sammukha vinayo samatho ca eva sammukha vinayo ca
Sativinayo samatho ceva sativinayo ca.	sati vinayaḥ ca iva sati vinayaḥ ca 	sati vinayaḥ samatho ca eva sati vinayaḥ ca
Amūḷhavinayo samatho ceva amūḷhavinayo ca.	amūḍha vinayaḥ ca iva amūḍha vinayaḥ ca 	amūḷha vinayo samatho ca eva amūḷha vinayo ca
Tiṇavatthārako sammukhāvinayo yebhuyyasikā sativinayo amūḷhavinayo paṭiññātakaraṇaṁ—	sammukhā vinayaḥ sati vinayo amūḷha vinayo 	Tiṇavatthārako sammukhā vinayaḥ yebhuyyasikā sati vinayo amūḷha vinayo paṭiññātakaraṇaṁ
Vinayo sammukhāvinayo, sammukhāvinayo vinayo?	vinayaḥ sammukha avinayaḥ sammukha avinayaḥ vinayaḥ 	vinayo sammukhāvinayo sammukhāvinayo vinayo
Vinayo amūḷhavinayo, amūḷhavinayo vinayo?	vinayaḥ amūḍha vinayaḥ amūḍha vinayaḥ vinayaḥ 	vinayo amūḷhavinayo amūḷhavinayo vinayo
