original	analyzed	corrected
anāmantacāro, asamādānacāro, gaṇabhojanaṁ, yāvadatthacīvaraṁ, yo ca tattha cīvaruppādo so nesaṁ bhavissatīti.	a nāmanta cāraḥ a samādāna cāraḥ yaḥ ca tattha cīvara uppādo saḥ na esam bhavissati iti 	anāmanta cāro a samādāna cāro gaṇa bhojanaṁ yāvadattha cīvaraṁ yo ca tattha cīvara uppādo so nesaṁ bhavissati iti
Atthatakathinānaṁ vo, bhikkhave, imāni pañca kappissanti.	vaḥ bhikkhave imāni pañca kappissanti 	Atthatakathinānaṁ vo bhikkhave imāni pañca kappissanti
na cīvaravicāraṇamattena atthataṁ hoti kathinaṁ,	na cīvara vicāraṇa mattena hoti 	na cīvara vicāraṇa mattena atthataṁ hoti kathinaṁ
na ovaṭṭiyakaraṇamattena atthataṁ hoti kathinaṁ,	na ovaṭṭiya karaṇa mattena hoti 	na ovaṭṭiya karaṇa mattena atthataṁ hoti kathinaṁ
na kaṇḍusakaraṇamattena atthataṁ hoti kathinaṁ,	na kaṇḍusa karaṇa mattena hoti 	na kaṇḍusa karaṇa mattena atthataṁ hoti kathinaṁ
na anuvātakaraṇamattena atthataṁ hoti kathinaṁ,	na anuvāta karaṇa mattena hoti 	na anuvāta karaṇa mattena atthatam hoti kathinam
na paribhaṇḍakaraṇamattena atthataṁ hoti kathinaṁ,	na paribhaṇḍa karaṇa mattena hoti 	na paribhaṇḍa karaṇa mattena atthataṁ hoti kathinaṁ
na ovaddheyyakaraṇamattena atthataṁ hoti kathinaṁ,	na ovaddheyya karaṇa mattena hoti 	na ovaddheyya karaṇa mattena atthatam hoti kathinam
Kathañca, bhikkhave, atthataṁ hoti kathinaṁ?	katham ca bhikkhave atthatam hoti 	katham ca bhikkhave atthatam hoti kathinam
atthataṁ hoti kathinaṁ, asannidhikatena atthataṁ hoti kathinaṁ, anissaggiyena atthataṁ	atthatam hoti a sannidhikatena atthatam hoti a nissaggiyena 	atthatam hoti kathinam a sannidhikatena atthatam hoti kathinam a nissaggiyena atthatam
Kathañca, bhikkhave, ubbhataṁ hoti kathinaṁ?	katham ca bhikkhave ubbhatam hoti 	katham ca bhikkhave ubbhatam hoti kathinam
So bahisīmagato taṁ cīvaraṁ kāreti.	saḥ bahi sīma gataḥ tam cīvaram kāra iti 	so bahisīmagato taṁ cīvaraṁ kāreti
So katacīvaro suṇāti “ubbhataṁ kira tasmiṁ āvāse kathinan”ti.	saḥ kata cīvaraḥ suṇāti ubbhatam kira tasmin āvāse 	so kata cīvaro suṇāti ubbhatam kira tasmin āvāse kathinan ti
So bahisīmagato taṁ cīvaraṁ kāreti.	saḥ bahi sīma gataḥ tam cīvaram kāra iti 	so bahisīmagato taṁ cīvaraṁ kāreti
So bahisīmagato taṁ cīvaraṁ kāreti.	saḥ bahi sīma gataḥ tam cīvaram kāra iti 	so bahisīmagato taṁ cīvaraṁ kāreti
So bahisīmagato taṁ cīvaraṁ kāreti.	saḥ bahi sīma gataḥ tam cīvaram kāra iti 	so bahisīmagato taṁ cīvaraṁ kāreti
