segmentnr	original	folio	analyzed
PA_sn_33:1.0.1	Saṁyutta Nikāya 33.1	1	
PA_sn_33:1.0.2	1. Vacchagottavagga	1	
PA_sn_33:1.0.3	Rūpaaññāṇasutta	1	
PA_sn_33:1.1.1	Ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	1	
PA_sn_33:1.1.2	Atha kho vacchagotto paribbājako yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavatā saddhiṁ sammodi.	1	
PA_sn_33:1.1.3	Sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho vacchagotto paribbājako bhagavantaṁ etadavoca:	1	
PA_sn_33:1.1.4	“ko nu kho, bho gotama, hetu, ko paccayo, yānimāni anekavihitāni diṭṭhigatāni loke uppajjanti—	1	
PA_sn_33:1.1.5_0	sassato lokoti vā, asassato lokoti vā, antavā lokoti vā, anantavā lokoti vā, taṁ	1	
PA_sn_33:1.1.5_1	jīvaṁ taṁ sarīranti vā, aññaṁ jīvaṁ aññaṁ sarīranti vā, hoti tathāgato paraṁ maraṇāti	1	
PA_sn_33:1.1.5_2	vā, na hoti tathāgato paraṁ maraṇāti vā, hoti ca na ca hoti tathāgato paraṁ maraṇāti	1	
PA_sn_33:1.1.5_3	vā, neva hoti na na hoti tathāgato paraṁ maraṇāti vā”ti?	1	
PA_sn_33:1.1.6	“Rūpe kho, vaccha, aññāṇā, rūpasamudaye aññāṇā, rūpanirodhe aññāṇā, rūpanirodhagāminiyā paṭipadāya aññāṇā;	1	
PA_sn_33:1.1.7	evamimāni anekavihitāni diṭṭhigatāni loke uppajjanti—	1	
PA_sn_33:1.1.8	sassato lokoti vā …pe…	1	
PA_sn_33:1.1.9	neva hoti na na hoti tathāgato paraṁ maraṇāti vāti.	1	
PA_sn_33:1.1.10	Ayaṁ kho, vaccha, hetu, ayaṁ paccayo, yānimāni anekavihitāni diṭṭhigatāni loke uppajjanti—	1	
PA_sn_33:1.1.11	sassato lokoti vā, asassato lokoti vā …pe…	1	
PA_sn_33:1.1.12	neva hoti na na hoti tathāgato paraṁ maraṇāti vā”ti.	1	
PA_sn_33:1.1.13	Paṭhamaṁ.	1	
PA_sn_33:2.0.1	Saṁyutta Nikāya 33.2	2	
PA_sn_33:2.0.2	1. Vacchagottavagga	2	
PA_sn_33:2.0.3	Vedanāaññāṇasutta	2	
PA_sn_33:2.1.1	Sāvatthinidānaṁ.	2	
PA_sn_33:2.1.2	Ekamantaṁ nisinno kho vacchagotto paribbājako bhagavantaṁ etadavoca:	2	
PA_sn_33:2.1.3	“ko nu kho, bho gotama, hetu, ko paccayo, yānimāni anekavihitāni diṭṭhigatāni loke uppajjanti—	2	
PA_sn_33:2.1.4	sassato lokoti vā, asassato lokoti vā …pe…	2	
PA_sn_33:2.1.5	neva hoti na na hoti tathāgato paraṁ maraṇāti vā”ti?	2	
PA_sn_33:2.1.6	“Vedanāya kho, vaccha, aññāṇā, vedanāsamudaye aññāṇā, vedanānirodhe aññāṇā, vedanānirodhagāminiyā paṭipadāya aññāṇā;	2	
PA_sn_33:2.1.7	evamimāni anekavihitāni diṭṭhigatāni loke uppajjanti—	2	
