segmentnr	original	analyzed
PA_ps_3.5:0.1	Paṭisambhidāmagga	▁paṭisambhidā magg a
PA_ps_3.5:0.2	3 Paññāvagga	▁paññā vagga
PA_ps_3.5:0.3	3.5. Cariyākathā	▁ cariyā kathā
PA_ps_3.5:1.1	Cariyāti, aṭṭha cariyāyo—	▁ cariyā ti ▁aṭṭha ▁ cariyā yo
PA_ps_3.5:1.2	iriyāpathacariyā, āyatanacariyā, saticariyā, samādhicariyā, ñāṇacariyā, maggacariyā, patticariyā, lokatthacariyāti.	▁ iriyāpath a cariyā ▁ āyatan a cariyā ▁sati cariyā ▁samādhi cariyā ▁ñāṇ a cariyā ▁magg a cariyā ▁patt i cariyā ▁lok attha cariyā ti
PA_ps_3.5:2.1	Iriyāpathacariyāti catūsu iriyāpathesu.	▁ iriyāpath a cariyā ti ▁catūsu ▁ iriyāpath esu
PA_ps_3.5:2.2	Āyatanacariyāti chasu ajjhattikabāhiresu āyatanesu.	▁ āyatan a cariyā ti ▁cha su ▁ajjhattik ab āhi r esu ▁ āyatan esu
PA_ps_3.5:2.3	Saticariyāti catūsu satipaṭṭhānesu.	▁sati cariyā ti ▁catūsu ▁satipaṭṭhān esu
PA_ps_3.5:2.4	Samādhicariyāti catūsu jhānesu.	▁samādhi cariyā ti ▁catūsu ▁jhān esu
PA_ps_3.5:2.5	Ñāṇacariyāti catūsu ariyasaccesu.	▁ñāṇ a cariyā ti ▁catūsu ▁ariyasacc esu
PA_ps_3.5:2.6	Maggacariyāti catūsu ariyamaggesu.	▁magg a cariyā ti ▁catūsu ▁ariyamagg esu
PA_ps_3.5:2.7	Patticariyāti catūsu sāmaññaphalesu.	▁patt i cariyā ti ▁catūsu ▁sāmaññ aphal esu
PA_ps_3.5:2.8	Lokatthacariyāti tathāgatesu arahantesu sammāsambuddhesu padese paccekabuddhesu padese sāvakesu.	▁lok attha cariyā ti ▁tathāgat esu ▁arahant esu ▁sammāsambuddh esu ▁ pades e ▁paccekabuddh esu ▁ pades e ▁ sāvak esu
PA_ps_3.5:3.1	Iriyāpathacariyā ca paṇidhisampannānaṁ.	▁ iriyāpath a cariyā ▁ca ▁pa ṇi dhi sampann ānaṃ
PA_ps_3.5:3.2	Āyatanacariyā ca indriyesu guttadvārānaṁ.	▁ āyatan a cariyā ▁ca ▁indriy esu ▁ gutt a dvār ānaṃ
PA_ps_3.5:3.3	Saticariyā ca appamādavihārīnaṁ.	▁sati cariyā ▁ca ▁appamād avihār īnaṃ
PA_ps_3.5:3.4	Samādhicariyā ca adhicittamanuyuttānaṁ.	▁samādhi cariyā ▁ca ▁adhi citt amanu yuttā naṃ
PA_ps_3.5:3.5	Ñāṇacariyā ca buddhisampannānaṁ.	▁ñāṇ a cariyā ▁ca ▁buddh i sampann ānaṃ
PA_ps_3.5:3.6	Maggacariyā ca sammāpaṭipannānaṁ.	▁magg a cariyā ▁ca ▁sammā paṭipann ānaṃ
PA_ps_3.5:3.7	Patticariyā ca adhigataphalānaṁ.	▁patt i cariyā ▁ca ▁adhigat aphal ānaṃ
PA_ps_3.5:3.8	Lokatthacariyā ca tathāgatānaṁ arahantānaṁ sammāsambuddhānaṁ padese paccekabuddhānaṁ padese sāvakānaṁ.	▁lok attha cariyā ▁ca ▁tathāgat ānaṃ ▁arahant ānaṃ ▁sammāsambuddh ānaṃ ▁ pades e ▁paccekabuddh ānaṃ ▁ pades e ▁ sāvak ānaṃ
PA_ps_3.5:3.9	Imā aṭṭha cariyāyo.	▁imā ▁aṭṭha ▁ cariyā yo
PA_ps_3.5:4.1	Aparāpi aṭṭha cariyāyo.	▁apar āpi ▁aṭṭha ▁ cariyā yo
PA_ps_3.5:4.2_0	Adhimuccanto saddhāya carati, paggaṇhanto vīriyena carati, upaṭṭhāpento satiyā carati,	▁adhi mu cc anto ▁saddh āya ▁ca rati ▁paggaṇh anto ▁vīriy ena ▁ca rati ▁upaṭṭhāp ento ▁sati yā ▁ca rati
PA_ps_3.5:4.2_1	avikkhepaṁ karonto samādhinā carati, pajānanto paññāya carati, vijānanto viññāṇacariyāya	▁avikkhep aṃ ▁karonto ▁samādhi nā ▁ca rati ▁pajān anto ▁paññāya ▁ca rati ▁vi jān anto ▁viññāṇ a cariyā ya
PA_ps_3.5:4.2_2	carati, evaṁ paṭipannassa kusalā dhammā āyāpentīti āyatanacariyāya carati, evaṁ paṭipanno	▁ca rati ▁evaṃ ▁ paṭipann assa ▁kusalā ▁dhammā ▁ ā yā p entīti ▁ āyatan a cariyā ya ▁ca rati ▁evaṃ ▁paṭipanno
PA_ps_3.5:4.2_3	visesamadhigacchatīti visesacariyāya carati.	▁vises ama dhi gacch atīti ▁vises a cariyā ya ▁ca rati
PA_ps_3.5:4.3	Imā aṭṭha cariyāyo.	▁imā ▁aṭṭha ▁ cariyā yo
PA_ps_3.5:5.1	Aparāpi aṭṭha cariyāyo.	▁apar āpi ▁aṭṭha ▁ cariyā yo
PA_ps_3.5:5.2_0	Dassanacariyā ca sammādiṭṭhiyā, abhiniropanacariyā ca sammāsaṅkappassa, pariggahacariyā	▁dassan a cariyā ▁ca ▁sammādiṭṭhi yā ▁abhi ni rop ana cariyā ▁ca ▁sammāsaṃkapp assa ▁ pariggah a cariyā
PA_ps_3.5:5.2_1	ca sammāvācāya, samuṭṭhānacariyā ca sammākammantassa, vodānacariyā ca sammāājīvassa,	▁ca ▁sammā vāc āya ▁ samuṭṭhān a cariyā ▁ca ▁sammā kamm antassa ▁vodān a cariyā ▁ca ▁sammā ā jīv assa
PA_ps_3.5:5.2_2	paggahacariyā ca sammāvāyāmassa, upaṭṭhānacariyā ca sammāsatiyā, avikkhepacariyā ca sammāsamādhissa.	▁paggah a cariyā ▁ca ▁sammā vā yā m assa ▁upaṭṭhān a cariyā ▁ca ▁sammā sati yā ▁avikkhep a cariyā ▁ca ▁sammāsamādhi ssa
PA_ps_3.5:5.3	Imā aṭṭha cariyāyoti.	▁imā ▁aṭṭha ▁ cariyā yo ti
PA_ps_3.5:5.4	Cariyākathā niṭṭhitā.	▁ cariyā kathā ▁niṭṭhitā
