segmentnr	original	folio	analyzed
PA_bi-vb_sk75:0.1	Theravāda Vinaya	0	
PA_bi-vb_sk75:0.2	Bhikkhunivibhaṅga	0	
PA_bi-vb_sk75:0.3	Sekhiyakaṇḍa	0	
PA_bi-vb_sk75:0.4	Pādukavagga	0	
PA_bi-vb_sk75:0.5	75. Udakeuccārasikkhāpada	0	
PA_bi-vb_sk75:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	1	
PA_bi-vb_sk75:1.2	Tena kho pana samayena chabbaggiyā bhikkhuniyo udake uccārampi passāvampi kheḷampi karonti.	1	
PA_bi-vb_sk75:1.3	Manussā ujjhāyanti khiyyanti vipācenti—	1	
PA_bi-vb_sk75:1.4	“kathañhi nāma bhikkhuniyo udake uccārampi passāvampi kheḷampi karissanti, seyyathāpi gihiniyo kāmabhoginiyo”ti.	1	
PA_bi-vb_sk75:1.5	Assosuṁ kho bhikkhuniyo tesaṁ manussānaṁ ujjhāyantānaṁ khiyyantānaṁ vipācentānaṁ.	1	
PA_bi-vb_sk75:1.6	Yā tā bhikkhuniyo appicchā, tā ujjhāyanti khiyyanti vipācenti—	1	
PA_bi-vb_sk75:1.7	“kathañhi nāma chabbaggiyā bhikkhuniyo udake uccārampi passāvampi kheḷampi karissantī”ti.	1	
PA_bi-vb_sk75:1.8	Atha kho bhikkhuniyo bhikkhūnaṁ etamatthaṁ ārocesuṁ.	1	
PA_bi-vb_sk75:1.9	Bhikkhū bhagavato etamatthaṁ ārocesuṁ.	1	
PA_bi-vb_sk75:1.10	Atha kho bhagavā …pe…	1	
PA_bi-vb_sk75:1.11	bhikkhū paṭipucchi—	1	
PA_bi-vb_sk75:1.12	“saccaṁ kira, bhikkhave, chabbaggiyā bhikkhuniyo udake uccārampi passāvampi kheḷampi karontī”ti?	1	
PA_bi-vb_sk75:1.13	“Saccaṁ, bhagavā”ti.	1	
PA_bi-vb_sk75:1.14	Vigarahi buddho bhagavā …pe…	1	
PA_bi-vb_sk75:1.15	kathañhi nāma, bhikkhave, chabbaggiyā bhikkhuniyo udake uccārampi passāvampi kheḷampi karissanti.	1	
PA_bi-vb_sk75:1.16	Netaṁ, bhikkhave, appasannānaṁ vā pasādāya …pe…	1	
PA_bi-vb_sk75:1.17	evañca pana, bhikkhave, bhikkhuniyo imaṁ sikkhāpadaṁ uddisantu—	1	
PA_bi-vb_sk75:1.18.1	“Na udake uccāraṁ vā passāvaṁ vā kheḷaṁ vā karissāmīti sikkhā karaṇīyā”ti.	1	
PA_bi-vb_sk75:1.19	Evañcidaṁ bhagavatā bhikkhunīnaṁ sikkhāpadaṁ paññattaṁ hoti.	1	
PA_bi-vb_sk75:2.1	Tena kho pana samayena gilānā bhikkhuniyo udake uccārampi passāvampi kheḷampi kātuṁ kukkuccāyanti.	2	
PA_bi-vb_sk75:2.2	Bhagavato etamatthaṁ ārocesuṁ …pe…	2	
PA_bi-vb_sk75:2.3	anujānāmi, bhikkhave, gilānāya bhikkhuniyā udake uccārampi passāvampi kheḷampi kātuṁ.	2	
PA_bi-vb_sk75:2.4	Evañca pana, bhikkhave, bhikkhuniyo imaṁ sikkhāpadaṁ uddisantu—	2	
PA_bi-vb_sk75:2.5.1	“Na udake agilānā uccāraṁ vā passāvaṁ vā kheḷaṁ vā karissāmīti sikkhā karaṇīyā”ti.	2	
PA_bi-vb_sk75:2.6	Na udake agilānāya uccāro vā passāvo vā kheḷo vā kātabbo.	2	
PA_bi-vb_sk75:2.7	Yā anādariyaṁ paṭicca udake agilānā uccāraṁ vā passāvaṁ vā kheḷaṁ vā karoti, āpatti dukkaṭassa.	2	
PA_bi-vb_sk75:2.8.1	Anāpatti—	2	
PA_bi-vb_sk75:2.9	asañcicca,	2	
PA_bi-vb_sk75:2.10	assatiyā,	2	
PA_bi-vb_sk75:2.11	ajānantiyā,	2	
PA_bi-vb_sk75:2.12	gilānāya,	2	
PA_bi-vb_sk75:2.13	thale kato udakaṁ ottharati,	2	
PA_bi-vb_sk75:2.14	āpadāsu,	2	
PA_bi-vb_sk75:2.15	ummattikāya,	2	
PA_bi-vb_sk75:2.16	khittacittāya,	2	
PA_bi-vb_sk75:2.17	vedanāṭṭāya,	2	
PA_bi-vb_sk75:2.18	ādikammikāyāti.	2	
PA_bi-vb_sk75:2.19	Pannarasamasikkhāpadaṁ niṭṭhitaṁ.	2	
PA_bi-vb_sk75:2.20	Pādukavaggo sattamo.	2	
PA_bi-vb_sk75:2.21	Uddiṭṭhā kho, ayyāyo, sekhiyā dhammā.	2	
PA_bi-vb_sk75:2.22	Tatthāyyāyo pucchāmi—	2	
PA_bi-vb_sk75:2.23	“kaccittha parisuddhā”?	2	
PA_bi-vb_sk75:2.24	Dutiyampi pucchāmi—	2	
PA_bi-vb_sk75:2.25	“kaccittha parisuddhā”?	2	
PA_bi-vb_sk75:2.26	Tatiyampi pucchāmi—	2	
PA_bi-vb_sk75:2.27	“kaccittha parisuddhā”?	2	
PA_bi-vb_sk75:2.28	Parisuddhetthāyyāyo, tasmā tuṇhī, evametaṁ dhārayāmīti.	2	
PA_bi-vb_sk75:2.29	Sekhiyakaṇḍaṁ niṭṭhitaṁ.	2	
