original	analyzed	corrected
paccayā diṭṭhāsavo avijjāsavo. (Cakkaṁ.)	paccayā diṭṭha āsavaḥ avijja āsavaḥ 	paccayā diṭṭha āsavo avijja āsavo cakkaṁ
pacchājātaṁ, āhāraṁ, indriyaṁ. Sahajāto—noāsavo eko khandho tiṇṇannaṁ khandhānaṁ	pacchājātaḥ āhāraḥ indriya eko khandho 	pacchājātaḥ āhāraḥ indriya sahajāto noāsavo eko khandho tiṇṇannaṁ khandhānaṁ
Kabaḷīkāro āhāro—imassa kāyassa atthipaccayena paccayo. Rūpajīvitindriyaṁ—kaṭattārūpānaṁ	kabaḷīkāraḥ āhāraḥ imassa kāyassa atthi paccayena paccayo 	kabaḷīkāro āhāro imassa kāyassa atthi paccayena paccayo rūpajīvitindriyaṁ kaṭattārūpānaṁ
(Yathā cūḷantaraduke lokiyadukaṁ, evaṁ kātabbaṁ, ninnānākaraṇaṁ.)	yathā cūḍantara duke lokiya duke evam 	yathā cūḍantara duke lokiya duke evaṁ kātabbaṁ ninnānākaraṇaṁ
paṭicca cittasamuṭṭhānaṁ rūpaṁ upādārūpaṁ.	paṭicca citta samuṭṭhānam rūpam 	paṭicca citta samuṭṭhānam rūpam upādā rūpam
Evaṁ sabbe paccayā vitthāretabbā. Saṅkhittaṁ.	evam sabbe paccayāḥ vitthāretabbā 	evam sabbe paccayā vitthāretabbā saṅkhittaṁ
pakatūpanissayo …pe…. Pakatūpanissayo—āsavasampayuttā khandhā āsavavippayuttānaṁ	pakata upanissayaḥ pe pakata upanissayaḥ āsava sampayuttāḥ khandhāḥ 	pakata upanissayaḥ pe pakata upanissayaḥ āsava sampayuttāḥ khandhāḥ āsava vippayuttānaṁ
paccayo—anantarūpanissayo, pakatūpanissayo …pe…. Pakatūpanissayo—saddhā … sīlaṁ …pe…	paccayaḥ anantara upanissayaḥ pakata upanissayaḥ pe pakata upanissayaḥ saddhā sīlam pe	paccayaḥ anantara upanissayaḥ pakata upanissayaḥ pe pakata upanissayaḥ saddhā sīlam pe
Āsavavippayutto dhammo āsavavippayuttassa dhammassa atthipaccayena paccayo— sahajātaṁ, purejātaṁ, pacchājātaṁ, āhāraṁ, indriyaṁ. (Saṅkhittaṁ, vitthāretabbaṁ.)	āsava vippayuttaḥ dhammaḥ āsava vippayuttassa dhammassa atthi paccayena paccayo sahajāta purejāta pacchājāta āhāra indriya 	āsava vippayuttaḥ dhammaḥ āsava vippayuttassa dhammassa atthi paccayena paccayo sahajāta purejāta pacchājāta āhāra indriya saṅkhitta vitthāretabba
purejātaṁ. Sahajāto—domanassasahagato vicikicchāsahagato uddhaccasahagato moho sampayuttakānaṁ	purejāta sahajātaḥ domanassa sahagataḥ vicikicchā sahagataḥ uddhacca sahagataḥ moho 	purejātaṁ sahajāto domanassa sahagato vicikicchā sahagato uddhacca sahagato moho sampayuttakānaṁ
(cakkaṁ bandhitabbaṁ) diṭṭhāsavaṁ paṭicca avijjāsavo.	cakkam diṭṭha āsavam paṭicca avijja āsavaḥ 	cakkam bandhitabbam diṭṭha āsavam paṭicca avijja āsavaḥ
khandhā cittasamuṭṭhānañca rūpaṁ, bhavāsavaṁ. (Cakkaṁ bandhitabbaṁ.)	khandhāḥ citta samuṭṭhānam ca cakkam 	khandhā citta samuṭṭhānam ca rūpam bhavāsavam cakkam
2.3.4.2–6. Sahajāta-paccaya-nissaya-saṁsaṭṭha-sampayuttavāra	sahajāta paccaya nissaya sasaṭṭha sampayutta vāra 	sahajāta paccaya nissaya saṁsaṭṭha sampayutta vāra
uppajjati hetupaccayā—kāmāsavaṁ paṭicca diṭṭhāsavo avijjāsavo. (Cakkaṁ bandhitabbaṁ.)	uppajjati hetu paccayā a kāma āsavam paṭicca diṭṭha āsavaḥ avijja āsavaḥ cakkam 	uppajjati hetu paccayā kāma āsavam paṭicca diṭṭha āsavaḥ avijja āsavaḥ cakkam bandhitabbam
Bhavāsavaṁ paṭicca avijjāsavo (cakkaṁ bandhitabbaṁ). Diṭṭhāsavaṁ paṭicca avijjāsavo.	bhava āsavam paṭicca avijja āsavo cakkam diṭṭha āsavam paṭicca avijja āsavo 	bhava āsavam paṭicca avijja āsavo cakkam bandhitabbam diṭṭha āsavam paṭicca avijja āsavo
diṭṭhāsavo avijjāsavo sampayuttakā ca khandhā. (Sabbaṁ cakkaṁ.)	diṭṭha āsavaḥ avijjā āsavaḥ sampayuttakāḥ ca khandhāḥ sabbam 	diṭṭha āsavaḥ avijjā āsavaḥ sampayuttakāḥ ca khandhāḥ sabbam cakkam
ca khandhe paṭicca diṭṭhāsavo avijjāsavo. (Sabbaṁ cakkaṁ.)	ca khandhe paṭicca diṭṭha āsavaḥ avijja āsavaḥ sabbam 	ca khandhe paṭicca diṭṭha āsavaḥ avijja āsavaḥ sabbam cakkam
2.3.5.2–6. Sahajāta-paccaya-nissaya-saṁsaṭṭha-sampayuttavāra	sahajāta paccaya nissaya sasaṭṭha sampayutta vāra 	sahajāta paccaya nissaya saṁsaṭṭha sampayutta vāra
(Yathā cūḷantaraduke lokiyadukaṁ, evaṁ vitthāretabbaṁ ninnānākaraṇaṁ, saṅkhittaṁ.)	yathā cūḍantara duke lokiya duke evam vitthāretabbam 	yathā cūḍantara duke lokiya duke evam vitthāretabbam ninnānākaraṇam saṅkhittam
Āsavavippayuttasāsavadukaṁ niṭṭhitaṁ.	āsava vippayutta sa āsava dukam 	āsava vippayutta sa āsava dukam niṭṭhitaṁ
