segmentnr	original	folio	analyzed
PA_dt_2.5:0.1	Dhātukathā	0	
PA_dt_2.5:0.2	2 Niddesa	0	
PA_dt_2.5:0.3	2.5. Pañcamanaya Asaṅgahitenaasaṅgahitapadaniddesa	0	
PA_dt_2.5:1.1_0	Rūpakkhandhena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā	1	
PA_dt_2.5:1.1_1	dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena	1	
PA_dt_2.5:1.1_2	asaṅgahitā dhātusaṅgahena asaṅgahitā, te dhammā katihi khandhehi katihāyatanehi katihi dhātūhi asaṅgahitā?	1	
PA_dt_2.5:1.2	Te dhammā ekena khandhena ekenāyatanena sattahi dhātūhi asaṅgahitā.	1	
PA_dt_2.5:2.1	Vedanākkhandhena ye dhammā …	2	
PA_dt_2.5:2.2	saññākkhandhena ye dhammā …	2	
PA_dt_2.5:2.3	saṅkhārakkhandhena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	2	
PA_dt_2.5:2.4	te dhammā dvīhi khandhehi ekādasahāyatanehi sattarasahi dhātūhi asaṅgahitā.	2	
PA_dt_2.5:3.1	Viññāṇakkhandhena ye dhammā …	3	
PA_dt_2.5:3.2	manāyatanena ye dhammā …	3	
PA_dt_2.5:3.3	cakkhuviññāṇadhātuyā ye dhammā …pe…	3	
PA_dt_2.5:3.4	manodhātuyā ye dhammā …	3	
PA_dt_2.5:3.5	manoviññāṇadhātuyā ye dhammā …	3	
PA_dt_2.5:3.6	manindriyena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	3	
PA_dt_2.5:3.7	te dhammā catūhi khandhehi ekādasahāyatanehi ekādasahi dhātūhi asaṅgahitā.	3	
PA_dt_2.5:4.1	Cakkhāyatanena ye dhammā …pe…	4	
PA_dt_2.5:4.2	phoṭṭhabbāyatanena ye dhammā …	4	
PA_dt_2.5:4.3	cakkhudhātuyā ye dhammā …pe…	4	
PA_dt_2.5:4.4	phoṭṭhabbadhātuyā ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	4	
PA_dt_2.5:4.5	te dhammā catūhi khandhehi dvīhāyatanehi aṭṭhahi dhātūhi asaṅgahitā.	4	
PA_dt_2.5:5.1	Dhammāyatanena ye dhammā …	5	
PA_dt_2.5:5.2	dhammadhātuyā ye dhammā …	5	
PA_dt_2.5:5.3	itthindriyena ye dhammā …	5	
PA_dt_2.5:5.4	purisindriyena ye dhammā …	5	
PA_dt_2.5:5.5	jīvitindriyena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	5	
PA_dt_2.5:5.6	te dhammā ekena khandhena ekenāyatanena sattahi dhātūhi asaṅgahitā.	5	
PA_dt_2.5:6.1	Samudayasaccena ye dhammā …	6	
PA_dt_2.5:6.2	maggasaccena ye dhammā …	6	
PA_dt_2.5:6.3	nirodhasaccena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	6	
PA_dt_2.5:6.4	te dhammā dvīhi khandhehi ekādasahāyatanehi sattarasahi dhātūhi asaṅgahitā.	6	
PA_dt_2.5:7.1	Cakkhundriyena ye dhammā …pe…	7	
PA_dt_2.5:7.2	kāyindriyena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	7	
PA_dt_2.5:7.3	te dhammā catūhi khandhehi dvīhāyatanehi aṭṭhahi dhātūhi asaṅgahitā.	7	
PA_dt_2.5:8.1	Sukhindriyena ye dhammā …	8	
PA_dt_2.5:8.2	dukkhindriyena ye dhammā …	8	
PA_dt_2.5:8.3	somanassindriyena ye dhammā …	8	
PA_dt_2.5:8.4	domanassindriyena ye dhammā …	8	
PA_dt_2.5:8.5	upekkhindriyena ye dhammā …	8	
PA_dt_2.5:8.6	saddhindriyena ye dhammā …	8	
PA_dt_2.5:8.7	vīriyindriyena ye dhammā …	8	
PA_dt_2.5:8.8	satindriyena ye dhammā …	8	
PA_dt_2.5:8.9	samādhindriyena ye dhammā …	8	
PA_dt_2.5:8.10	paññindriyena ye dhammā …	8	
PA_dt_2.5:8.11	anaññātaññassāmītindriyena ye dhammā …	8	
PA_dt_2.5:8.12	aññindriyena ye dhammā …	8	
PA_dt_2.5:8.13	aññātāvindriyena ye dhammā …	8	
PA_dt_2.5:8.14	avijjāya ye dhammā …	8	
PA_dt_2.5:8.15	avijjāpaccayā saṅkhārena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	8	
PA_dt_2.5:8.16	te dhammā dvīhi khandhehi ekādasahāyatanehi sattarasahi dhātūhi asaṅgahitā.	8	
PA_dt_2.5:9.1	Saṅkhārapaccayā viññāṇena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	9	
PA_dt_2.5:9.2	te dhammā catūhi khandhehi ekādasahāyatanehi ekādasahi dhātūhi asaṅgahitā.	9	
PA_dt_2.5:10.1	Viññāṇapaccayā nāmarūpena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	10	
PA_dt_2.5:10.2	te dhammā ekena khandhena ekenāyatanena sattahi dhātūhi asaṅgahitā.	10	
PA_dt_2.5:11.1	Nāmarūpapaccayā saḷāyatanena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	11	
PA_dt_2.5:11.2	te dhammā tīhi khandhehi ekenāyatanena ekāya dhātuyā asaṅgahitā.	11	
PA_dt_2.5:12.1	Saḷāyatanapaccayā phassena ye dhammā …	12	
PA_dt_2.5:12.2	phassapaccayā vedanāya ye dhammā …	12	
PA_dt_2.5:12.3	vedanāpaccayā taṇhāya ye dhammā …	12	
PA_dt_2.5:12.4	taṇhāpaccayā upādānena ye dhammā …	12	
PA_dt_2.5:12.5	kammabhavena ye dhammā khandhasaṅgahena asaṅgahitā āyatanasaṅgahena asaṅgahitā dhātusaṅgahena asaṅgahitā, tehi dhammehi ye dhammā …pe…	12	
PA_dt_2.5:12.6	te dhammā dvīhi khandhehi ekādasahāyatanehi sattarasahi dhātūhi asaṅgahitā.	12	
PA_dt_2.5:13.1	Arūpabhavena ye dhammā …	13	
PA_dt_2.5:13.2	nevasaññānāsaññābhavena ye dhammā …	13	
PA_dt_2.5:13.3	catuvokārabhavena ye dhammā …	13	
