original	analyzed	corrected
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ.	bhadanta iti te bhikkhū bhagavataḥ 	bhadante iti te bhikkhū bhagavato paccassosuṁ
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ.	bhadanta iti te bhikkhū bhagavataḥ 	bhadante iti te bhikkhū bhagavato paccassosuṁ
“Khīṇā jāti, vusitaṁ brahmacariyaṁ, kataṁ karaṇīyaṁ, nāparaṁ itthattāyā”ti abbhaññāsi.	vusitam brahmacariya katam karaṇīya na aparam itthattāya ati 	Khīṇā jāti vusitam brahmacariyam katam karaṇīyam na aparam itthattāya ti abbhaññāsi
Kevalo hāyaṁ, bhikkhave, kusalarāsi, yadidaṁ—cattāro satipaṭṭhānā.	kevalaḥ bhikkhave kusala rāsi sati paṭṭhānā 	kevalo hāyaṁ bhikkhave kusala rāsi yadidaṁ cattāro sati paṭṭhānā
Kevalo hāyaṁ, bhikkhave, kusalarāsi, yadidaṁ—cattāro satipaṭṭhānā”ti.	kevalaḥ bhikkhave kusala rāsi sati paṭṭhānā ti 	kevalo hāyaṁ bhikkhave kusala rāsi yadidaṁ cattāro sati paṭṭhānā ti
Sacejja mayaṁ gocare careyyāma sake pettike visaye, na myāyaṁ, sakuṇagghi, alaṁ abhavissa, yadidaṁ—yuddhāyā’ti.	saced ja mayam gocare careyyāma sake pettike visaye na alam abhavissa yat idam yuddhāya ati 	saced ja mayam gocare careyyāma sake pettike visaye na myāyam sakuṇagghi alam abhavissa yat idam yuddhāya ti
‘ehi kho dāni me, sakuṇagghi, ehi kho dāni me, sakuṇagghī’ti.	ehi kho dāni me ehi kho dāni me sakuṇagghi iti 	ehi kho dāni me sakuṇagghi ehi kho dāni me sakuṇagghī iti
Atha kho, bhikkhave, sakuṇagghi tattheva uraṁ paccatāḷesi.	atha kho bhikkhave tattha iva uram paccatāḷesi 	atha kho bhikkhave sakuṇagghi tattheva uram paccatāḷesi
Api ca me, bhante, ahosi kācideva assāsamattā:	api ca me bhante ahosi kācid eva 	api ca me bhante ahosi kācid eva assāsamattā
Natthānanda, tathāgatassa dhammesu ācariyamuṭṭhi.	nattha ānanda tathāgatassa dhammesu 	nattha ānanda tathāgatassa dhammesu ācariyamuṭṭhi
“Evametaṁ, bhaginiyo, evametaṁ, bhaginiyo.	evam eta bhaginiyaḥ evam eta bhaginiyaḥ 	evam etaṁ bhaginiyo evam etaṁ bhaginiyo
“Evametaṁ, ānanda, evametaṁ, ānanda.	evam ete ānanda evam ete ānanda 	evam etaṁ ānanda evam etaṁ ānanda
‘yassa khvāhaṁ atthāya cittaṁ paṇidahiṁ, so me attho abhinipphanno.	yassa khvā aham atthāya cittam saḥ me atthaḥ abhinipphannaḥ 	yassa khvā aham atthāya cittam paṇidahim so me atthaḥ abhinipphannaḥ
‘yassa khvāhaṁ atthāya cittaṁ paṇidahiṁ, so me attho abhinipphanno.	yassa khvā aham atthāya cittam saḥ me atthaḥ abhinipphannaḥ 	yassa khvā aham atthāya cittam paṇidahim so me atthaḥ abhinipphannaḥ
Attamano āyasmā ānando bhagavato bhāsitaṁ abhinandīti.	āyasmai ānandaḥ bhagavataḥ bhāsitam abhinandi iti 	Attamano āyasmā ānando bhagavato bhāsitaṁ abhinandi iti
“Atthi kho idaṁ, āvuso cunda, kathāpābhataṁ bhagavantaṁ dassanāya.	atthi kho idam āvuso cunda bhagavantam dassanāya 	atthi kho idam āvuso cunda kathāpābhataṁ bhagavantam dassanāya
“ayaṁ, bhante, cundo samaṇuddeso evamāha:	bhante cundaḥ samaṇa uddesaḥ evam āha 	ayaṁ bhante cundo samaṇuddeso evam āha
“Khīṇā jāti, vusitaṁ brahmacariyaṁ, kataṁ karaṇīyaṁ, nāparaṁ itthattāyā”ti abbhaññāsi.	vusitam brahmacariya katam karaṇīya na aparam itthattāya ati 	Khīṇā jāti vusitam brahmacariyam katam karaṇīyam na aparam itthattāya ti abbhaññāsi
“Khīṇā jāti, vusitaṁ brahmacariyaṁ, kataṁ karaṇīyaṁ, nāparaṁ itthattāyā”ti abbhaññāsi.	vusitam brahmacariya katam karaṇīya na aparam itthattāya ati 	Khīṇā jāti vusitam brahmacariyam katam karaṇīyam na aparam itthattāya ti abbhaññāsi
Attānaṁ, bhikkhave, rakkhissāmīti satipaṭṭhānaṁ sevitabbaṁ;	attāna bhikkhave rakkhissāmi iti sati paṭṭhānam 	attānaṁ bhikkhave rakkhissāmi iti sati paṭṭhānaṁ sevitabbaṁ
paraṁ rakkhissāmīti satipaṭṭhānaṁ sevitabbaṁ.	param rakkhissāmi iti sati paṭṭhānam 	param rakkhissāmi iti sati paṭṭhānam sevitabbam
Attānaṁ, bhikkhave, rakkhissāmīti satipaṭṭhānaṁ sevitabbaṁ;	attāna bhikkhave rakkhissāmi iti sati paṭṭhānam 	attānaṁ bhikkhave rakkhissāmi iti sati paṭṭhānaṁ sevitabbaṁ
paraṁ rakkhissāmīti satipaṭṭhānaṁ sevitabbaṁ.	param rakkhissāmi iti sati paṭṭhānam 	param rakkhissāmi iti sati paṭṭhānam sevitabbam
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ.	bhadanta iti te bhikkhū bhagavataḥ 	bhadante iti te bhikkhū bhagavato paccassosuṁ
Ayameva ariyo aṭṭhaṅgiko maggo, seyyathidaṁ—	ayam eva ariyaḥ aṭṭhaṅgikaḥ maggo 	ayam eva ariyo aṭṭhaṅgiko maggo seyyathidaṁ
