original	analyzed	corrected
“Tatra, poṭṭhapāda, ye te samaṇabrāhmaṇā evamāhaṁsu:	tatra poṭṭhapāda ye te samaṇa brāhmaṇāḥ 	tatra poṭṭhapāda ye te samaṇa brāhmaṇā evamāhaṁsu
Samādhijapītisukhasukhumasaccasaññā tasmiṁ samaye hoti, samādhijapītisukhasukhumasaccasaññīyeva tasmiṁ samaye hoti.	tasmin samaye hoti samādhi ja pīti sukha sukhuma sacca saññīyā iva tasmin samaye hoti 	Samādhi ja pīti sukha sukhuma sacca saññā tasmiṁ samaye hoti samādhi ja pīti sukha sukhuma sacca saññīyeva tasmiṁ samaye hoti
‘neva hoti na na hoti tathāgato paraṁ maraṇā’ti vā;	na iva hoti na na hoti tathāgataḥ param vā 	na eva hoti na na hoti tathāgato paraṁ maraṇā ti vā
“tadā maṁ, bhante, te paribbājakā acirapakkantassa bhagavato samantato vācāsannitodakena sañjhabbharimakaṁsu:	tadā ma bhante te paribbājakāḥ acira pakkantassa bhagavato samantataḥ vācā āsannita udakena 	tadā maṁ bhante te paribbājakā acira pakkantassa bhagavato samantato vācā sannitodakena sañjhabbharimakaṁsu
“neva hoti na na hoti tathāgato paraṁ maraṇā”ti vā;	na iva hoti na na hoti tathāgataḥ param vā 	neva hoti na na hoti tathāgato paraṁ maraṇā ti vā
‘ekantasukhī attā hoti arogo paraṁ maraṇā’ti.	ekanta sukhī attā hoti arogaḥ param 	ekanta sukhī attā hoti arogo paraṁ maraṇā ti
“ekantasukhī attā hoti arogo paraṁ maraṇā”’ti?	ekanta sukhī attā hoti arogaḥ param 	ekanta sukhī attā hoti arogo paraṁ maraṇā ti
‘ekantasukhī attā hoti arogo paraṁ maraṇā’ti.	ekanta sukhī attā hoti arogaḥ param 	ekanta sukhī attā hoti arogo paraṁ maraṇā ti
“ekantasukhī attā hoti arogo paraṁ maraṇā”’ti?	ekanta sukhī attā hoti arogaḥ param 	ekanta sukhī attā hoti arogo paraṁ maraṇā ti
‘ekantasukhī attā hoti arogo paraṁ maraṇā’ti.	ekanta sukhī attā hoti arogaḥ param 	ekanta sukhī attā hoti arogo paraṁ maraṇā ti
“ekantasukhī attā hoti arogo paraṁ maraṇā”’ti?	ekanta sukhī attā hoti arogaḥ param 	ekanta sukhī attā hoti arogo paraṁ maraṇā ti
‘ayaṁ vā so, āvuso, oḷāriko attapaṭilābho, yassa mayaṁ pahānāya dhammaṁ desema, yathāpaṭipannānaṁ	ayam vā saḥ āvuso oḷārikaḥ atta paṭilābhaḥ yassa mayam pahānāya dhammam desema 	ayam vā so āvuso oḷāriko atta paṭilābho yassa mayam pahānāya dhammam desema yathāpaṭipannānam
‘ayaṁ vā so, āvuso, manomayo attapaṭilābho yassa mayaṁ pahānāya dhammaṁ desema, yathāpaṭipannānaṁ	ayam vā saḥ āvuso manaḥ mayaḥ atta paṭilābhaḥ yassa mayam pahānāya dhammam desema 	ayam vā so āvuso manomayo atta paṭilābho yassa mayam pahānāya dhammam desema yathāpaṭipannānam
‘ayaṁ vā so, āvuso, arūpo attapaṭilābho yassa mayaṁ pahānāya dhammaṁ desema, yathāpaṭipannānaṁ	ayam vā saḥ āvuso arūpaḥ atta paṭilābhaḥ yassa mayam pahānāya dhammam desema 	ayam vā so āvuso arūpo atta paṭilābho yassa mayam pahānāya dhammam desema yathāpaṭipannānam
‘ayaṁ vā so, āvuso, arūpo attapaṭilābho, yassa mayaṁ pahānāya dhammaṁ desema, yathāpaṭipannānaṁ	ayam vā saḥ āvuso arūpaḥ atta paṭilābhaḥ yassa mayam pahānāya dhammam desema 	ayam vā so āvuso arūpo atta paṭilābho yassa mayam pahānāya dhammam desema yathāpaṭipannānam
oḷāriko attapaṭilābhotveva tasmiṁ samaye saṅkhaṁ gacchati.	oḷārikaḥ tasmin samaye saṅkham gacchati 	oḷārikaḥ attapaṭilābho tveva tasmin samaye saṅkham gacchati
manomayo attapaṭilābhotveva tasmiṁ samaye saṅkhaṁ gacchati.	manaḥ mayaḥ tasmin samaye saṅkham gacchati 	manomayo attapaṭilābho tveva tasmin samaye saṅkham gacchati
arūpo attapaṭilābhotveva tasmiṁ samaye saṅkhaṁ gacchati.	arūpaḥ tasmin samaye saṅkham gacchati 	arūpo attapaṭilābho tveva tasmin samaye saṅkham gacchati
