segmentnr	original	folio	analyzed
PA_bi-vb_np6:0.1	Theravāda Vinaya	0	
PA_bi-vb_np6:0.2	Bhikkhunivibhaṅga	0	
PA_bi-vb_np6:0.3	Nissaggiyakaṇḍa	0	
PA_bi-vb_np6:0.4	Pattavagga	0	
PA_bi-vb_np6:0.5	6. Saṅghikacetapanasikkhāpada	0	
PA_bi-vb_np6:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	1	
PA_bi-vb_np6:1.2	Tena kho pana samayena upāsakā bhikkhunisaṅghassa cīvaratthāya chandakaṁ saṅgharitvā aññatarassa pāvārikassa ghare parikkhāraṁ nikkhipitvā bhikkhuniyo upasaṅkamitvā etadavocuṁ—	1	
PA_bi-vb_np6:1.3	“amukassa, ayye, pāvārikassa ghare cīvaratthāya parikkhāro nikkhitto, tato cīvaraṁ āharāpetvā bhājethā”ti.	1	
PA_bi-vb_np6:1.4	Bhikkhuniyo tena parikkhārena bhesajjaṁ cetāpetvā paribhuñjiṁsu.	1	
PA_bi-vb_np6:1.5	Upāsakā jānitvā ujjhāyanti khiyyanti vipācenti—	1	
PA_bi-vb_np6:1.6	“kathañhi nāma bhikkhuniyo aññadatthikena parikkhārena aññuddisikena saṅghikena aññaṁ cetāpessantī”ti.	1	
PA_bi-vb_np6:1.7	Assosuṁ kho bhikkhuniyo tesaṁ upāsakānaṁ ujjhāyantānaṁ khiyyantānaṁ vipācentānaṁ.	1	
PA_bi-vb_np6:1.8	Yā tā bhikkhuniyo appicchā …pe… tā ujjhāyanti khiyyanti vipācenti—	1	
PA_bi-vb_np6:1.9	“kathañhi nāma bhikkhuniyo aññadatthikena parikkhārena aññuddisikena saṅghikena aññaṁ cetāpessantī”ti …pe…	1	
PA_bi-vb_np6:1.10	“saccaṁ kira, bhikkhave, bhikkhuniyo aññadatthikena parikkhārena aññuddisikena saṅghikena aññaṁ cetāpentī”ti?	1	
PA_bi-vb_np6:1.11	“Saccaṁ, bhagavā”ti.	1	
PA_bi-vb_np6:1.12	Vigarahi buddho bhagavā …pe…	1	
PA_bi-vb_np6:1.13	kathañhi nāma, bhikkhave, bhikkhuniyo aññadatthikena parikkhārena aññuddisikena saṅghikena aññaṁ cetāpessanti.	1	
PA_bi-vb_np6:1.14	Netaṁ, bhikkhave, appasannānaṁ vā pasādāya …pe…	1	
PA_bi-vb_np6:1.15	evañca pana, bhikkhave, bhikkhuniyo imaṁ sikkhāpadaṁ uddisantu—	1	
PA_bi-vb_np6:1.16.1	“Yā pana bhikkhunī aññadatthikena parikkhārena aññuddisikena saṅghikena aññaṁ cetāpeyya, nissaggiyaṁ pācittiyan”ti.	1	
PA_bi-vb_np6:2.1.1	Yā panāti	2	
PA_bi-vb_np6:2.1.2	yā yādisā …pe…	2	
PA_bi-vb_np6:2.1.3	bhikkhunīti	2	
PA_bi-vb_np6:2.1.4	…pe… ayaṁ imasmiṁ atthe adhippetā bhikkhunīti.	2	
PA_bi-vb_np6:2.1.5	Aññadatthikena parikkhārena aññuddisikenāti	2	
PA_bi-vb_np6:2.1.6	aññassatthāya dinnena.	2	
PA_bi-vb_np6:2.1.7	Saṅghikenāti	2	
PA_bi-vb_np6:2.1.8	saṅghassa, na gaṇassa, na ekabhikkhuniyā.	2	
PA_bi-vb_np6:2.1.9	Aññaṁ cetāpeyyāti	2	
PA_bi-vb_np6:2.1.10	yaṁatthāya dinnaṁ, taṁ ṭhapetvā aññaṁ cetāpeti, payoge dukkaṭaṁ.	2	
PA_bi-vb_np6:2.1.11	Paṭilābhena nissaggiyaṁ hoti.	2	
PA_bi-vb_np6:2.1.12	Nissajjitabbaṁ saṅghassa vā gaṇassa vā ekabhikkhuniyā vā.	2	
PA_bi-vb_np6:2.1.13	Evañca pana, bhikkhave, nissajjitabbaṁ.	2	
PA_bi-vb_np6:2.1.14	…pe…	2	
PA_bi-vb_np6:2.1.15	“idaṁ me, ayye, aññadatthikena parikkhārena aññuddisikena saṅghikena aññaṁ cetāpitaṁ nissaggiyaṁ, imāhaṁ saṅghassa nissajjāmī”ti.	2	
PA_bi-vb_np6:2.1.16	…pe…	2	
PA_bi-vb_np6:2.1.17	dadeyyā”ti …pe…	2	
PA_bi-vb_np6:2.1.18	dadeyyun”ti …pe…	2	
