original	analyzed	corrected
“Alaṁ, puṇṇa, tiṭṭhatetaṁ; mā maṁ etaṁ pucchī”ti.	ala puṇṇa tiṭṭhata ita mā mama etam pucchi iti 	alaṁ puṇṇa tiṭṭhata etaṁ mā maṁ etaṁ pucchi iti
Alaṁ, puṇṇa, tiṭṭhatetaṁ; mā maṁ etaṁ pucchīti;	ala puṇṇa tiṭṭhata ita mā mama etam pucchi iti 	alaṁ puṇṇa tiṭṭhata etaṁ mā maṁ etaṁ pucchi iti
“etaṁ kho te ahaṁ, puṇṇa, nālatthaṁ.	etam khalu te aha puṇṇa na alattha 	etam kho te aham puṇṇa na alattha
Alaṁ, puṇṇa, tiṭṭhatetaṁ; mā maṁ etaṁ pucchī”ti.	ala puṇṇa tiṭṭhata ita mā mama etam pucchi iti 	alaṁ puṇṇa tiṭṭhata etaṁ mā maṁ etaṁ pucchi iti
Ayaṁ, bhante, puṇṇo koliyaputto govatiko.	bhante puṇṇaḥ koliya putto govatikaḥ 	Ayaṁ bhante puṇṇo koliya putto govatiko
“Alaṁ, seniya, tiṭṭhatetaṁ; mā maṁ etaṁ pucchī”ti.	ala seniya tiṭṭhata ita mā mama etam pucchi iti 	alaṁ seniya tiṭṭhata etaṁ mā maṁ etaṁ pucchi iti
“ayaṁ, bhante, puṇṇo koliyaputto govatiko.	bhante puṇṇaḥ koliya putto govatikaḥ 	ayaṁ bhante puṇṇo koliya putto govatiko
Alaṁ, seniya, tiṭṭhatetaṁ; mā maṁ etaṁ pucchīti;	ala seniya tiṭṭhata ita mā mama etam pucchi iti 	alaṁ seniya tiṭṭhata etaṁ mā maṁ etaṁ pucchi iti
“etaṁ kho te ahaṁ, seniya, nālatthaṁ.	etam khalu te aha seniya na alattha 	etam kho te aham seniya na alattha
Alaṁ, seniya, tiṭṭhatetaṁ; mā maṁ etaṁ pucchī”ti.	ala seniya tiṭṭhata ita mā mama etam pucchi iti 	alaṁ seniya tiṭṭhata etaṁ mā maṁ etaṁ pucchi iti
nacirasseva—yassatthāya kulaputtā sammadeva agārasmā anagāriyaṁ pabbajanti, Tadanuttaraṁ—brahmacariyapariyosānaṁ	kula puttā sammat eva agārasmai anagāriyam pabbajanti tad anuttara brahmacariya pariyosāna 	nacirasseva yassa atthāya kula puttā sammadeva agārasmā anagāriyaṁ pabbajanti tad anuttaraṁ brahmacariya pariyosānaṁ
“Khīṇā jāti, vusitaṁ brahmacariyaṁ, kataṁ karaṇīyaṁ, nāparaṁ itthattāyā”ti abbhaññāsi.	vusitam brahmacariya katam karaṇīya na aparam itthattāya ati 	Khīṇā jāti vusitam brahmacariyam katam karaṇīyam na aparam itthattāya ti abbhaññāsi
