original	analyzed	corrected
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ.	bhadanta iti te bhikkhū bhagavataḥ 	bhadante iti te bhikkhū bhagavato paccassosuṁ
Purisarūpaṁ, bhikkhave, itthiyā cittaṁ pariyādāya tiṭṭhatī”ti.	bhikkhave itthiyā cittam pariyādāya tiṭṭhati iti 	Purisarūpaṁ bhikkhave itthiyā cittam pariyādāya tiṭṭhati iti
vā ñassati ubhayatthaṁ vā ñassati uttariṁ vā manussadhammā alamariyañāṇadassanavisesaṁ	vā ñassati ubhayattham vā ñassati uttarim vā manussa dhammā 	vā ñassati ubhayattham vā ñassati uttarim vā manussa dhammā alamariya ñāṇa dassana visesam
vā ñassati ubhayatthaṁ vā ñassati uttariṁ vā manussadhammā alamariyañāṇadassanavisesaṁ	vā ñassati ubhayattham vā ñassati uttarim vā manussa dhammā 	vā ñassati ubhayattham vā ñassati uttarim vā manussa dhammā alamariya ñāṇa dassana visesam
Tañca kho āgantukehi upakkilesehi upakkiliṭṭhan”ti.	tat ca kho āgantukehi upakkilesehi 	tat ca kho āgantukehi upakkilesehi upakkiliṭṭhan ti
Tañca kho āgantukehi upakkilesehi upakkiliṭṭhaṁ.	tat ca kho āgantukehi upakkilesehi 	tat ca kho āgantukehi upakkilesehi upakkiliṭṭhaṁ
uppannā vā bojjhaṅgā na bhāvanāpāripūriṁ gacchanti yathayidaṁ, bhikkhave, ayonisomanasikāro.	uppannāḥ vā bojjhaṅgāḥ na bhāvanā pāripūrim gacchanti a yoniso manasikāro 	uppannā vā bojjhaṅgā na bhāvanā pāripūriṁ gacchanti yathayidaṁ bhikkhave ayoniso manasikāro
“Ajjhattikaṁ, bhikkhave, aṅganti karitvā nāññaṁ ekaṅgampi samanupassāmi yaṁ evaṁ mahato anatthāya saṁvattati yathayidaṁ, bhikkhave, pamādo.	bhikkhave aṅga nti karitvā na aññam eka aṅgam pi samanupassāmi yam evam mahataḥ anatthāya savattati bhikkhave pamādaḥ 	Ajjhattikam bhikkhave aṅga nti karitvā na aññam eka aṅgam pi samanupassāmi yam evam mahato anatthāya samvattati yathayidam bhikkhave pamādo
“Ajjhattikaṁ, bhikkhave, aṅganti karitvā nāññaṁ ekaṅgampi samanupassāmi yaṁ evaṁ mahato atthāya saṁvattati yathayidaṁ, bhikkhave, appamādo.	bhikkhave aṅga nti karitvā na aññam eka aṅgam pi samanupassāmi yam evam mahataḥ atthāya savattati bhikkhave appamādaḥ 	Ajjhattikam bhikkhave aṅga nti karitvā na aññam eka aṅgam pi samanupassāmi yam evam mahato atthāya samvattati yathayidam bhikkhave appamādo
“Ajjhattikaṁ, bhikkhave, aṅganti karitvā nāññaṁ ekaṅgampi samanupassāmi yaṁ evaṁ mahato anatthāya saṁvattati yathayidaṁ, bhikkhave, kosajjaṁ.	bhikkhave aṅga nti karitvā na aññam eka aṅgam pi samanupassāmi yam evam mahataḥ anatthāya savattati bhikkhave kosajja 	Ajjhattikam bhikkhave aṅga nti karitvā na aññam eka aṅgam pi samanupassāmi yam evam mahato anatthāya samvattati yathayidam bhikkhave kosajjam
“Ajjhattikaṁ, bhikkhave, aṅganti karitvā nāññaṁ ekaṅgampi samanupassāmi yaṁ evaṁ mahato atthāya saṁvattati yathayidaṁ, bhikkhave, vīriyārambho.	bhikkhave aṅga nti karitvā na aññam eka aṅgam pi samanupassāmi yam evam mahataḥ atthāya savattati bhikkhave vīriya ārambhaḥ 	Ajjhattikam bhikkhave aṅga nti karitvā na aññam eka aṅgam pi samanupassāmi yam evam mahato atthāya samvattati yathayidam bhikkhave vīriya ārambho
… santuṭṭhitā … ayonisomanasikāro … yonisomanasikāro … asampajaññaṁ … sampajaññaṁ … dvādasamaṁ.	santuṭṭhi tā a yonisomanasikāraḥ yonisomanasikāraḥ a sampajaññam sampajaññam 	santuṭṭhi tā a yonisomanasikāro yonisomanasikāro a sampajaññaṁ sampajaññaṁ dvādasamaṁ
