segmentnr	original	analyzed
PA_dn_20:0.1	Dīgha Nikāya 20	dīgha nikāya 
PA_dn_20:0.2	Mahāsamayasutta	mahāsamaya sutta 
PA_dn_20:1.1	Evaṁ me sutaṁ—	evam me suta 
PA_dn_20:1.2	ekaṁ samayaṁ bhagavā sakkesu viharati kapilavatthusmiṁ mahāvane mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi sabbeheva arahantehi;	ekam samayam bhagavā sakkesu viharati kapilavatthusmim mahā vane mahatā bhikkhu saṅghena saddhim pañcamattehi bhikkhu satehi sabbehi eva arahantehi 
PA_dn_20:1.3	dasahi ca lokadhātūhi devatā yebhuyyena sannipatitā honti bhagavantaṁ dassanāya bhikkhusaṅghañca.	dasahi ca lokadhātūhi devatāḥ yebhuyyena sannipatitāḥ honti bhagavantam dassanāya bhikkhu saṅghañca 
PA_dn_20:2.1	Atha kho catunnaṁ suddhāvāsakāyikānaṁ devatānaṁ etadahosi:	atha kho catunnam suddhāvāsa kāyikānam devatānam etat ahosi 
PA_dn_20:2.2	“ayaṁ kho bhagavā sakkesu viharati kapilavatthusmiṁ mahāvane mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi sabbeheva arahantehi;	ayam kho bhagavā sakkesu viharati kapilavatthusmim mahā vane mahatā bhikkhu saṅghena saddhim pañcamattehi bhikkhu satehi sabbehi eva arahantehi 
PA_dn_20:2.3	dasahi ca lokadhātūhi devatā yebhuyyena sannipatitā honti bhagavantaṁ dassanāya bhikkhusaṅghañca.	dasahi ca lokadhātūhi devatāḥ yebhuyyena sannipatitāḥ honti bhagavantam dassanāya bhikkhu saṅghañca 
PA_dn_20:2.4	Yannūna mayampi yena bhagavā tenupasaṅkameyyāma; upasaṅkamitvā bhagavato santike paccekaṁ gāthaṁ bhāseyyāmā”ti.	yat nūna mayam pi yena bhagavā tena upasaṅkameyyāma upasaṅkamitvā bhagavatoḥ santike paccekam gātham bhāseyyāma ati 
PA_dn_20:3.1	Atha kho tā devatā seyyathāpi nāma balavā puriso samiñjitaṁ vā bāhaṁ pasāreyya pasāritaṁ vā bāhaṁ samiñjeyya; evameva—suddhāvāsesu devesu antarahitā bhagavato purato pāturahesuṁ.	atha khalu tāḥ devatāḥ sā iyyathā api nāma balavā purisaḥ samiñjitam vā bāham pasāreyya pasāritam vā bāham samiñjeyya evameva suddhāvāsesu devesu antarahitāḥ bhagavataḥ puratas pāturahesu 
PA_dn_20:3.2	Atha kho tā devatā bhagavantaṁ abhivādetvā ekamantaṁ aṭṭhaṁsu.	atha khalu tāḥ devatāḥ bhagavantam abhivādetvā ekamantam aṭṭhasu 
PA_dn_20:3.3	Ekamantaṁ ṭhitā kho ekā devatā bhagavato santike imaṁ gāthaṁ abhāsi:	eka mantam ṭhitā khalu ekā devatā bhagavataḥ santike imam gātham abhāsi 
PA_dn_20:3.4	“Mahāsamayo pavanasmiṁ,	mahā samayaḥ 
PA_dn_20:3.5	Devakāyā samāgatā;	deva kāyā samāgatā 
PA_dn_20:3.6	Āgatamha imaṁ dhammasamayaṁ,	āgatamha imam dhammasamaya 
PA_dn_20:3.7	Dakkhitāye aparājitasaṅghan”ti.	aparājita saṅghanti 
PA_dn_20:3.8	Atha kho aparā devatā bhagavato santike imaṁ gāthaṁ abhāsi:	atha khalu aparā devatā bhagavataḥ santike imam gātham abhāsi 
PA_dn_20:3.9	“Tatra bhikkhavo samādahaṁsu,	tatra bhikkhavaḥ 
PA_dn_20:3.10	Cittamattano ujukaṁ akaṁsu;	cittamattano ujukam akasu 
PA_dn_20:3.11	Sārathīva nettāni gahetvā,	sārathī iva nettāni gahetvā 
PA_dn_20:3.12	Indriyāni rakkhanti paṇḍitā”ti.	indriyāni rakkhanti paṇḍitā ati 
PA_dn_20:3.13	Atha kho aparā devatā bhagavato santike imaṁ gāthaṁ abhāsi:	atha khalu aparā devatā bhagavataḥ santike imam gātham abhāsi 
PA_dn_20:3.14	“Chetvā khīlaṁ chetvā palighaṁ,	chetvā khīlam chetvā paligha 
PA_dn_20:3.15	Indakhīlaṁ ūhacca manejā;	inda khīlam ūhat ca manejā 
PA_dn_20:3.16	Te caranti suddhā vimalā,	te caranti suddhā vimalā 
PA_dn_20:3.17	Cakkhumatā sudantā susunāgā”ti.	cakkhumatā su dantā su su nāgā ti 
PA_dn_20:3.18	Atha kho aparā devatā bhagavato santike imaṁ gāthaṁ abhāsi:	atha khalu aparā devatā bhagavataḥ santike imam gātham abhāsi 
PA_dn_20:3.19	“Ye keci buddhaṁ saraṇaṁ gatāse,	ye keci buddham saraṇam gatāse 
PA_dn_20:3.20	Na te gamissanti apāyabhūmiṁ;	na te gamissanti apāya bhūmi 
PA_dn_20:3.21	Pahāya mānusaṁ dehaṁ,	pahāya mānusam deha 
PA_dn_20:3.22	Devakāyaṁ paripūressantī”ti.	deva kāyam paripūressanti iti 
PA_dn_20:4.0	1. Devatāsannipāta	devatā sannipāta 
PA_dn_20:4.1	Atha kho bhagavā bhikkhū āmantesi:	atha kho bhagavā bhikkhū āmantesi 
PA_dn_20:4.2	“yebhuyyena, bhikkhave, dasasu lokadhātūsu devatā sannipatitā honti, tathāgataṁ dassanāya bhikkhusaṅghañca.	yebhuyyena bhikkhave dasasu lokadhātūsu devatāḥ sannipatitāḥ honti tathāgatam dassanāya bhikkhu saṅghañca 
PA_dn_20:4.3	Yepi te, bhikkhave, ahesuṁ atītamaddhānaṁ arahanto sammāsambuddhā, tesampi bhagavantānaṁ etapparamāyeva devatā sannipatitā ahesuṁ seyyathāpi mayhaṁ etarahi.	ye pi te bhikkhave ahesum atītam addhānam arahanto sammāsambuddhā tesam pi bhagavantānam etad paramāya iva devatā sannipatitāḥ ahesum seyyathā api mayham etarahi 
PA_dn_20:4.4	Yepi te, bhikkhave, bhavissanti anāgatamaddhānaṁ arahanto sammāsambuddhā, tesampi bhagavantānaṁ etapparamāyeva devatā sannipatitā bhavissanti seyyathāpi mayhaṁ etarahi.	ye pi te bhikkhave bhavissanti anāgatam addhānam arahantaḥ sammāsambuddhā tesam pi bhagavantānam etad paramāya iva devatā sannipatitāḥ bhavissanti seyyathā api mayham etarahi 
PA_dn_20:4.5	Ācikkhissāmi, bhikkhave, devakāyānaṁ nāmāni;	ācikkhissāmi bhikkhave deva kāyānam nāmāni 
PA_dn_20:4.6	kittayissāmi, bhikkhave, devakāyānaṁ nāmāni;	kittayissāmi bhikkhave deva kāyānam nāmāni 
PA_dn_20:4.7	desessāmi, bhikkhave, devakāyānaṁ nāmāni.	desessāmi bhikkhave deva kāyānam nāmāni 
PA_dn_20:4.8	Taṁ suṇātha, sādhukaṁ manasikarotha, bhāsissāmī”ti.	tam suṇātha sādhukam manasikarotha bhāsissāmi iti 
PA_dn_20:4.9	“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.	eva bhante iti kho te bhikkhū bhagavato 
PA_dn_20:4.10	Bhagavā etadavoca:	bhagavān etat avoca 
PA_dn_20:5.1	“Silokamanukassāmi,	si loka manukaḥ sāmi 
PA_dn_20:5.2	yattha bhummā tadassitā;	yattha bhummā tadassitā 
PA_dn_20:5.3	Ye sitā girigabbharaṁ,	ye sitāḥ girigabbhara 
PA_dn_20:5.4	pahitattā samāhitā.	pahitattā samāhitā 
PA_dn_20:5.5	Puthūsīhāva sallīnā,	sallīnā 
PA_dn_20:5.6	lomahaṁsābhisambhuno;	lomahasā abhisambhunaḥ 
PA_dn_20:5.7	Odātamanasā suddhā,	odāta manasā suddhā 
PA_dn_20:5.8	vippasannamanāvilā.	vippasannam anāvilā 
PA_dn_20:5.9	Bhiyyo pañcasate ñatvā,	bhiyyaḥ pañca sate ñatvā 
PA_dn_20:5.10	vane kāpilavatthave;	vane kāpilavatthave 
PA_dn_20:5.11	Tato āmantayī satthā,	tatas āmantayī satthā 
PA_dn_20:5.12	sāvake sāsane rate.	sāvake sāsane rate 
PA_dn_20:5.13	‘Devakāyā abhikkantā,	deva kāyāḥ abhikkantā 
PA_dn_20:5.14	te vijānātha bhikkhavo’;	te vijānātha bhikkhavaḥ 
PA_dn_20:5.15	Te ca ātappamakaruṁ,	te ca ātappam akaru 
PA_dn_20:5.16	sutvā buddhassa sāsanaṁ.	sutvā buddhassa sāsana 
PA_dn_20:6.1	Tesaṁ pāturahu ñāṇaṁ,	tesam 
PA_dn_20:6.2	amanussānadassanaṁ;	a manussāna dassana 
PA_dn_20:6.3	Appeke satamaddakkhuṁ,	appa eke 
PA_dn_20:6.4	sahassaṁ atha sattariṁ.	sahassam atha sattari 
PA_dn_20:6.5	Sataṁ eke sahassānaṁ,	satam eke sahassāna 
PA_dn_20:6.6	amanussānamaddasuṁ;	a manussāna maddasu 
PA_dn_20:6.7	Appekenantamaddakkhuṁ,	appa ika inanta maddakkhu 
PA_dn_20:6.8	disā sabbā phuṭā ahuṁ.	disā sabbā phuṭā ahu 
PA_dn_20:6.9	Tañca sabbaṁ abhiññāya,	tat ca sabbam abhiññāya 
PA_dn_20:6.10	vavatthitvāna cakkhumā;	vavatthitvāna cakkhumā 
PA_dn_20:6.11	Tato āmantayī satthā,	tatas āmantayī satthā 
PA_dn_20:6.12	sāvake sāsane rate.	sāvake sāsane rate 
PA_dn_20:6.13	‘Devakāyā abhikkantā,	deva kāyāḥ abhikkantā 
PA_dn_20:6.14	te vijānātha bhikkhavo;	te vijānātha bhikkhavaḥ 
PA_dn_20:6.15	Ye vohaṁ kittayissāmi,	ye vaḥ ham kittayissāmi 
PA_dn_20:6.16	girāhi anupubbaso’.	girāhi anupubbaso 
PA_dn_20:7.1	Sattasahassā te yakkhā,	satta sahassā te yakkhā 
PA_dn_20:7.2	bhummā kāpilavatthavā;	bhummā kāpilavatthavā 
PA_dn_20:7.3	Iddhimanto jutimanto,	iddhimantaḥ jutimantaḥ 
PA_dn_20:7.4	vaṇṇavanto yasassino;	vaṇṇavantaḥ yasassinaḥ 
PA_dn_20:7.5	Modamānā abhikkāmuṁ,	modamānāḥ abhikkāmu 
PA_dn_20:7.6	bhikkhūnaṁ samitiṁ vanaṁ.	bhikkhūnam samitim vana 
PA_dn_20:7.7	Chasahassā hemavatā,	cha sahassā hemavatā 
PA_dn_20:7.8	yakkhā nānattavaṇṇino;	yakkhāḥ nānatta vaṇṇinaḥ 
PA_dn_20:7.9	Iddhimanto jutimanto,	iddhimantaḥ jutimantaḥ 
PA_dn_20:7.10	vaṇṇavanto yasassino;	vaṇṇavantaḥ yasassinaḥ 
PA_dn_20:7.11	Modamānā abhikkāmuṁ,	modamānāḥ abhikkāmu 
PA_dn_20:7.12	bhikkhūnaṁ samitiṁ vanaṁ.	bhikkhūnam samitim vana 
PA_dn_20:7.13	Sātāgirā tisahassā,	sātāgirā ti sahassā 
PA_dn_20:7.14	yakkhā nānattavaṇṇino;	yakkhāḥ nānatta vaṇṇinaḥ 
PA_dn_20:7.15	Iddhimanto jutimanto,	iddhimantaḥ jutimantaḥ 
PA_dn_20:7.16	vaṇṇavanto yasassino;	vaṇṇavantaḥ yasassinaḥ 
PA_dn_20:7.17	Modamānā abhikkāmuṁ,	modamānāḥ abhikkāmu 
PA_dn_20:7.18	bhikkhūnaṁ samitiṁ vanaṁ.	bhikkhūnam samitim vana 
PA_dn_20:7.19	Iccete soḷasasahassā,	iccā ete soḷasa sahassā 
PA_dn_20:7.20	yakkhā nānattavaṇṇino;	yakkhāḥ nānatta vaṇṇinaḥ 
PA_dn_20:7.21	Iddhimanto jutimanto,	iddhimantaḥ jutimantaḥ 
PA_dn_20:7.22	vaṇṇavanto yasassino;	vaṇṇavantaḥ yasassinaḥ 
PA_dn_20:7.23	Modamānā abhikkāmuṁ,	modamānāḥ abhikkāmu 
PA_dn_20:7.24	bhikkhūnaṁ samitiṁ vanaṁ.	bhikkhūnam samitim vana 
PA_dn_20:8.1	Vessāmittā pañcasatā,	vessāmittā pañcasatā 
PA_dn_20:8.2	yakkhā nānattavaṇṇino;	yakkhāḥ nānatta vaṇṇinaḥ 
PA_dn_20:8.3	Iddhimanto jutimanto,	iddhimantaḥ jutimantaḥ 
PA_dn_20:8.4	vaṇṇavanto yasassino;	vaṇṇavantaḥ yasassinaḥ 
PA_dn_20:8.5	Modamānā abhikkāmuṁ,	modamānāḥ abhikkāmu 
PA_dn_20:8.6	bhikkhūnaṁ samitiṁ vanaṁ.	bhikkhūnam samitim vana 
PA_dn_20:8.7	Kumbhīro rājagahiko,	kumbhīraḥ rājagahikaḥ 
PA_dn_20:8.8	vepullassa nivesanaṁ;	vepullassa nivesana 
PA_dn_20:8.9	Bhiyyo naṁ satasahassaṁ,	bhiyyas nam sata sahassa 
PA_dn_20:8.10	yakkhānaṁ payirupāsati;	yakkhānam payis upāsati 
PA_dn_20:8.11	Kumbhīro rājagahiko,	kumbhīraḥ rājagahikaḥ 
PA_dn_20:8.12	sopāgā samitiṁ vanaṁ.	sā upāgāḥ samitim vana 
PA_dn_20:9.1	Purimañca disaṁ rājā,	purimañca disam rājā 
PA_dn_20:9.2	dhataraṭṭho pasāsati;	dhataraṭṭhaḥ pasāsati 
PA_dn_20:9.3	Gandhabbānaṁ adhipati,	gandhabbānam adhipati 
PA_dn_20:9.4	mahārājā yasassiso.	mahā rājā yasassisaḥ 
PA_dn_20:9.5	Puttāpi tassa bahavo,	puttā api tassa bahavaḥ 
PA_dn_20:9.6	indanāmā mahabbalā;	inda nāmā mahat balā 
PA_dn_20:9.7	Iddhimanto jutimanto,	iddhimantaḥ jutimantaḥ 
PA_dn_20:9.8	vaṇṇavanto yasassino;	vaṇṇavantaḥ yasassinaḥ 
PA_dn_20:9.9	Modamānā abhikkāmuṁ,	modamānāḥ abhikkāmu 
PA_dn_20:9.10	bhikkhūnaṁ samitiṁ vanaṁ.	bhikkhūnam samitim vana 
PA_dn_20:9.11	Dakkhiṇañca disaṁ rājā,	dakkhiṇañca disam rājā 
PA_dn_20:9.12	virūḷho taṁ pasāsati;	virūḍhaḥ tam pasāsati 
PA_dn_20:9.13	Kumbhaṇḍānaṁ adhipati,	kumbhaṇḍānam adhipati 
PA_dn_20:9.14	mahārājā yasassiso.	mahā rājā yasassisaḥ 
PA_dn_20:9.15	Puttāpi tassa bahavo,	puttā api tassa bahavaḥ 
PA_dn_20:9.16	indanāmā mahabbalā;	inda nāmā mahat balā 
PA_dn_20:9.17	Iddhimanto jutimanto,	iddhimantaḥ jutimantaḥ 
PA_dn_20:9.18	vaṇṇavanto yasassino;	vaṇṇavantaḥ yasassinaḥ 
PA_dn_20:9.19	Modamānā abhikkāmuṁ,	modamānāḥ abhikkāmu 
PA_dn_20:9.20	bhikkhūnaṁ samitiṁ vanaṁ.	bhikkhūnam samitim vana 
PA_dn_20:9.21	Pacchimañca disaṁ rājā,	pacchimañca disam rājā 
PA_dn_20:9.22	virūpakkho pasāsati;	virūpakkhaḥ pasāsati 
PA_dn_20:9.23	Nāgānañca adhipati,	adhipati 
PA_dn_20:9.24	mahārājā yasassiso.	mahā rājā yasassisaḥ 
PA_dn_20:9.25	Puttāpi tassa bahavo,	puttā api tassa bahavaḥ 
PA_dn_20:9.26	indanāmā mahabbalā;	inda nāmā mahat balā 
PA_dn_20:9.27	Iddhimanto jutimanto,	iddhimantaḥ jutimantaḥ 
PA_dn_20:9.28	vaṇṇavanto yasassino;	vaṇṇavantaḥ yasassinaḥ 
PA_dn_20:9.29	Modamānā abhikkāmuṁ,	modamānāḥ abhikkāmu 
PA_dn_20:9.30	bhikkhūnaṁ samitiṁ vanaṁ.	bhikkhūnam samitim vana 
PA_dn_20:9.31	Uttarañca disaṁ rājā,	uttarañca disam rājā 
PA_dn_20:9.32	kuvero taṁ pasāsati;	kuveraḥ tam pasāsati 
PA_dn_20:9.33	Yakkhānañca adhipati,	yakkhānañca adhipati 
PA_dn_20:9.34	mahārājā yasassiso.	mahā rājā yasassisaḥ 
PA_dn_20:9.35	Puttāpi tassa bahavo,	puttā api tassa bahavaḥ 
PA_dn_20:9.36	indanāmā mahabbalā;	inda nāmā mahat balā 
PA_dn_20:9.37	Iddhimanto jutimanto,	iddhimantaḥ jutimantaḥ 
PA_dn_20:9.38	vaṇṇavanto yasassino;	vaṇṇavantaḥ yasassinaḥ 
PA_dn_20:9.39	Modamānā abhikkāmuṁ,	modamānāḥ abhikkāmu 
PA_dn_20:9.40	bhikkhūnaṁ samitiṁ vanaṁ.	bhikkhūnam samitim vana 
PA_dn_20:9.41	Purimaṁ disaṁ dhataraṭṭho,	purimam disam dhataraṭṭhaḥ 
PA_dn_20:9.42	dakkhiṇena virūḷhako;	dakkhiṇena virūḷhakaḥ 
PA_dn_20:9.43	Pacchimena virūpakkho,	pacchimena virūpakkhaḥ 
PA_dn_20:9.44	kuvero uttaraṁ disaṁ.	kuveraḥ uttaram disa 
PA_dn_20:9.45	Cattāro te mahārājā,	cattāro te mahā rājā 
PA_dn_20:9.46	samantā caturo disā;	samantā caturaḥ disā 
PA_dn_20:9.47	Daddallamānā aṭṭhaṁsu,	daddallamānāḥ aṭṭhasu 
PA_dn_20:9.48	vane kāpilavatthave.	vane kāpilavatthave 
PA_dn_20:10.1	Tesaṁ māyāvino dāsā,	tesam māyāvinaḥ dāsā 
PA_dn_20:10.2	āguṁ vañcanikā saṭhā;	āgum vañcanikā saṭhā 
PA_dn_20:10.3	Māyā kuṭeṇḍu viṭeṇḍu,	māyā kuṭeṇḍu viṭeṇḍu 
PA_dn_20:10.4	viṭucca viṭuṭo saha.	viṭuc ca viṭuṭaḥ saha 
PA_dn_20:10.5	Candano kāmaseṭṭho ca,	candano kāmaseṭṭho ca 
PA_dn_20:10.6	kinnighaṇḍu nighaṇḍu ca;	kinnighaṇḍu nighaṇḍu ca 
PA_dn_20:10.7	Panādo opamañño ca,	pana ādaḥ opamaññaḥ ca 
PA_dn_20:10.8	devasūto ca mātali.	devasūto ca mātali 
PA_dn_20:10.9	Cittaseno ca gandhabbo,	cittasenaḥ ca gandhabbaḥ 
PA_dn_20:10.10	naḷorājā janesabho;	naḷorājā janesabho 
PA_dn_20:10.11	Āgā pañcasikho ceva,	āgāḥ pañcasikhaḥ ca iva 
PA_dn_20:10.12	timbarū sūriyavacchasā.	timbarū sūriya vat śasā 
PA_dn_20:10.13	Ete caññe ca rājāno,	ete ca aññe ca rājānaḥ 
PA_dn_20:10.14	gandhabbā saha rājubhi;	gandhabbā saha rājubhi 
PA_dn_20:10.15	Modamānā abhikkāmuṁ,	modamānāḥ abhikkāmu 
PA_dn_20:10.16	bhikkhūnaṁ samitiṁ vanaṁ.	bhikkhūnam samitim vana 
PA_dn_20:11.1	Athāguṁ nāgasā nāgā,	atha agum nāgasā nāgā 
PA_dn_20:11.2	vesālā sahatacchakā;	vesālā sahatacchakā 
PA_dn_20:11.3	Kambalassatarā āguṁ,	āgu 
PA_dn_20:11.4	pāyāgā saha ñātibhi.	pāyāgā saha ñātibhi 
PA_dn_20:11.5	Yāmunā dhataraṭṭhā ca,	yāmunā dhataraṭṭhā ca 
PA_dn_20:11.6	āgū nāgā yasassino;	āgū nāgāḥ yasassinaḥ 
PA_dn_20:11.7	Erāvaṇo mahānāgo,	erāvaṇaḥ mahā nāgaḥ 
PA_dn_20:11.8	sopāgā samitiṁ vanaṁ.	sā upāgāḥ samitim vana 
PA_dn_20:11.9	Ye nāgarāje sahasā haranti,	ye nāga rāje sahasā haranti 
PA_dn_20:11.10	Dibbā dijā pakkhi visuddhacakkhū;	dibbā dijā pakkhi visuddha cakkhū 
PA_dn_20:11.11	Vehāyasā te vanamajjhapattā,	vehāyasā te vana majjha pattā 
PA_dn_20:11.12	Citrā supaṇṇā iti tesa nāmaṁ.	citrā supaṇṇā iti tesa nāma 
PA_dn_20:11.13	Abhayaṁ tadā nāgarājānamāsi,	abhayam tadā nāga rājānam āsi 
PA_dn_20:11.14	Supaṇṇato khemamakāsi buddho;	su paṇṇataḥ khemam akāsi buddhaḥ 
PA_dn_20:11.15	Saṇhāhi vācāhi upavhayantā,	saṇhāhi vācāhi upavhayantā 
PA_dn_20:11.16	Nāgā supaṇṇā saraṇamakaṁsu buddhaṁ.	nāgā su paṇṇā buddha 
PA_dn_20:12.1	Jitā vajirahatthena,	jitā vajirahatthena 
PA_dn_20:12.2	samuddaṁ asurāsitā;	samuddam asurā asitā 
PA_dn_20:12.3	Bhātaro vāsavassete,	bhātaraḥ vāsavaḥ sete 
PA_dn_20:12.4	iddhimanto yasassino.	iddhimantaḥ yasassinaḥ 
PA_dn_20:12.5	Kālakañcā mahābhismā,	kālakañcā 
PA_dn_20:12.6	asurā dānaveghasā;	asurā dānavā ighasā 
PA_dn_20:12.7	Vepacitti sucitti ca,	vepacitti sucitti ca 
