original	analyzed	corrected
Rūpaṁ etaṁ mama, esohamasmi, eso me attāti—	rūpam etam mama esaḥ aham asmi esaḥ me attā ati 	rūpam etam mama esaḥ aham asmi esaḥ me attā iti
matthaluṅgaṁ etaṁ mama, esohamasmi, eso me attāti—	etam mama esaḥ aham asmi esaḥ me attā ati 	matthaluṅgaṁ etaṁ mama eso aham asmi eso me attā iti
mettaṁ cetovimuttiṁ etaṁ mama …	mā idtam cetaḥ vimuttim etam mama 	mettaṁ cetovimuttiṁ etaṁ mama
Aparantānudiṭṭhiyā catucattālīsāya ākārehi abhiniveso hoti.	catucattālīsāya ākārehi abhinivesaḥ hoti 	Aparantānudiṭṭhiyā catucattālīsāya ākārehi abhiniveso hoti
Seyyathāpi telappadīpassa jhāyato “yā acci, so vaṇṇo;	seyyathā api telappadīpassa jhāyataḥ saḥ vaṇṇo 	seyyathā api telappadīpassa jhāyato yā acci so vaṇṇo
ayaṁ paṭhamā saṅkhāravatthukā attānudiṭṭhi.	ayam paṭhamā saṅkhāra vatthukā 	ayam paṭhamā saṅkhāra vatthukā attānudiṭṭhi
Imasmiñca pana attani ime saṅkhārā”ti.	imasmin ca pana ime saṅkhārā ati 	imasmin ca pana attani ime saṅkhārā ti
Imasmiñca pana attani ime saṅkhārā”ti.	imasmin ca pana ime saṅkhārā ati 	imasmin ca pana attani ime saṅkhārā ti
ayaṁ catutthā saṅkhāravatthukā attānudiṭṭhi.	ayam catutthā saṅkhāra vatthukā 	ayam catutthā saṅkhāra vatthukā attānudiṭṭhi
Evamevaṁ idhekacco vedanaṁ …pe…	evam evam idha ikaccaḥ vedanam pe 	evam evam idha ekacco vedanam pe
“neva hoti na na hoti tathāgato paraṁ maraṇā”ti—	na iva hoti na na hoti tathāgataḥ param 	na eva hoti na na hoti tathāgato paraṁ maraṇā ti
“neva hoti na na hoti tathāgato paraṁ maraṇā”ti—	na iva hoti na na hoti tathāgataḥ param 	na eva hoti na na hoti tathāgato paraṁ maraṇā ti
Yena pharati, so attā ceva loko cāti—	yena pharati saḥ attā ca iva lokaḥ ca ati 	yena pharati so attā ca eva loko ca iti
Idhekacco parittaṁ okāsaṁ pītakato pharati …	idha ekaccaḥ parittam okāsam pharati 	idha ekaccaḥ parittam okāsam pītakato pharati
Idhekacco vipulaṁ okāsaṁ pītakato pharati …	idha ekaccaḥ vipulam okāsam pharati 	idha ekaccaḥ vipulam okāsam pītakato pharati
yaṁ jīvaṁ taṁ sarīraṁ, yaṁ sarīraṁ taṁ jīvanti—	yam jīvam tam yam sarīram tam jīvanti 	yam jīvam tam sarīram yam sarīram tam jīvanti
yaṁ jīvaṁ taṁ sarīraṁ, yaṁ sarīraṁ taṁ jīvanti—	yam jīvam tam yam sarīram tam jīvanti 	yam jīvam tam sarīram yam sarīram tam jīvanti
ayaṁ paṭhamā “hoti tathāgato paraṁ maraṇā”ti—	ayam paṭhamā hoti tathāgataḥ param 	ayam paṭhamā hoti tathāgato param maraṇā ti
ayaṁ paṭhamā “na hoti tathāgato paraṁ maraṇā”ti—	ayam paṭhamā na hoti tathāgataḥ param 	"ayam paṭhamā ""na hoti tathāgato param maraṇā"" ti"
“Hoti ca na ca hoti tathāgato paraṁ maraṇā”ti—	hoti ca na ca hoti tathāgataḥ param 	hoti ca na ca hoti tathāgato paraṁ maraṇā ti
“hoti ca na ca hoti tathāgato paraṁ maraṇā”ti—	hoti ca na ca hoti tathāgataḥ param 	hoti ca na ca hoti tathāgato paraṁ maraṇā ti
“Neva hoti na na hoti tathāgato paraṁ maraṇā”ti—	na iva hoti na na hoti tathāgataḥ param 	na eva hoti na na hoti tathāgato paraṁ maraṇā ti
“Neva hoti na na hoti tathāgato paraṁ maraṇā”ti—	na iva hoti na na hoti tathāgataḥ param 	na eva hoti na na hoti tathāgato paraṁ maraṇā ti
Aparantānudiṭṭhiyā katamehi catucattālīsāya ākārehi abhiniveso hoti?	katamehi catucattālīsāya ākārehi abhinivesaḥ hoti 	Aparantānudiṭṭhiyā katamehi catucattālīsāya ākārehi abhiniveso hoti
aparantānudiṭṭhiyā imehi catucattālīsāya ākārehi abhiniveso hoti.	imehi catucattālīsāya ākārehi abhinivesaḥ hoti 	aparantānudiṭṭhiyā imehi catucattālīsāya ākārehi abhiniveso hoti
Seyyathāpi telappadīpassa jhāyato “yā acci, so vaṇṇo;	seyyathā api telappadīpassa jhāyataḥ saḥ vaṇṇo 	seyyathā api telappadīpassa jhāyato yā acci so vaṇṇo
“Hoti ca na ca hoti tathāgato paraṁ maraṇā”ti—	hoti ca na ca hoti tathāgataḥ param 	hoti ca na ca hoti tathāgato paraṁ maraṇā ti
Pubbantāparantānuggahitā tā diṭṭhiyo.	pubba anta apara anta anuggahitāḥ tāḥ diṭṭhiyaḥ 	pubbanta aparanta anuggahitā tā diṭṭhiyo
