original	analyzed	corrected
Vattabbameva ca bahumpi yato na vuttaṃ	vattabbam eva ca yatas na vuttam 	vattabbam eva ca bahum pi yato na vuttam
vacanato thūpārahānaṃ buddhādīnaṃ dhātuyo patiṭṭhāpetvā kata cetiyaṃ abbhunana taṭṭhena	vacanataḥ buddha ādīnam dhātuyaḥ patiṭṭhāpetvā kata cetiyam 	vacanato thūpārahānaṃ buddha ādīnaṃ dhātuyo patiṭṭhāpetvā kata cetiyaṃ abbhunana taṭṭhena
katoti ce? Yodīpaṅkarādīnaṃ catuvīsatiyā buddhānaṃ santike laddhavyākaraṇo samatiṃsapāramiyo	catuvīsatiyā buddhānam santike laddha vyākaraṇaḥ 	kato ti ce yo dīpaṅkara ādīnaṃ catuvīsatiyā buddhānaṃ santike laddha vyākaraṇo samatiṃsa pāramiyo
jayasumana kusuma sadisi vaṇṇaṃ dupaṭṭacīvaraṃ timaṇḍalaṃ paṭicchādetvā nivāsetvā	du paṭṭa cīvaram ti maṇḍalam paṭicchādetvā nivāsetvā 	jayasumana kusuma sadisi vaṇṇaṃ du paṭṭa cīvaraṃ ti maṇḍalaṃ paṭicchādetvā nivāsetvā
rattavara pasukūla cīvaraṃ pāripitvā gaṇdhakūgidva rato kanakaguhāto sīho viya nikkhamitvā	cīvaram pāripitvā rataḥ kanakaguhāto sīhaḥ viya nikkhamitvā 	rattavara pasukūla cīvaraṃ pāripitvā gaṇdhakūgidva rataḥ kanakaguhāto sīhaḥ viya nikkhamitvā
jaḷabhiññānaṃyeva catūhi khīṇāsava satasahassehi parivuto amaragaṇa parivuto dasasatanayano	catūhi khīṇāsava sata sahassehi parivutaḥ amara gaṇa parivutaḥ dasa sata nayanaḥ 	jaḷabhiññānaṃyeva catūhi khīṇāsava sata sahassehi parivuto amara gaṇa parivuto dasa sata nayano
dvattiṃsa varalakkhaṇa patimaṇḍitaṃ asatiyā anubyañjanehi anubyañjitaṃ byāmappahāparikkhepa	asatiyā anubyañjanehi anubyañjitam byāma ppahā parikkhepa 	dvattiṃsa vara lakkhaṇa patimaṇḍitaṃ asatiyā anubyañjanehi anubyañjitaṃ byāma ppahā parikkhepa
sassīrīkaṃ iṇdanīlamaṇisaṃkāsoākāse nānappakārā vijjullatā viya chabbaṇṇabuddharaṃsiyo	nānappakārāḥ vijjullatāḥ viya chabbaṇṇa buddha raṃsiyaḥ 	sassīrīkaṃ iṇdanīlamaṇisaṃkāsa ākāse nānappakārā vijjullatā viya chabbaṇṇa buddha raṃsiyo
Ussīsake maṃ ṭhatvāna - idaṃ vacanamabravi;	ussīsake mam idam vacanam abravi 	ussīsake mam ṭhatvāna idam vacanam abravi
Ahu kapilavahayā rammā - nikkhamitvā tathāgato. Padhānaṃ padahitvāna - katvā dukkara kārikaṃ	ahu kapilavahayā rammā  katvā dukkara kārikam 	ahu kapilavahayā rammā nikkhamitvā tathāgato padhānaṃ padahitvāna katvā dukkara kārikaṃ
pallaṅkaṃ ābhujitvā nisinno buddhakārakadhamme upadhārento kahananu kho buddhakāraka	pallaṅkam ābhujitvā nisinnaḥ buddha kāraka dhamme upadhārento 	pallaṅkam ābhujitvā nisinnaḥ buddha kāraka dhamme upadhārento kaha nu kho buddha kāraka
- mettā - upekkhā pāramiyoca disvā tatthadaḷha samādānaṃ katvā devatāhi abhitthuto	mettā upekkhā pāramiyo ca disvā samādānam katvā devatāhi 	mettā upekkhā pāramiyo ca disvā tattha daḷha samādānam katvā devatāhi abhitthuto
Tattheva tassa jinathūpo - chattiṃsubbedha yojano“;	tattha iva tassa jina thūpaḥ yojanaḥ 	tattha eva tassa jina thūpaḥ chattiṃsu ubbedha yojanaḥ
“Sumano yasadharo - buddho aggārāmamha nibbuto,	sumanaḥ yasadharaḥ buddhaḥ nibbutaḥ 	sumanaḥ yasadharaḥ buddhaḥ aggārāmamha nibbutaḥ
“Revato pavaro buddho - nibbuto so mahāpure,	revataḥ pavaraḥ buddhaḥ nibbutaḥ saḥ mahā pure 	revataḥ pavaraḥ buddhaḥ nibbutaḥ saḥ mahā pure
Dhātu vitthārikaṃ āsī - tesu tesu padesato”ti;	dhātu vitthārikam āsi tesu tesu 	dhātu vitthārikam āsi tesu tesu padesato ti
Dhātu vitthārikaṃ āsi - tesu tesu padesato”ti;	dhātu vitthārikam āsi tesu tesu 	dhātu vitthārikam āsi tesu tesu padesato ti
pañcasu abhiññāsu aṭṭhasuca samāpattisuciṇṇavasī hutvā buddhapamukhassa saṅghassa	pañcasu abhiññāsu hutvā buddha pamukhassa saṅghassa 	pañcasu abhiññāsu aṭṭhasu ca samāpattisu ciṇṇavasī hutvā buddha pamukhassa saṅghassa
sataccayena buddho bhavissatīti vyākāsi piyadassissa bhagavatopi dhātuyo ekaghanāva	buddhaḥ bhavissati iti piyadassissa bhagavataḥ api 	sataccayena buddhaḥ bhavissati iti vyākāsi piyadassissa bhagavataḥ api dhātuyo ekaghanā va
vassetvā samantato pupphamaṇḍapa pupphaagaghiya toraṇādīni katvā maṇdārava pupphacchattena	vassetvā samantataḥ toraṇa ādīni katvā maṇdārava puppha chattena 	vassetvā samantato pupphamaṇḍapa pupphaagaghiya toraṇa ādīni katvā maṇdārava puppha chattena
vyākāsi. Dhammadassissa pana bhagavato dhātuyo ekaghanā ahesuṃ. Jambudīpavāsino tiyojanikaṃ thūpamakaṃsu.	dhammadassissa pana bhagavataḥ dhātuyaḥ eka ghanāḥ ahesum jambudīpa vāsinaḥ ti yojanikam 	vyākāsi dhammadassissa pana bhagavato dhātuyo eka ghanā ahesuṃ jambudīpa vāsino ti yojanikaṃ thūpamakaṃsu
bhavissatīti vyākāsi. Tassāpi bhagavato dhātuyo na vikiriṃsu dhātuyo gahetvā tiyojanikaṃ thūpamakaṃsu.	bhavissati iti tassa api bhagavataḥ dhātuyaḥ na vikiriṃsu dhātuyaḥ gahetvā ti yojanikam 	bhavissati iti vyākāsi tassa api bhagavato dhātuyaḥ na vikiriṃsu dhātuyaḥ gahetvā ti yojanikam thūpam akaṃsu
Tattheva tassa thūpavaro-tīṇi yojanamussito”ti;	tattha iva tassa thūpa varā utīṇi 	tattha eva tassa thūpa varo tīṇi yojana mussito ti
Dhātuvitthārikaṃ āsi-tesu tesu padesato”ti;	dhātu vitthārikam āsitesu tesu 	dhātu vitthārikam āsi tesu tesu padesato ti
dhātuyo gahetvā tiyojanubbedhaṃ sattaratanamayaṃ himagiri sadisa sobhaṃ thūpamakaṃsu.	dhātuyaḥ gahetvā ti yojana ubbedham satta ratana mayam himagiri sobham 	dhātuyo gahetvā ti yojana ubbedhaṃ satta ratana mayaṃ himagiri sadisa sobhaṃ thūpamakaṃsu
Dhātuvitthārikaṃ āsi-tesu tesu padesato”ti;	dhātu vitthārikam āsitesu tesu 	dhātu vitthārikam āsi tesu tesu padesato ti
Dhātu vitthārikaṃ āsi-tesu tesu padesato”ti;	dhātu vitthārikam āsitesu tesu 	dhātu vitthārikam āsi tesu tesu padesato ti
buddhasāsanaṃ sobhesi. Sopi naṃ satthā vyākāsi. Kassapassa pana satthuno dhātuyo	buddha sāsanam sobhesi saḥ api nam satthā kassapassa pana satthuno 	buddha sāsanam sobhesi saḥ api nam satthā vyākāsi kassapassa pana satthuno dhātuyo
agghanakaṃ ratanavicittaṃ bahi racanatthaṃ ekekaṃ aḍḍhakoṭi agghanakaṃ abbhantara	agghanakam ratana vicittam bahi racana attham ekekam agghanakam 	agghanakam ratana vicittam bahi racana attham ekekam addha koti agghanakam abbhantara
Thupappamāṇametesaṃ pāliyaṃyeva dassitaṃ;	thupa pappamāṇam etesam dassitam 	thupa pappamāṇam etesam pāliyam yeva dassitam
Dhātu vitthārikā āsuṃ - tesu tesu padesatoti;	dhātu vitthārikāḥ āsuṃ tesu tesu 	dhātu vitthārikā āsuṃ tesu tesu padesato ti
Sāpi dānabalo mayhaṃ-sattakkattuṃ pakampathā”ti;	sā api dāna balaḥ pakampatha ati 	sā api dāna balo mayhaṃ sattakkattuṃ pakampatha iti
milāyanti, kacchehi sedā muccanti, kāyeceva dubbaṇṇiyaṃ okkamati. Devo devāsane nābhiramatīti	milāyanti kacchehi sedāḥ muccanti okkamati devaḥ devāsane na abhiramati iti 	milāyanti kacchehi sedāḥ muccanti kāye ca eva dubbaṇṇiyaṃ okkamati devaḥ devāsane na abhiramati iti
“Yatohaṃ tusite kāye-santusito nāmahaṃ tadā,	yatas ham tusite nāma aham tadā 	yato aham tusite kāye santusito nāma aham tadā
gamanasamaye anukkamena jiṇṇa - vyādhi - matasaṅkhāte tayo devadūte disvā saṃjāta	gamana samaye anukkamena deva dūte disvā saṃjāta 	gamana samaye anukkamena jiṇṇa vyādhi mata saṅkhāte tayo deva dūte disvā saṃjāta
atikkamma anomāya nadiyā paratīraṃ patvā assāpiṭṭhito oruyha muttarāsi sadise cālikāpuliṇe	atikkamma anomāya nadiyāḥ para tīram patvā oruyha sadise ca alikā puliṇe 	atikkamma anomāya nadiyā paratīraṃ patvā assāpiṭṭhito oruyha muttarāsi sadise ca alikā puliṇe
ṭhatvā channatvaṃ mayhaṃ ābharaṇāni ceva kaṇthakañca ādāya gacchāhi ābharaṇāni ca	ābharaṇāni ca iva kaṇthakam ca ādāya gacchāhi ābharaṇāni ca 	ṭhatvā channatvaṃ mayhaṃ ābharaṇāni ceva kaṇthakam ca ādāya gacchāhi ābharaṇāni ca
Tasmā tamma mahābodhi-sattānaṃ paṭipattiyaṃ,	mahā bodhisattānam paṭipattiyam 	Tasmā tamma mahā bodhisattānam paṭipattiyam
patvā tissavijitaṃ āgamanatthāyatenagahita paṭiñño āḷāraṃ-uddakañca upasaṅkamitvā	patvā tissavijitam paṭiññaḥ āḷāram uddakam ca upasaṅkamitvā 	patvā tissavijitam āgamanatthāya tena gahita paṭiññaḥ āḷāram uddakam ca upasaṅkamitvā
majjhimayāme cutūpapātañāṇaṃ patvā pacchimayāmāvasāne dasabala catuvesārajjādi sabbaguṇapatimaṇḍitaṃsabbaññutañāṇaṃ	majjhima yāme cutūpapāta ñāṇam patvā pacchima yāma avasāne sabba guṇa patimaṇḍita sabbaññuta ñāṇam 	majjhima yāme cutūpapāta ñāṇam patvā pacchima yāma avasāne dasabala catuvesārajjādi sabba guṇa patimaṇḍita sabbaññuta ñāṇam
pañcavaṇṇa padumasañchanno ahosi tiyojana sahassavitthato pana himavā ghanabaddhamorapiñchakalāpo	paduma sañchannaḥ ahosi sahassa vitthataḥ pana himavā ghana baddha mora piñcha kalāpaḥ 	pañca vaṇṇa paduma sañchannaḥ ahosi ti yojana sahassa vitthataḥ pana himavā ghana baddha mora piñcha kalāpaḥ
Yamakasālā bhummadevatāni sañcālitakkhaviṇdhaṭapā tathāgatasarīrassa uparipupphāni	yamaka sālā bhumma devatāni tathāgata sarīrassa upari pupphāni 	yamaka sālā bhumma devatāni sañcālitakkhaviṇdhaṭapā tathāgata sarīrassa upari pupphāni
kāḷānusārī tagara lohitacaṇdanādi sabbagaṇdhajātacuṇṇāni, haritālañjana suvaṇṇa rajata	tagara lohita caṇdana ādi sabba gaṇdha jāta cuṇṇāni 	kāḷānusārī tagara lohita caṇdana ādi sabba gaṇdha jāta cuṇṇāni haritāla añjana suvaṇṇa rajata
cuṇṇāni, sabbagaṇdhavāsa vikatiyo suvaṇṇa rajatādisamugge pūretvā cakkavāḷa mukhavaṭṭiādisu	cuṇṇāni suvaṇṇa rajata ādi samugge pūretvā 	cuṇṇāni sabbagaṇdhavāsa vikatiyo suvaṇṇa rajata ādi samugge pūretvā cakkavāḷa mukhavaṭṭi ādisu
