original	analyzed	corrected
Upādānanti cattāri upādānāni kāmupādānaṁ diṭṭhupādānaṁ sīlabbatupādānaṁ attavādupādānanti upādānaṁ.	upādānanti cattāri upādānāni kāma upādānam diṭṭha upādānam sīla bbata upādānam atta vāda upādānam atta vāda upādānam atta vāda upādānam 	upādānanti cattāri upādānāni kāma upādānam diṭṭha upādānam sīla bbata upādānam atta vāda upādānam ti upādānam
Bhavoti tayo bhavā kāmabhavo rūpabhavo arūpabhavo.	tayaḥ bhavā kāma bhavaḥ rūpa bhavaḥ a rūpa bhavaḥ 	bhavoti tayaḥ bhavā kāma bhavaḥ rūpa bhavaḥ a rūpa bhavaḥ
Jarā nāma yaṁ taṁ khaṇḍiccaṁ pāliccaṁ valittacatā pavivittaṁ catunnaṁ mahābhūtānaṁ	jarā nāma yam tam khaṇḍiccam pāliccam pavivittam catunnam 	jarā nāma yam tam khaṇḍiccam pāliccam valittacatā pavivittam catunnam mahābhūtānam
Iti purimikā ca jarā idañca maraṇaṁ tadubhayaṁ jarāmaraṇaṁ.	iti ca jarā idam ca maraṇam tat ubhayam jarā maraṇa 	iti purimikā ca jarā idam ca maraṇam tat ubhayam jarā maraṇam
Vaṇṇasaṅgahaṇalakkhaṇā subhasaññā, tassā indriyaasaṁvaro padaṭṭhānaṁ.	vaṇṇa saṅgahaṇa lakkhaṇā subha saññā tassāḥ padaṭṭhāna 	vaṇṇa saṅgahaṇa lakkhaṇā subha saññā tassā indriya asaṁvaro padaṭṭhānaṁ
Tattha ariyasannissayalakkhaṇo patirūpadesavāso, so sappurisūpanissayassa padaṭṭhānaṁ.	tattha ariya sannissaya lakkhaṇo so sappurisa upanissayassa padaṭṭhāna 	tattha ariya sannissaya lakkhaṇo patirūpadesa vāso so sappurisa upanissayassa padaṭṭhānaṁ
Sammāpaṭipattilakkhaṇaṁ attasammāpaṇidhānaṁ, taṁ puññānaṁ padaṭṭhānaṁ.	sammā paṭipatti lakkhaṇam tam puññānam padaṭṭhāna 	sammā paṭipatti lakkhaṇam atta sammā paṇidhānam tam puññānam padaṭṭhānam
Anāgāmiphalañca yaṁ avijjāvirāgā vimuccati, ayaṁ katābhūmi.	anāgāmi phalam ca yam avijjā virāgā vimuccati ayam 	anāgāmi phalam ca yam avijjā virāgā vimuccati ayam katā bhūmi
Kissa brahmaññaphalānīti vuccante?	brahmañña phalāni iti vuccante 	Kissa brahmañña phalāni iti vuccante
yathā dose tathā nioṭṭhānā, ayaṁ byāpādo nīvaraṇaṁ.	yathā dose tathā ayam byāpādaḥ 	yathā dose tathā nioṭṭhānā ayaṁ byāpādo nīvaraṇaṁ
Kāmacchando alobhato kusalamūlato nivārayati, byāpādo adosato nivārayati, thinamiddhaṁ	kāmacchandaḥ a lobhataḥ kusala mūlataḥ nivārayati byāpādaḥ a dosataḥ nivārayati 	kāmacchandaḥ a lobhataḥ kusala mūlataḥ nivārayati byāpādaḥ a dosataḥ nivārayati thinamiddhaṁ
