original	analyzed	corrected
Dhammānuloma (1), Tikatikapaṭṭhānapāḷi (5)	dhamma anuloma tika tika paṭṭhāna pāḷi 	dhamma anuloma tika tika paṭṭhāna pāḷi
5.1.1.1. Sukhāyavedanāyasampayuttapada	sukha āya vedanāya sampayutta pada 	sukhāya vedanāya sampayutta pada
āhāre …pe… sampayutte tīṇi …pe… avigate tīṇi. (Saṅkhittaṁ.)	āhāre pe sampayutte tīṇi pe avigate tīṇi 	āhāre …pe… sampayutte tīṇi …pe… avigate tīṇi Saṅkhittaṁ
(Yathā kusalattike pañhāvāraṁ evaṁ vitthāretabbaṁ.)	yathā kusala ttike pañhāvāram evam 	yathā kusala ttike pañhāvāram evam vitthāretabbam
5.1.1.2. Dukkhāyavedanāyasampayuttapada	dukkha āya vedanāya sampayutta pada 	dukkha āya vedanāya sampayutta pada
(Yathā kusalattike pañhāvāraṁ evaṁ vitthāretabbaṁ.)	yathā kusala ttike pañhāvāram evam 	yathā kusala ttike pañhāvāram evam vitthāretabbam
5.1.1.3. Adukkhamasukhavedanāyasampayuttapada	adukkham asukha vedanā ya sampayutta pada 	adukkham asukha vedanā ya sampayutta pada
sampayutte tīṇi …pe… avigate tīṇi. (Saṅkhittaṁ.)	sampayutte tīṇi pe avigate tīṇi 	sampayutte tīṇi pe avigate tīṇi Saṅkhittaṁ
(Yathā kusalattike pañhāvāraṁ evaṁ vitthāretabbaṁ.)	yathā kusala ttike pañhāvāram evam 	yathā kusala ttike pañhāvāram evam vitthāretabbam
Hetuyā dve, ārammaṇe dve …pe… avigate dve. (Saṅkhittaṁ.)	hetuyā dve ārammaṇe dve pe avigate dve 	hetuyā dve ārammaṇe dve pe avigate dve saṅkhittaṁ
(Yathā kusalattike pañhāvāraṁ evaṁ vitthāretabbaṁ.)	yathā kusala ttike pañhāvāram evam 	yathā kusala ttike pañhāvāram evam vitthāretabbam
(Yathā kusalattike pañhāvāraṁ evaṁ vitthāretabbaṁ.)	yathā kusala ttike pañhāvāram evam 	yathā kusala ttike pañhāvāram evam vitthāretabbam
5.1.4. Kusalattika, Saṅkiliṭṭhattika	kusala ttika saṅkiliṭṭha ttika 	5.1.4. kusala ttika saṅkiliṭṭha ttika
Hetuyā dve …pe… vipāke ekaṁ …pe… avigate dve. (Saṅkhittaṁ.)	hetuyā dve pe vipāke ekam pe avigate dve 	hetuyā dve pe vipāke ekaṁ pe avigate dve saṅkhittaṁ
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
sampayutte tīṇi …pe… avigate tīṇi. (Saṅkhittaṁ.)	sampayutte tīṇi pe avigate tīṇi 	sampayutte tīṇi pe avigate tīṇi Saṅkhittaṁ
(Yathā kusalattike pañhāvāraṁ evaṁ vitthāretabbaṁ.)	yathā kusala ttike pañhāvāram evam 	yathā kusala ttike pañhāvāram evam vitthāretabbam
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
Hetuyā tīṇi …pe… vipāke ekaṁ …pe… avigate tīṇi. (Saṅkhittaṁ.)	hetuyā tīṇi pe vipāke ekam pe avigate tīṇi 	hetuyā tīṇi pe vipāke ekaṁ pe avigate tīṇi saṅkhittaṁ
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
