original	analyzed	corrected
adhipatipaccayena paccayo—ārammaṇādhipati. (Saṅkhittaṁ.)	adhipati paccayena paccayaḥ ārammaṇa adhipati 	adhipati paccayena paccayo ārammaṇa adhipati
(Sahajātavārampi …pe… sampayuttavārampi vitthāretabbaṁ.)	sahajāta vāram pi pe sampayutta vāram pi 	sahajāta vāram pi pe sampayutta vāram pi vitthāretabbaṁ
tīṇi, sampayutte pañca …pe… avigate pañca. (Saṅkhittaṁ.)	tīṇi sampayutte pañca pe avigate pañca 	tīṇi sampayutte pañca pe avigate pañca Saṅkhittaṁ
Hetupaccayā naārammaṇe tīṇi. (Saṅkhittaṁ.)	hetu paccayāḥ na ārammaṇe tīṇi 	hetu paccayā na ārammaṇe tīṇi saṅkhittaṁ
(Sahajātavārampi …pe… sampayuttavārampi vitthāretabbaṁ.)	sahajāta vāram pi pe sampayutta vāram pi 	sahajāta vāram pi pe sampayutta vāram pi vitthāretabbaṁ
tīsu majjhimānulomikāyeva pañhā, sahajātādhipati) anantare nava …pe… sahajāte pañca	tīsu sahajāta adhipati anantare nava sahajāte pañca 	tīsu majjhimānulomikāyeva pañhā sahajāta adhipati anantare nava pe sahajāte pañca
3.10.4. Cittasampayuttaduka, Kusalattika	citta sampayutta duka kusala ttika 	citta sampayutta duka kusala ttika
3.10.5. Cittasaṁsaṭṭhaduka, Kusalattika	citta sasa ṭṭha duka kusala ttika 	citta saṁsaṭṭha duka kusala ttika
Hetuyā nava, ārammaṇe tīṇi …pe… avigate nava. (Saṅkhittaṁ.)	hetuyā nava ārammaṇe tīṇi pe avigate nava 	hetuyā nava ārammaṇe tīṇi pe avigate nava saṅkhittaṁ
(Yathā cittasampayuttadukaṁ abyākatasadisaṁ. Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	yathā sahajāta vārampi pe pañhā vārampi 	yathā cittasampayutta dukaṁ abyākata sadisaṁ sahajāta vārampi pe pañhā vārampi vitthāretabbaṁ
3.10.6. Cittasamuṭṭhānaduka, Kusalattika	citta samuṭṭhāna duka kusala ttika 	citta samuṭṭhāna duka kusala ttika
(Kusalattikasadisaṁ sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	kusala ttika sadisam sahajāta vāram pi pe pañhā vāram pi 	kusala ttika sadisam sahajāta vāram pi pe pañhā vāram pi vitthāretabbam
(Sahajātavārampi …pe… sampayuttavārampi vitthāretabbaṁ.)	sahajāta vāram pi pe sampayutta vāram pi 	sahajāta vāram pi pe sampayutta vāram pi vitthāretabbaṁ
kabaḷīkāro āhāro ghaṭane majjhe kabaḷīkāro āhāro), indriye nava (rūpajīvitindriyaṁ	kabaḷīkāraḥ āhāraḥ ghaṭane majjhe kabaḷīkāraḥ āhāraḥ indriye nava 	kabaḷīkāraḥ āhāraḥ ghaṭane majjhe kabaḷīkāraḥ āhāraḥ indriye nava rūpajīvitindriyaṁ
3.10.7. Cittasahabhūduka, Kusalattika	citta saha bhūduka kusalattika 	citta saha bhū duka kusala ttika
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
3.10.9. Cittasaṁsaṭṭhasamuṭṭhānaduka, Kusalattika	citta sasaṭṭha samuṭṭhāna duka kusala ttika 	citta saṁsaṭṭha samuṭṭhāna duka kusala ttika
(Sahajātavārampi …pe… sampayuttavārampi vitthāretabbaṁ.)	sahajāta vāram pi pe sampayutta vāram pi 	sahajāta vāram pi pe sampayutta vāram pi vitthāretabbaṁ
Hetupaccayā naārammaṇe tīṇi. (Saṅkhittaṁ.)	hetu paccayāḥ na ārammaṇe tīṇi 	hetu paccayā na ārammaṇe tīṇi saṅkhittaṁ
dhammaṁ paṭicca cittasaṁsaṭṭhasamuṭṭhānasahabhū kusalo dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.)	dhammam paṭicca kusalaḥ dhammaḥ uppajjati hetu paccayā 	dhammam paṭicca cittasaṁsaṭṭhasamuṭṭhānasahabhū kusalo dhammo uppajjati hetu paccayā
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
dhammaṁ paṭicca cittasaṁsaṭṭhasamuṭṭhānasahabhū akusalo dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.)	dhammam paṭicca akusalaḥ dhammaḥ uppajjati hetu paccayā 	dhammam paṭicca cittasaṁsaṭṭhasamuṭṭhānasahabhū akusalo dhammo uppajjati hetu paccayā
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
pañca, vippayutte nava …pe… avigate nava. (Saṅkhittaṁ.)	pañca vippayutte nava pe avigate nava 	pañca vippayutte nava pe avigate nava Saṅkhittaṁ
pañca, nonatthiyā nava, novigate nava. (Saṅkhittaṁ.)	pañca nonatthiyā nava no vigate nava 	pañca nonatthiyā nava no vigate nava (Saṅkhittaṁ)
(Sahajātavārampi …pe… sampayuttavārampi vitthāretabbaṁ.)	sahajāta vāram pi pe sampayutta vāram pi 	sahajāta vāram pi pe sampayutta vāram pi vitthāretabbaṁ
(Sahajātavārampi …pe… sampayuttavārampi vitthāretabbaṁ.)	sahajāta vāram pi pe sampayutta vāram pi 	sahajāta vāram pi pe sampayutta vāram pi vitthāretabbaṁ
Hetupaccayā naārammaṇe cattāri. (Saṅkhittaṁ.)	hetu paccayāḥ na ārammaṇe cattāri 	hetu paccayā na ārammaṇe cattāri saṅkhittaṁ
Nahetupaccayā ārammaṇe cattāri. (Saṅkhittaṁ.)	na hetu paccayā ārammaṇe cattāri 	na hetu paccayā ārammaṇe cattāri saṅkhittaṁ
